Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,-1.11022e-16
0,7,0
0,8,0
0,9,0
0,10,0
0,11,-2.22045e-16
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,-8.32667e-17
0,25,0
0,26,-1.11022e-16
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,5.55112e-17
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,-1.11022e-16
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,2.77556e-17
0,46,0
0,47,0
0,48,0
0,49,-1.11022e-16
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,-4.44089e-16
0,63,0
0,64,0
0,65,0
0,66,0
0,67,4.44089e-16
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,4.44089e-16
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
0,100,0
0,101,0
0,102,0
0,103,0
0,104,0
0,105,0
0,106,0
0,107,0
0,108,0
0,109,0
0,110,8.88178e-16
0,111,0
0,112,0
0,113,0
0,114,0
0,115,0
0,116,0
0,117,-8.88178e-16
0,118,0
0,119,0
0,120,0
0,121,0
0,122,0
0,123,0
0,124,0
0,125,0
0,126,0
0,127,0
0,128,-8.88178e-16
0,129,0
0,130,0
0,131,0
0,132,0
0,133,0
0,134,0
0,135,0
0,136,0
0,137,0
0,138,8.88178e-16
0,139,0
0,140,0
0,141,0
0,142,0
0,143,0
0,144,8.88178e-16
0,145,0
0,146,0
0,147,0
0,148,0
0,149,0
1,0,0
1,1,0
1,2,-1.11022e-16
1,3,-3.33067e-16
1,4,0
1,5,-2.22045e-16
1,6,-4.44089e-16
1,7,-5.55112e-17
1,8,4.44089e-16
1,9,-1.66533e-16
1,10,0
1,11,-2.22045e-16
1,12,0
1,13,0
1,14,2.22045e-16
1,15,-1.11022e-16
1,16,7.77156e-16
1,17,1.11022e-16
1,18,6.42958e-09
1,19,4.44089e-16
1,20,-3.33067e-16
1,21,2.22045e-16
1,22,-3.33067e-16
1,23,-3.36653e-09
1,24,-2.3805e-09
1,25,5.55112e-17
1,26,-1.94289e-16
1,27,-5.55112e-16
1,28,2.22045e-16
1,29,0
1,30,-1.66533e-16
1,31,-4.996e-16
1,32,1.11022e-16
1,33,-1.66533e-16
1,34,2.22045e-16
1,35,0
1,36,0
1,37,-2.22045e-16
1,38,1.11022e-16
1,39,5.55112e-16
1,40,1.77636e-15
1,41,-4.996e-16
1,42,3.33067e-16
1,43,-4.44089e-16
1,44,2.22045e-16
1,45,0
1,46,-1.66533e-16
1,47,2.498e-16
1,48,0
1,49,0
1,50,-1.42109e-14
1,51,-1.33227e-15
1,52,1.77636e-15
1,53,1.77636e-15
1,54,1.77636e-15
1,55,2.66454e-15
1,56,4.44089e-16
1,57,2.22045e-15
1,58,-5.32907e-15
1,59,8.88178e-16
1,60,-8.88178e-16
1,61,-4.88498e-15
1,62,1.33227e-15
1,63,-5.32907e-15
1,64,-4.44089e-16
1,65,-3.9968e-15
1,66,0
1,67,8.88178e-16
1,68,1.77636e-15
1,69,2.66454e-15
1,70,-2.66454e-15
1,71,-3.10862e-15
1,72,8.88178e-16
1,73,4.44089e-16
1,74,4.88498e-15
1,75,-2.22045e-15
1,76,1.33227e-15
1,77,0
1,78,8.88178e-16
1,79,3.9968e-15
1,80,-7.99361e-15
1,81,-3.10862e-15
1,82,1.33227e-15
1,83,-3.55271e-15
1,84,-3.9968e-15
1,85,0
1,86,-3.55271e-15
1,87,-6.21725e-15
1,88,-4.44089e-16
1,89,-4.44089e-16
1,90,1.33227e-15
1,91,-3.10862e-15
1,92,-8.88178e-16
1,93,-4.88498e-15
1,94,2.66454e-15
1,95,1.9984e-15
1,96,-8.88178e-16
1,97,-1.06581e-14
1,98,4.44089e-15
1,99,1.33227e-15
1,100,-8.88178e-16
1,101,-7.99361e-15
1,102,6.21725e-15
1,103,-1.77636e-15
1,104,6.21725e-15
1,105,1.77636e-15
1,106,2.66454e-15
1,107,-7.99361e-15
1,108,8.88178e-16
1,109,-9.76996e-15
1,110,-8.88178e-15
1,111,3.55271e-15
1,112,7.10543e-15
1,113,0
1,114,0
1,115,-8.88178e-16
1,116,0
1,117,6.21725e-15
1,118,-8.88178e-16
1,119,-9.76996e-15
1,120,2.66454e-15
1,121,-3.55271e-15
1,122,7.10543e-15
1,123,1.77636e-15
1,124,1.77636e-15
1,125,-1.15463e-14
1,126,-8.88178e-16
1,127,0
1,128,4.44089e-15
1,129,-1.24345e-14
1,130,-7.99361e-15
1,131,-4.44089e-15
1,132,-1.15463e-14
1,133,-5.32907e-15
1,134,2.66454e-15
1,135,-6.66134e-15
1,136,-2.39808e-14
1,137,-5.32907e-15
1,138,-3.55271e-15
1,139,-7.99361e-15
1,140,-5.32907e-15
1,141,-1.77636e-15
1,142,2.66454e-15
1,143,-6.21725e-15
1,144,-5.32907e-15
1,145,-1.15463e-14
1,146,-7.10543e-15
1,147,-3.55271e-15
1,148,7.99361e-15
1,149,3.55271e-15
2,0,0
2,1,-1.11022e-16
2,2,0
2,3,5.55112e-17
2,4,0
2,5,-2.22045e-16
2,6,-3.88578e-16
2,7,-5.55112e-17
2,8,5.55112e-17
2,9,-2.22045e-16
2,10,0
2,11,-2.22045e-16
2,12,0
2,13,0
2,14,2.22045e-16
2,15,0
2,16,6.66134e-16
2,17,0
2,18,8.44139e-09
2,19,1.11022e-16
2,20,-1.11022e-16
2,21,3.88578e-16
2,22,-3.33067e-16
2,23,-2.76935e-09
2,24,-1.86264e-09
2,25,1.66533e-16
2,26,-1.11022e-16
2,27,-4.44089e-16
2,28,2.22045e-16
2,29,0
2,30,-2.22045e-16
2,31,-5.55112e-16
2,32,0
2,33,-2.22045e-16
2,34,-5.55112e-17
2,35,0
2,36,0
2,37,2.22045e-16
2,38,5.55112e-17
2,39,3.33067e-16
2,40,1.77636e-15
2,41,-5.55112e-17
2,42,3.33067e-16
2,43,-2.498e-16
2,44,0
2,45,0
2,46,-2.22045e-16
2,47,1.11022e-16
2,48,1.11022e-16
2,49,-2.22045e-16
2,50,-1.15463e-14
2,51,-8.88178e-16
2,52,8.88178e-16
2,53,1.33227e-15
2,54,2.22045e-15
2,55,2.22045e-15
2,56,8.88178e-16
2,57,2.22045e-15
2,58,-4.44089e-15
2,59,8.88178e-16
2,60,-4.44089e-16
2,61,-4.44089e-15
2,62,1.77636e-15
2,63,-4.88498e-15
2,64,0
2,65,-2.66454e-15
2,66,0
2,67,4.44089e-16
2,68,1.33227e-15
2,69,2.66454e-15
2,70,-2.66454e-15
2,71,-2.66454e-15
2,72,1.77636e-15
2,73,0
2,74,4.44089e-15
2,75,-2.66454e-15
2,76,1.77636e-15
2,77,4.44089e-16
2,78,1.33227e-15
2,79,3.55271e-15
2,80,-6.21725e-15
2,81,-1.77636e-15
2,82,8.88178e-16
2,83,-2.66454e-15
2,84,-3.55271e-15
2,85,-8.88178e-16
