id,v0,v1,v2,v3
Versicolour,7,3.2,4.7,1.4
Versicolour,6.4,3.2,4.5,1.5
Versicolour,6.9,3.1,4.9,1.5
Versicolour,5.5,2.3,4,1.3
Versicolour,6.5,2.8,4.6,1.5
Versicolour,5.7,2.8,4.5,1.3
Versicolour,6.3,3.3,4.7,1.6
Versicolour,4.9,2.4,3.3,1
Versicolour,6.6,2.9,4.6,1.3
Versicolour,5.2,2.7,3.9,1.4
Versicolour,5,2,3.5,1
Versicolour,5.9,3,4.2,1.5
Versicolour,6,2.2,4,1
Versicolour,6.1,2.9,4.7,1.4
Versicolour,5.6,2.9,3.6,1.3
Versicolour,6.7,3.1,4.4,1.4
Versicolour,5.6,3,4.5,1.5
Versicolour,5.8,2.7,4.1,1
Versicolour,6.2,2.2,4.5,1.5
Versicolour,5.6,2.5,3.9,1.1
Versicolour,5.9,3.2,4.8,1.8
Versicolour,6.1,2.8,4,1.3
Versicolour,6.3,2.5,4.9,1.5
Versicolour,6.1,2.8,4.7,1.2
Versicolour,6.4,2.9,4.3,1.3
Versicolour,6.6,3,4.4,1.4
Versicolour,5.7,2.6,3.5,1
Versicolour,5.5,2.4,3.8,1.1
Versicolour,5.5,2.4,3.7,1
Versicolour,5.8,2.7,3.9,1.2
Versicolour,6,2.7,5.1,1.6
Versicolour,5.4,3,4.5,1.5
Versicolour,6,3.4,4.5,1.6
Versicolour,6.7,3.1,4.7,1.5
Versicolour,6.3,2.3,4.4,1.3
Versicolour,5.6,3,4.1,1.3
Versicolour,5.5,2.5,4,1.3
Versicolour,5.5,2.6,4.4,1.2
Versicolour,6.1,3,4.6,1.4
Versicolour,5.8,2.6,4,1.2
Versicolour,5,2.3,3.3,1
Versicolour,5.6,2.7,4.2,1.3
Versicolour,5.7,3,4.2,1.2
Versicolour,5.7,2.9,4.2,1.3
Versicolour,6.2,2.9,4.3,1.3
Versicolour,5.1,2.5,3,1.1
Versicolour,5.7,2.8,4.1,1.3
Versicolour,6.8,2.8,4.8,1.4
Versicolour,6.7,3,5,1.7
Versicolour,6,2.9,4.5,1.5
