Head,Tail,Difference
0,0,0
0,1,0
0,2,0.556909
0,3,0
0,4,0
0,5,0.785842
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0.942083
0,11,0
0,12,0.0690131
0,13,1.25905
0,14,3.28686
0,15,1.45786
0,16,0
0,17,1.2906
0,18,0
0,19,2.4074
0,20,0
0,21,0.00174963
0,22,1.35957
0,23,1.30726
1,0,0
1,1,0
1,2,0.249858
1,3,0.532479
1,4,0
1,5,0.143528
1,6,0.408455
1,7,1.94455
1,8,0.425083
1,9,0.978751
1,10,0
1,11,0.974631
1,12,0.295215
1,13,0
1,14,0
1,15,0.307552
1,16,0.288666
1,17,0.353428
1,18,0
1,19,0.0191883
1,20,0.493284
1,21,0.537949
1,22,0.46476
1,23,0
2,0,0.556909
2,1,0.249858
2,2,0
2,3,0
2,4,0.923374
2,5,0.0188566
2,6,0.297531
2,7,1.58146
2,8,0.04794
2,9,1.91921
2,10,0.267362
2,11,0.349798
2,12,1.13556
2,13,0
2,14,1.22786
2,15,0
2,16,0
2,17,0
2,18,0.13233
2,19,1.24373
2,20,0.786655
2,21,0.903206
2,22,0
2,23,0
3,0,0
3,1,0.532479
3,2,0
3,3,0
3,4,1.13726
3,5,0.430233
3,6,0
3,7,1.30853
3,8,0
3,9,1.87167
3,10,0.673485
3,11,0.533445
3,12,0
3,13,0
3,14,0.507869
3,15,0.0881435
3,16,0
3,17,0.357393
3,18,0
3,19,0
3,20,0.84613
3,21,0
3,22,0.333852
3,23,0
4,0,0
4,1,0
4,2,0.923374
4,3,1.13726
4,4,0
4,5,0.817098
4,6,0.764414
4,7,2.86972
4,8,1.05225
4,9,0.830884
4,10,0
4,11,1.68113
4,12,0
4,13,0
4,14,0
4,15,0.571276
4,16,0.73202
4,17,0.99026
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0.870062
4,23,0.279556
5,0,0.785842
5,1,0.143528
5,2,0.0188566
5,3,0.430233
5,4,0.817098
5,5,0
5,6,0.221818
5,7,2.05258
5,8,0.158996
5,9,1.89927
5,10,0
5,11,0.975683
5,12,1.85454
5,13,0
5,14,1.02819
5,15,0.0224197
5,16,0.427557
5,17,0.0961415
5,18,0
5,19,1.27538
5,20,0.76741
5,21,0.760149
5,22,0.0790108
5,23,0
6,0,0
6,1,0.408455
6,2,0.297531
6,3,0
6,4,0.764414
6,5,0.221818
6,6,0
6,7,0
6,8,0
6,9,1.61059
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0
6,17,0.218427
6,18,0.323043
6,19,0
6,20,0.825407
6,21,0.0513254
6,22,0.0627278
6,23,0
7,0,0
7,1,1.94455
7,2,1.58146
7,3,1.30853
7,4,2.86972
7,5,2.05258
7,6,0
7,7,0
7,8,1.26418
7,9,3.50323
7,10,1.29296
7,11,0.499804
7,12,0
7,13,0
7,14,0
7,15,1.35554
7,16,0
7,17,2.02752
7,18,0
7,19,0
7,20,2.17954
7,21,0
7,22,1.89626
7,23,0.995396
8,0,0
8,1,0.425083
8,2,0.04794
8,3,0
8,4,1.05225
8,5,0.158996
8,6,0
8,7,1.26418
8,8,0
8,9,2.0682
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0.0120615
8,15,0
8,16,0
8,17,0.0673075
8,18,0
8,19,0
8,20,0.95723
8,21,0
8,22,0
8,23,0
9,0,0
9,1,0.978751
9,2,1.91921
9,3,1.87167
9,4,0.830884
9,5,1.89927
9,6,1.61059
9,7,3.50323
9,8,2.0682
9,9,0
9,10,0
9,11,2.30022
9,12,0
9,13,0
9,14,0
9,15,1.41775
9,16,1.00093
9,17,2.01077
9,18,0
9,19,0
9,20,0
9,21,0
9,22,1.94158
9,23,0.838696
10,0,0.942083
10,1,0
10,2,0.267362
10,3,0.673485
10,4,0
10,5,0
10,6,0
10,7,1.29296
10,8,0
10,9,0
10,10,0
10,11,0.911192
10,12,2.41343
10,13,0.105921
10,14,0
10,15,0.36763
10,16,0.920925
10,17,0.545486
10,18,0
10,19,0
10,20,0
10,21,0
10,22,0.138182
10,23,0.375382
11,0,0
11,1,0.974631
11,2,0.349798
11,3,0.533445
11,4,1.68113
11,5,0.975683
11,6,0
11,7,0.499804
11,8,0
11,9,2.30022
11,10,0.911192
11,11,0
11,12,0
11,13,0
11,14,0
11,15,0.573938
11,16,0
11,17,0.90706
11,18,0
11,19,0
11,20,1.20271
11,21,0
11,22,0.872526
11,23,0.212552
12,0,0.0690131
12,1,0.295215
12,2,1.13556
12,3,0
12,4,0
12,5,1.85454
12,6,0
12,7,0
12,8,0
12,9,0
12,10,2.41343
12,11,0
12,12,0
12,13,2.09021
12,14,4.18251
12,15,2.48579
12,16,0
12,17,2.26805
12,18,0
12,19,1.53602
12,20,0
12,21,0
12,22,2.38935
12,23,2.22921
13,0,1.25905
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,0
13,10,0.105921
13,11,0
13,12,2.09021
13,13,0
13,14,1.9504
13,15,0.130679
13,16,0
13,17,0
13,18,0.0135136
13,19,1.75694
13,20,0
13,21,0.407944
13,22,0.148628
13,23,0
14,0,3.28686
14,1,0
14,2,1.22786
14,3,0.507869
14,4,0
14,5,1.02819
14,6,0
14,7,0
14,8,0.0120615
14,9,0
14,10,0
14,11,0
14,12,4.18251
14,13,1.9504
14,14,0
14,15,1.85138
14,16,1.08132
14,17,1.94406
14,18,0.186239
14,19,0
14,20,0
14,21,0
14,22,1.56611
14,23,1.99125
15,0,1.45786
15,1,0.307552
15,2,0
15,3,0.0881435
15,4,0.571276
15,5,0.0224197
15,6,0
15,7,1.35554
15,8,0
15,9,1.41775
15,10,0.36763
15,11,0.573938
15,12,2.48579
15,13,0.130679
15,14,1.85138
15,15,0
15,16,0.331605
15,17,0
15,18,0.40439
15,19,1.57817
15,20,0.66572
15,21,0.556014
15,22,0.0251114
15,23,0
16,0,0
16,1,0.288666
16,2,0
16,3,0
16,4,0.73202
16,5,0.427557
16,6,0
16,7,0
16,8,0
16,9,1.00093
16,10,0.920925
16,11,0
16,12,0
16,13,0
16,14,1.08132
16,15,0.331605
16,16,0
16,17,0.414357
16,18,0
16,19,0
16,20,0.281322
16,21,0
16,22,0.442446
16,23,0.0834611
17,0,1.2906
17,1,0.353428
17,2,0
17,3,0.357393
17,4,0.99026
17,5,0.0961415
17,6,0.218427
17,7,2.02752
17,8,0.0673075
17,9,2.01077
17,10,0.545486
17,11,0.90706
17,12,2.26805
17,13,0
17,14,1.94406
17,15,0
17,16,0.414357
17,17,0
17,18,0.271655
17,19,1.837
17,20,0.892157
17,21,1.02557
17,22,0
17,23,0
18,0,0
18,1,0
18,2,0.13233
18,3,0
18,4,0
18,5,0
18,6,0.323043
18,7,0
18,8,0
18,9,0
18,10,0
18,11,0
18,12,0
18,13,0.0135136
18,14,0.186239
18,15,0.40439
18,16,0
18,17,0.271655
18,18,0
18,19,1.78
18,20,0
18,21,1.30138
18,22,0.293394
18,23,0
19,0,2.4074
19,1,0.0191883
19,2,1.24373
19,3,0
19,4,0
19,5,1.27538
19,6,0
19,7,0
19,8,0
19,9,0
19,10,0
19,11,0
19,12,1.53602
19,13,1.75694
19,14,0
19,15,1.57817
19,16,0
19,17,1.837
19,18,1.78
19,19,0
19,20,0
19,21,0
19,22,1.63615
19,23,1.83974
20,0,0
20,1,0.493284
20,2,0.786655
20,3,0.84613
20,4,0
20,5,0.76741
