Head,Tail,Difference
0,0,0
0,1,0
0,2,0.047515
0,3,0.309556
0,4,2.7576
0,5,0.57249
0,6,0
0,7,1.50631
0,8,2.53185
0,9,1.69628
0,10,1.12458
0,11,2.34777
0,12,0
0,13,2.68949
0,14,0
0,15,0
0,16,0
0,17,0.0515
0,18,0
0,19,0.546247
0,20,0
0,21,0.217593
0,22,1.37966
0,23,4.42219
0,24,2.54566
0,25,0
0,26,2.60282
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,2.25359
0,33,0.423806
0,34,0
0,35,0.216624
0,36,1.9216
0,37,0.0363518
0,38,0.120856
0,39,0
0,40,0
0,41,0
0,42,0
0,43,2.27455
0,44,0
0,45,0
0,46,0
0,47,2.81295
0,48,0
0,49,3.9191
0,50,2.93443
0,51,0.271763
0,52,1.3941
0,53,2.01017
0,54,2.86664
0,55,3.6349
0,56,0
0,57,0.462497
0,58,0
0,59,0.543171
0,60,0.780857
0,61,0
0,62,0.751881
0,63,0
0,64,0.0152772
0,65,0
0,66,0
0,67,0.727752
0,68,0
0,69,0
0,70,0.428249
0,71,0
0,72,1.64183
0,73,4.425
0,74,0
0,75,0
0,76,0.0171469
0,77,1.21714
0,78,3.16305
0,79,0.678112
0,80,2.177
0,81,2.53808
0,82,3.31603
0,83,0
0,84,0.830846
0,85,0
0,86,0.756762
0,87,3.0162
0,88,1.07703
0,89,0
0,90,0
0,91,0
0,92,0.0353703
0,93,1.83992
0,94,0.868057
0,95,3.25958
0,96,0.201132
0,97,0.545205
0,98,1.62773
0,99,0
1,0,0
1,1,0
1,2,0.0276914
1,3,0.512753
1,4,0
1,5,0
1,6,0.2997
1,7,0
1,8,0
1,9,0
1,10,0.677264
1,11,0.0274161
1,12,0
1,13,0
1,14,0
1,15,1.66032
1,16,0.00437805
1,17,0.675412
1,18,0.577559
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0.367704
1,26,0
1,27,0
1,28,0.0770949
1,29,0.12086
1,30,0.674892
1,31,0.00710829
1,32,0
1,33,0
1,34,0.35792
1,35,0.87449
1,36,0.0410241
1,37,0.0239981
1,38,0
1,39,1.17749
1,40,0.0186106
1,41,1.18003
1,42,0.200276
1,43,0.240362
1,44,0.912506
1,45,1.20679
1,46,0.332057
1,47,0
1,48,0.295331
1,49,0
1,50,0
1,51,0
1,52,0
1,53,0.478433
1,54,0
1,55,0
1,56,1.16288
1,57,0.924197
1,58,0.619625
1,59,0
1,60,0
1,61,0.516881
1,62,0
1,63,0.649302
1,64,0.506931
1,65,0.968574
1,66,0.761663
1,67,1.70113
1,68,0
1,69,0.296782
1,70,0.272281
1,71,0.0398538
1,72,0
1,73,0
1,74,0.532852
1,75,0.287684
1,76,1.14333
1,77,0.529725
1,78,0
1,79,0
1,80,0
1,81,0.0588483
1,82,0
1,83,0
1,84,0
1,85,0.752308
1,86,0
1,87,0
1,88,0
1,89,1.19895
1,90,0.626521
1,91,1.22219
1,92,0
1,93,0
1,94,0
1,95,0
1,96,0
1,97,0
1,98,0.0516162
1,99,0.485878
2,0,0.047515
2,1,0.0276914
2,2,0
2,3,0.693753
2,4,1.98383
2,5,0.0673694
2,6,0
2,7,1.08259
2,8,2.35231
2,9,2.75843
2,10,0.479341
2,11,0.531958
2,12,0.383905
2,13,0.982238
2,14,0.318335
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0.975923
2,20,0
2,21,0.549136
2,22,1.07826
2,23,0.482847
2,24,0
2,25,0.0472591
2,26,2.3096
2,27,0.80832
2,28,0.32995
2,29,0.49629
2,30,0
2,31,0
2,32,0.295945
2,33,0.143325
2,34,0.119926
2,35,0.199473
2,36,0.996472
2,37,0
2,38,0.0859489
2,39,0
2,40,0
2,41,0
2,42,0
2,43,0.587627
2,44,0
2,45,0
2,46,0
2,47,0.0706136
2,48,0
2,49,0.119715
2,50,1.50738
2,51,0
2,52,0.2884
2,53,1.05973
2,54,3.09627
2,55,0.525414
2,56,0
2,57,0.0368326
2,58,0
2,59,0.114792
2,60,2.22128
2,61,0
2,62,0.264733
2,63,0.512106
2,64,0.0400405
2,65,0
2,66,0
2,67,0.17614
2,68,0
2,69,0
2,70,0.389533
2,71,0.0092145
2,72,0.351586
2,73,0.599863
2,74,0.462868
2,75,0
2,76,0.60011
2,77,0.0647859
2,78,1.3057
2,79,0.860602
2,80,2.3638
2,81,0.53227
2,82,1.57005
2,83,0
2,84,1.36033
2,85,0
2,86,0.646624
2,87,0.636201
2,88,0.414179
2,89,0
2,90,0.0393866
2,91,0
2,92,0
2,93,2.09857
2,94,0
2,95,0.336598
2,96,0
2,97,1.16924
2,98,0.232776
2,99,0
3,0,0.309556
3,1,0.512753
3,2,0.693753
3,3,0
3,4,0
3,5,0
3,6,1.12354
3,7,0
3,8,0.292265
3,9,0
3,10,0
3,11,0.0170246
3,12,0.366942
3,13,0
3,14,0.321842
3,15,0.862739
3,16,0.395357
3,17,0
3,18,1.58291
3,19,0
3,20,1.14277
3,21,0.346269
3,22,0.0472117
3,23,0
3,24,0.113597
3,25,0.272847
3,26,0
3,27,0.823179
3,28,0.25589
3,29,1.89685
3,30,1.54132
3,31,0.0263986
3,32,0
3,33,0.317545
3,34,0.933264
3,35,0.374379
3,36,0.164344
3,37,0.451446
3,38,0.323078
3,39,1.02684
3,40,0.955348
3,41,2.59566
3,42,0.785569
3,43,0.238118
3,44,0.516212
3,45,2.53529
3,46,0.78774
3,47,0
3,48,1.12601
3,49,0
3,50,0
3,51,0.0715654
3,52,0.0244562
3,53,0.489173
3,54,0
3,55,0
3,56,1.7644
3,57,0
3,58,1.31064
3,59,0.232461
3,60,1.02041
3,61,0.404473
3,62,0.320016
3,63,0.724059
3,64,0
3,65,1.16088
3,66,1.72683
3,67,0
3,68,0
3,69,0.885701
3,70,0.374584
3,71,1.28601
3,72,0.0624462
3,73,0
3,74,0.164868
3,75,1.04928
3,76,0
3,77,0
3,78,0
3,79,0.471008
3,80,0
3,81,0.343033
3,82,0
3,83,0.718949
3,84,0.0530614
3,85,2.09487
3,86,0.0384303
3,87,0
3,88,0.382824
3,89,1.43219
3,90,1.26633
3,91,2.07311
3,92,0.195522
3,93,0
3,94,0.166942
3,95,0
3,96,0.0578624
3,97,0.633573
3,98,0.711551
3,99,0.798659
4,0,2.7576
4,1,0
4,2,1.98383
4,3,0
4,4,0
4,5,0.235681
4,6,0.34348
4,7,0.508001
4,8,2.02833
4,9,3.20828
4,10,0
4,11,0
4,12,0.344432
4,13,0.561067
4,14,0
4,15,0
4,16,0
4,17,0
4,18,1.42147
4,19,0.324924
4,20,1.15816
4,21,0.298129
4,22,0.858697
4,23,0.149196
4,24,0.731335
4,25,0.118899
4,26,0.712396
4,27,1.40802
4,28,0
4,29,0.705935
4,30,0.555263
4,31,0.635775
4,32,0
4,33,0
4,34,0.208979
4,35,0
4,36,0.843272
4,37,0
4,38,3.19449
4,39,0
4,40,0.357836
4,41,0.889902
4,42,1.28575
4,43,0
4,44,0
4,45,1.4556
4,46,0.151491
4,47,0.0292258
4,48,0.242969
4,49,0.277536
4,50,0
4,51,2.6813
4,52,0
4,53,0
4,54,0.86129
4,55,0
4,56,0.579364
4,57,0
4,58,1.16076
4,59,0
4,60,2.25915
4,61,0
4,62,0.0720083
4,63,0.13376
4,64,0
4,65,0.284734
4,66,0.0869343
4,67,0
4,68,0.687571
4,69,0.343021
4,70,0
