id,v0,v1,v2,v3
\string0,2.132,-2.124,-1,-1.195
\string1,-1.647,-1.461,-1.324,2.293
\string2,0.254,-0.206,-1.06,-1.679
\string3,-1.848,0.361,-0.804,1.018
\string4,-1.245,1.906,0.092,-1.376
\string5,2.232,0.358,-0.414,2.231
\string6,0.855,-1.441,1.099,0.114
\string7,-1.401,2.148,-1.905,-1.23
\string8,0.942,1.46,-1.504,1.391
\string9,0.485,1.726,-2.287,1.274
\string10,-1.149,1.555,0.205,1.94
\string11,-0.294,0.359,2.424,-0.255
\string12,-0.784,0.05,-1.238,-0.181
\string13,-0.154,1.759,-0.263,-1.899
\string14,-0.438,-0.537,0.735,1.684
\string15,-2.191,-1.484,1.028,0.599
\string16,-1.955,-1.668,-1.412,2.462
\string17,-1.751,-0.513,2.358,1.889
\string18,-0.298,-2.292,-2.313,-1.157
\string19,-1.504,0.783,-1.755,-0.207
\string20,2.284,-1.54,-0.843,0.391
\string21,-0.273,0.268,-0.95,0.371
\string22,0.082,1.032,-0.876,-1.003
\string23,1.353,2.131,0.893,-1.605
\string24,2.466,0.539,0.933,-1.422
\string25,-2.271,-0.34,-1.1,-1.944
\string26,-1.079,2.239,-0.651,-0.72
\string27,0.538,0.059,-1.51,0.149
\string28,-1.157,-0.555,-0.004,2.206
\string29,-0.07,-0.634,-1.524,1.562
\string30,-0.735,-1.887,-2.307,1.15
\string31,-1.374,0.373,-2.039,-1.768
\string32,2.066,2.094,2.38,2.086
\string33,1.516,-0.214,1.473,1.497
\string34,-1.141,-0.704,-2.31,1.584
\string35,-1.644,-0.339,1.115,0.848
\string36,-0.48,0.577,0.109,-2
\string37,1.141,-0.842,2.186,1.033
\string38,1.005,-0.161,-1.676,-1.588
\string39,-1.719,-2.082,0.197,1.101
\string40,1.695,-1.683,0.888,0.879
\string41,-0.683,-2.125,-0.548,-0.7
\string42,-0.916,-1.494,-2.436,-2.338
\string43,-0.381,0.318,2.107,-0.612
\string44,-2.247,-2.373,1.047,2.085
\string45,0.098,-1.829,-0.603,-1.257
\string46,-2.009,-2.479,-2.43,1.702
\string47,1.925,0.983,1.756,-0.952
\string48,-1.527,-1.418,-1.88,0.584
\string49,1.751,1.735,0.971,-1.944
\string50,-0.14,1.745,0.2,-0.292
\string51,1.832,0.354,-2.179,-2.475
\string52,1.704,0.789,0.829,1.122
\string53,-1.11,0.299,1.134,-0.975
\string54,-1.34,2.421,-0.317,0.031
\string55,0.117,2.095,2.124,-0.038
\string56,-0.165,-1.8,-1.874,1.94
\string57,-2.28,0.982,1.423,2.484
\string58,-0.916,-2.289,-1.634,-2.029
\string59,1.307,-0.095,1.743,1.449
\string60,0.429,0.752,-2.397,1.118
\string61,-2.131,-1.914,-0.486,2.168
\string62,0.508,0.208,0.373,0.03
\string63,-1.872,-0.402,-0.082,-1.572
\string64,-1.594,-0.646,2.309,2.345
\string65,-2.227,-2.437,-0.669,-1.649
\string66,-0.764,-1.811,0.146,0.429
\string67,-1.885,2.003,-0.095,1.926
\string68,2.369,-0.493,-2.201,1.482
\string69,-1.827,-1.445,-1.692,-0.382
\string70,-0.798,-0.149,0.789,0.674
\string71,0.751,-1.395,-0.092,0.686
\string72,0.843,0.56,1.848,0.555
\string73,0.948,1.937,0.981,-1.344
\string74,-1.712,0.534,-2.29,1.198
\string75,-1.543,-1.671,-1.63,1.194
\string76,-2.288,1.522,-1.842,1.295
\string77,-0.864,1.957,1.895,2.202
\string78,0.483,2.077,-0.416,-0.707
\string79,0.554,0.535,-0.716,0.819
\string80,-2.407,2.05,0.028,-0.024
\string81,-0.179,-0.108,1.57,-1.608
\string82,1.151,2.357,-1.513,-0.044
\string83,1.924,-1.99,0.64,1.787
\string84,-0.861,0.92,-1.556,0.557
\string85,-0.353,-2.275,-1.624,-0.411
\string86,2.105,0.197,-2.383,-0.811
\string87,0.872,1.864,1.274,0.657
\string88,2.416,-0.172,-0.625,0.431
\string89,-0.788,-2.278,1.169,0.405
\string90,-0.794,-1.4,0.718,0.457
\string91,-0.608,-1.533,-0.096,-1.647
\string92,2.151,-0.593,-1.503,-2.068
\string93,-1.213,2.073,-1.592,-0.069
\string94,2.041,-2.003,1.569,-1.867
\string95,1.995,1.403,0.34,-0.752
\string96,-0.265,0.178,-1.214,-2.453
\string97,0.037,0.589,-1.446,0.933
\string98,0.045,-1.321,1.613,-1.712
\string99,-1.687,-1.109,-1.28,-1.826
