Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,-4.44089e-16
0,7,0
0,8,0
0,9,0
0,10,0
0,11,-8.88178e-16
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,4.44089e-16
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,4.44089e-16
0,30,0
0,31,0
0,32,8.88178e-16
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,8.88178e-16
0,55,0
0,56,4.44089e-16
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,-8.88178e-16
0,64,0
0,65,-8.88178e-16
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,-8.88178e-16
0,74,0
0,75,8.88178e-16
0,76,0
0,77,-8.88178e-16
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,-8.88178e-16
0,88,0
0,89,0
0,90,4.44089e-16
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,-8.88178e-16
1,0,0
1,1,0
1,2,1.19469
1,3,1.6589
1,4,2.82115
1,5,1.24766
1,6,1.76062
1,7,2.60465
1,8,2.79868
1,9,3.60018
1,10,2.50759
1,11,3.70816
1,12,1.20532
1,13,2.99259
1,14,1.70278
1,15,1.37348
1,16,0.0516813
1,17,2.75604
1,18,0.17706
1,19,1.7538
1,20,8.88178e-16
1,21,1.47282
1,22,2.4096
1,23,4.51023
1,24,3.90537
1,25,0.785282
1,26,3.1019
1,27,1.28875
1,28,1.05559
1,29,0.378184
1,30,0.40121
1,31,1.31471
1,32,4.64046
1,33,2.80084
1,34,0.991347
1,35,2.23015
1,36,2.03363
1,37,3.67387
1,38,1.4369
1,39,0.841001
1,40,1.75499
1,41,0.176208
1,42,0.391746
1,43,3.30065
1,44,1.57389
1,45,0.218491
1,46,0.421602
1,47,4.6186
1,48,0.171307
1,49,4.36622
1,50,3.60662
1,51,2.46732
1,52,3.1153
1,53,2.29692
1,54,3.25632
1,55,4.69932
1,56,0.345609
1,57,1.95711
1,58,0.0490616
1,59,3.22839
1,60,2.44049
1,61,0.541113
1,62,2.11145
1,63,1.04696
1,64,2.6305
1,65,0.156827
1,66,0.657601
1,67,2.28057
1,68,1.73141
1,69,0.171805
1,70,2.18055
1,71,0.439249
1,72,4.11461
1,73,4.26366
1,74,1.7878
1,75,0.0358762
1,76,1.92417
1,77,3.09643
1,78,3.87785
1,79,1.71148
1,80,2.47293
1,81,2.47786
1,82,4.64011
1,83,1.68009
1,84,2.29121
1,85,0.0202066
1,86,2.60399
1,87,4.98883
1,88,1.6965
1,89,1.56026
1,90,1.28542
1,91,0.566981
1,92,1.67868
1,93,2.94059
1,94,2.50628
1,95,4.20812
1,96,1.42937
1,97,1.78834
1,98,1.91863
1,99,0.416852
2,0,0
2,1,1.19469
2,2,0
2,3,0.373443
2,4,0.12056
2,5,0.11727
2,6,1.59578
2,7,0.0658856
2,8,0.127389
2,9,0.271882
2,10,0.133895
2,11,1.24128
2,12,0.267945
2,13,0.242943
2,14,0.727281
2,15,1.44657
2,16,1.32435
2,17,1.17894
2,18,2.1552
2,19,0.222709
2,20,4.44089e-16
2,21,0.102449
2,22,0.0580065
2,23,1.05151
2,24,2.091
2,25,0.4201
2,26,0.0162619
2,27,0.127555
2,28,0.683245
2,29,0.518158
2,30,1.66518
2,31,0.24787
2,32,0.913542
2,33,0.947543
2,34,0.925341
2,35,0.891029
2,36,0.347874
2,37,1.63995
2,38,0.6214
2,39,1.68212
2,40,1.45951
2,41,2.13779
2,42,0.868267
2,43,1.18366
2,44,1.78508
2,45,1.09456
2,46,1.92252
2,47,1.67596
2,48,1.32894
2,49,1.41577
2,50,0.186689
2,51,1.58401
2,52,0.553667
2,53,0.748771
2,54,0.024242
2,55,0.740688
2,56,1.34377
2,57,0.512996
2,58,1.25225
2,59,1.02756
2,60,0.384792
2,61,1.45039
2,62,0.394578
2,63,0.607546
2,64,1.18951
2,65,1.5236
2,66,1.57374
2,67,0.107807
2,68,0.844159
2,69,1.32969
2,70,0.682915
2,71,0.686905
2,72,0.999096
2,73,0.878754
2,74,0.472844
2,75,1.4105
2,76,0.223668
2,77,0.398581
2,78,0.269235
2,79,0.0028699
2,80,0.112036
2,81,1.35243
2,82,0.421501
2,83,1.47613
2,84,0.134578
2,85,2.19179
2,86,1.45953
2,87,0.548769
2,88,0.413833
2,89,2.15741
2,90,1.39921
2,91,1.3817
2,92,1.02843
2,93,0.0395874
2,94,3.25649
2,95,1.08449
2,96,0.00610228
2,97,0.0984834
2,98,2.13483
2,99,0.764152
3,0,0
3,1,1.6589
3,2,0.373443
3,3,0
3,4,1.30602
3,5,0.624896
3,6,1.54047
3,7,1.26346
3,8,1.35202
3,9,2.00682
3,10,0.520032
3,11,3.04459
3,12,0.154883
3,13,1.65501
3,14,0.970262
3,15,1.70621
3,16,1.98248
3,17,2.33214
3,18,0.631932
3,19,0.589324
3,20,0
3,21,0.226378
3,22,1.13876
3,23,3.41523
3,24,3.12996
3,25,0.0129343
3,26,1.55857
3,27,0.475307
3,28,0.595323
3,29,0.33414
3,30,1.66784
3,31,0.423562
3,32,3.17538
3,33,1.98988
3,34,1.4253
3,35,1.85614
3,36,0.864516
3,37,3.09693
3,38,0.772021
3,39,1.93014
3,40,1.72401
3,41,0.41328
3,42,0.283905
3,43,2.51205
3,44,2.82154
3,45,0.109298
3,46,2.74717
3,47,3.78167
3,48,0.92882
3,49,3.36492
3,50,2.18733
3,51,1.85506
3,52,1.86724
3,53,1.24499
3,54,1.53523
3,55,3.47185
3,56,1.47109
3,57,0.782133
3,58,0.200419
3,59,2.28913
3,60,1.47968
3,61,2.26028
3,62,0.976609
3,63,0.18724
3,64,2.2316
3,65,0.418709
3,66,0.963369
3,67,0.367873
3,68,1.61318
3,69,0.41195
3,70,1.17112
3,71,0.377909
3,72,2.86915
3,73,3.12191
3,74,1.29771
3,75,1.43624
3,76,0.528997
3,77,1.45349
3,78,2.56179
3,79,0.469244
3,80,0.722851
3,81,1.64949
3,82,3.36652
3,83,1.91078
3,84,0.889751
3,85,0.590762
3,86,2.12201
3,87,2.954
3,88,1.0994
3,89,2.08677
3,90,1.23581
3,91,0.230885
3,92,1.21672
3,93,1.53941
3,94,2.41105
3,95,3.10026
3,96,0.497987
3,97,0.540552
3,98,1.52426
3,99,0.0145954
4,0,0
4,1,2.82115
4,2,0.12056
4,3,1.30602
4,4,0
4,5,0.147725
4,6,1.44023
4,7,1.77761
4,8,0.545808
4,9,1.16875
4,10,0.234665
4,11,2.11491
4,12,0.809689
4,13,0.434153
4,14,1.09116
4,15,3.34426
4,16,3.22904
4,17,2.30539
4,18,2.05408
4,19,1.60092
4,20,0
4,21,0.378638
4,22,0.228562
4,23,2.02996
4,24,1.95218
4,25,1.22207
4,26,0.381137
4,27,0.469844
4,28,1.39313
4,29,1.15679
4,30,3.15168
4,31,1.29119
4,32,1.34454
4,33,1.10606
4,34,2.46342
4,35,1.79185
4,36,0.0536261
4,37,2.16654
