1600,2
1,8.5132435E+00,7.0879738E+00
1,7.9073449E+00,8.4266375E+00
1,8.6431459E+00,5.6864362E+00
1,6.6465516E+00,8.3078392E+00
1,6.3669009E+00,7.6649549E+00
1,7.8413977E+00,6.9921556E+00
1,7.5498175E+00,8.0887813E+00
1,6.5485607E+00,6.7708128E+00
1,7.4327104E+00,6.5895907E+00
1,5.8148865E+00,7.2839182E+00
1,8.1767593E+00,7.9696135E+00
1,7.7561371E+00,7.6981475E+00
1,8.1644141E+00,7.8956249E+00
1,8.6749364E+00,9.2358685E+00
1,6.8384099E+00,8.6611238E+00
1,7.048245E+00,9.4158471E+00
1,7.4019061E+00,1.01336E+01
1,8.1864322E+00,5.8345006E+00
1,8.5646352E+00,6.8010598E+00
1,7.8920081E+00,7.4740448E+00
1,7.4452439E+00,8.99169E+00
1,8.650292E+00,8.3133714E+00
1,7.0974895E+00,9.0883931E+00
1,8.9285245E+00,8.0359053E+00
1,6.3180268E+00,6.7649874E+00
1,7.2646382E+00,7.1326149E+00
1,7.0985749E+00,7.2696691E+00
1,5.1908574E+00,6.9669407E+00
1,6.7458191E+00,7.1965527E+00
1,7.3603637E+00,7.4634296E+00
1,7.0375487E+00,6.4593631E+00
1,8.2662658E+00,8.552966E+00
1,6.9723092E+00,7.8807989E+00
1,8.1399552E+00,7.2146182E+00
1,7.082766E+00,7.142252E+00
1,6.4005227E+00,7.2659303E+00
1,8.6220203E+00,7.6938857E+00
1,7.8958209E+00,8.1978728E+00
1,6.4859497E+00,7.4526446E+00
1,7.7585641E+00,7.1475657E+00
1,7.465336E+00,6.8629243E+00
1,7.1007503E+00,6.9871419E+00
1,6.8907507E+00,8.0353637E+00
1,8.0093896E+00,8.6160245E+00
1,8.5238172E+00,8.7275373E+00
1,7.1495259E+00,6.8443273E+00
1,8.914044E+00,6.0286156E+00
1,7.8214735E+00,8.8149371E+00
1,8.5205283E+00,7.5356138E+00
1,6.972412E+00,8.7189701E+00
1,8.0444972E+00,8.2092472E+00
1,5.6951701E+00,8.5875205E+00
1,9.6951279E+00,7.7909227E+00
1,7.2920402E+00,6.8941937E+00
1,8.2145548E+00,3.9248217E+00
1,8.7535168E+00,6.8544641E+00
1,8.2735009E+00,7.406866E+00
1,6.3807494E+00,6.1231954E+00
1,7.2281613E+00,6.9186377E+00
1,7.2111236E+00,6.9555154E+00
1,7.8843862E+00,7.9463615E+00
1,7.6551903E+00,7.4189596E+00
1,7.5804387E+00,9.7152008E+00
1,9.4574058E+00,8.3237335E+00
1,9.4597928E+00,6.8730904E+00
1,9.7432896E+00,6.825797E+00
1,8.6384313E+00,8.0765187E+00
1,6.6111641E+00,7.5576624E+00
1,5.7507938E+00,8.2404203E+00
1,6.7393383E+00,8.2097332E+00
1,8.2075429E+00,6.6483037E+00
1,7.4350966E+00,7.9179241E+00
1,7.4209398E+00,8.1004383E+00
1,7.3360219E+00,6.3263996E+00
1,8.7717169E+00,7.4204319E+00
1,8.5257523E+00,7.4066853E+00
1,7.3823581E+00,4.5345225E+00
1,8.0220765E+00,6.9248478E+00
1,9.0545111E+00,8.4441343E+00
