id,v0,v1
\string0,0,0
\string73,0.9643925566517457,0
\string80,2.047484979858214,0.0991812896083223
\string81,3.177037824544769,1.031773721025109
\string82,3.502516159859902,0.8783304843302709
\string83,4.823538141390534,2.13713964388556
\string64,1.447993732878105,1.603780155864113
\string59,0.9114737404853928,2.065962683055266
\string58,0.3986566916945425,1.675638666634094
\string51,-0.1147710877082646,-1.762883501955815
\string57,-0.3292952203358847,-1.070510146450281
\string42,-0.9258547922003253,-2.818915864609738
\string40,-0.6402268790071961,-3.377480338966647
\string38,-0.6444697020230878,-3.455308747163686
\string35,-0.8968717633654206,-4.05302534395035
\string91,-1.350779528925077,-4.809773250084596
\string106,-2.368384573157638,-4.955588221077396
\string96,-2.543233228438342,-3.94832791367555
\string2,-1.981772652700654,-3.116849496103633
\string36,-2.416242926790393,-2.429192320579259
\string116,-3.376657912930879,-5.20852200631617
\string120,-3.549651867982126,-5.418471160476022
\string133,-4.118517016901635,-5.960763079113661
\string136,-3.994585969111334,-6.195901306235761
\string152,-3.875158618312049,-6.8986301861418
\string160,-3.857727411227172,-7.35251730566022
\string161,-4.302570747978658,-7.109123868085811
\string154,-3.347311794254036,-7.389591609679345
\string155,-2.921327052199323,-7.763171308390818
\string162,-2.871183188224109,-8.378601015166698
\string170,-3.120370412133312,-8.47990762878282
\string178,-3.869490503969616,-8.487712084338973
\string189,-4.102575652438936,-8.809340245546981
\string192,-3.962167884544515,-9.00224566509929
\string197,-3.735894241018498,-9.305742576114044
\string196,-3.024186301163849,-9.835865965161208
\string11,-4.332689356429467,-8.565782384087678
\string13,-4.608215782191943,-8.57490442370794
\string199,-4.528542653959053,-8.874734649373412
\string188,-4.842919339567753,-8.258810158221367
\string186,-4.983260188733228,-8.045940314045227
\string185,-5.259643821077361,-7.767371038310301
\string184,-5.354667741322315,-7.643747688771502
\string8,-5.213926547137911,-5.784429030042405
\string132,-2.266355450486793,-7.446445399850003
\string16,-4.300240792910005,-10.30936333796275
\string18,-4.991050719615584,-10.53996646767832
\string19,-5.562438291291181,-10.22274231526386
\string27,-5.394006383407317,-12.47042725433799
\string29,-5.311757046125352,-12.97536249441703
\string30,-4.539212917730532,-13.89977886924702
\string28,-4.796810401639865,-14.01712977630322
\string26,-5.053954702654293,-14.2906577841465
\string23,-4.477609705817864,-14.85572947995951
\string22,-3.788984369026447,-15.14713650728882
\string24,-3.952663305610244,-14.92964076875292
\string21,-3.23506364853165,-15.62244883681863
\string20,-2.344282471391464,-16.02668923681247
\string17,-1.610332111043481,-16.40217607803146
\string15,-2.13776244005747,-16.38470432217612
\string14,-2.362527050894854,-16.34338847159079
\string193,-2.134761271157605,-16.4502983960955
\string187,-2.150226555155295,-16.45851503567168
\string191,-2.614070365068275,-16.35749953978725
\string190,-2.825053629428583,-16.32128407725759
\string198,-2.916896873856428,-16.27871910458814
\string180,-2.770696568124949,-16.36818432111732
\string176,-2.786196903061127,-16.4012887119365
\string168,-1.920193182911028,-16.54088080097942
\string172,-1.730175408494839,-16.56579196766591
\string166,-1.372646338289737,-16.61893333548607
\string167,-1.300966054958454,-16.63091939638091
\string169,-1.326541178211477,-16.62857848379607
\string163,-1.052373449258158,-16.66856641210125
\string174,-1.419132128084059,-16.61934728194723
\string181,-1.433053192925743,-16.61647951714891
\string10,-1.510932709487608,-16.59875363368797
\string9,-1.266608820122951,-16.65311504781964
\string179,-1.225653840965162,-16.6616337440687
\string182,-1.234429723071639,-16.66084804482043
\string12,-1.350582296264507,-16.63010790113367
\string195,-1.683641396847309,-16.545191057307
