,\string0,\string73,\string80,\string81,\string82,\string83,\string64,\string59,\string58,\string51,\string57,\string42,\string40,\string38,\string35,\string91,\string106,\string96,\string2,\string36,\string116,\string120,\string133,\string136,\string152,\string160,\string161,\string154,\string155,\string162,\string170,\string178,\string189,\string192,\string197,\string196,\string11,\string13,\string199,\string188,\string186,\string185,\string184,\string8,\string132,\string16,\string18,\string19,\string27,\string29,\string30,\string28,\string26,\string23,\string22,\string24,\string21,\string20,\string17,\string15,\string14,\string193,\string187,\string191,\string190,\string198,\string180,\string176,\string168,\string172,\string166,\string167,\string169,\string163,\string174,\string181,\string10,\string9,\string179,\string182,\string12,\string195,\string194,\string183,\string177,\string175,\string173,\string164,\string165,\string171,\string158,\string150,\string149,\string144,\string143,\string140,\string142,\string138,\string134,\string130,\string123,\string126,\string122,\string5,\string135,\string7,\string137,\string147,\string148,\string153,\string156,\string157,\string159,\string151,\string145,\string141,\string139,\string129,\string128,\string6,\string127,\string124,\string121,\string117,\string111,\string110,\string109,\string105,\string102,\string99,\string98,\string100,\string97,\string89,\string87,\string84,\string32,\string88,\string95,\string93,\string3,\string103,\string108,\string112,\string118,\string119,\string115,\string113,\string104,\string114,\string125,\string131,\string146,\string31,\string39,\string46,\string49,\string1,\string53,\string55,\string60,\string61,\string62,\string66,\string69,\string68,\string67,\string65,\string54,\string50,\string43,\string44,\string41,\string37,\string33,\string85,\string86,\string90,\string101,\string4,\string94,\string92,\string34,\string45,\string48,\string47,\string56,\string52,\string63,\string70,\string72,\string75,\string77,\string79,\string78,\string76,\string71,\string74,\string107,\string25
\string0,0,0.964,2.050,3.340,3.611,5.276,2.161,2.258,1.722,1.767,1.120,2.967,3.438,3.515,4.151,4.996,5.492,4.697,3.694,3.426,6.207,6.478,7.245,7.372,7.913,8.303,8.310,8.112,8.295,8.857,9.036,9.328,9.718,9.836,10.028,10.290,9.599,9.735,9.963,9.574,9.464,9.381,9.333,7.787,7.784,11.170,11.662,11.638,13.587,14.021,14.622,14.815,15.158,15.516,15.614,15.444,15.954,16.197,16.481,16.524,16.513,16.588,16.598,16.565,16.564,16.538,16.601,16.636,16.652,16.656,16.676,16.682,16.681,16.702,16.680,16.678,16.667,16.701,16.707,16.707,16.685,16.631,16.618,16.800,16.808,16.810,16.879,16.870,16.834,16.762,16.750,16.758,16.775,16.745,16.733,16.734,16.709,16.694,16.683,16.663,16.647,16.683,16.679,16.737,16.782,16.794,16.866,16.695,16.671,16.678,16.671,16.671,16.670,16.644,16.634,16.630,16.636,16.585,16.585,16.625,16.606,16.591,16.595,16.566,16.508,16.485,16.480,16.301,16.228,16.134,16.143,16.157,16.151,16.043,15.909,15.829,15.733,15.905,16.033,16.027,16.103,16.192,16.269,16.428,16.486,16.488,16.466,16.488,16.249,16.447,16.555,16.584,16.636,15.725,15.356,14.878,14.574,14.351,14.106,14.023,13.780,13.695,13.353,12.808,12.446,12.387,12.499,12.947,14.019,14.308,15.106,15.094,15.399,15.623,15.884,15.995,16.024,16.164,16.332,16.401,16.264,16.300,15.904,15.304,15.317,15.543,14.226,14.355,13.492,12.816,12.240,11.587,11.239,10.602,9.253,8.806,8.120,11.608,16.743,15.508
\string73,0.964,0,1.088,2.441,2.686,4.411,1.675,2.067,1.769,2.067,1.679,3.394,3.739,3.812,4.460,5.338,5.972,5.281,4.289,4.163,6.780,7.052,7.834,7.936,8.427,8.793,8.848,8.556,8.681,9.215,9.412,9.768,10.163,10.262,10.425,10.614,10.071,10.227,10.437,10.096,10.006,9.953,9.918,8.464,8.117,11.576,12.106,12.129,13.998,14.414,14.950,15.155,15.506,15.821,15.875,15.719,16.177,16.365,16.603,16.676,16.679,16.740,16.751,16.744,16.755,16.735,16.789,16.825,16.791,16.784,16.782,16.784,16.786,16.790,16.789,16.789,16.782,16.802,16.805,16.805,16.790,16.756,16.749,16.869,16.872,16.869,16.918,16.899,16.873,16.832,16.804,16.791,16.797,16.772,16.763,16.759,16.746,16.729,16.711,16.676,16.641,16.675,16.654,16.695,16.779,16.796,16.846,16.747,16.738,16.757,16.758,16.765,16.772,16.754,16.735,16.724,16.715,16.643,16.640,16.668,16.636,16.610,16.595,16.547,16.467,16.441,16.423,16.257,16.188,16.077,16.079,16.092,16.078,15.978,15.853,15.756,15.654,15.873,16.008,15.998,16.097,16.211,16.292,16.464,16.521,16.523,16.485,16.481,16.234,16.508,16.654,16.684,16.759,15.703,15.268,14.731,14.415,14.187,13.946,13.848,13.613,13.495,13.112,12.530,12.142,12.112,12.237,12.754,13.887,14.194,15.090,14.936,15.254,15.473,15.739,15.864,15.908,16.055,16.231,16.291,16.136,16.158,15.738,15.056,15.025,15.226,13.957,14.145,13.163,12.411,11.839,11.253,10.941,10.205,8.925,8.474,7.759,11.474,16.597,15.729
\string80,2.050,1.088,0,1.465,1.651,3.444,1.620,2.271,2.281,2.728,2.568,4.030,4.239,4.302,4.930,5.808,6.564,5.991,5.034,5.035,7.452,7.722,8.508,8.584,9.017,9.353,9.458,9.069,9.134,9.630,9.846,10.265,10.663,10.742,10.872,10.978,10.601,10.777,10.966,10.680,10.610,10.592,10.569,9.222,8.520,12.023,12.592,12.665,14.437,14.831,15.292,15.510,15.869,16.135,16.140,15.998,16.397,16.522,16.708,16.815,16.832,16.878,16.889,16.913,16.938,16.924,16.967,17.004,16.914,16.894,16.870,16.867,16.870,16.857,16.880,16.880,16.879,16.882,16.883,16.884,16.877,16.864,16.865,16.914,16.910,16.903,16.928,16.898,16.884,16.877,16.833,16.795,16.790,16.770,16.765,16.755,16.755,16.736,16.710,16.658,16.602,16.634,16.594,16.614,16.743,16.767,16.790,16.773,16.780,16.813,16.824,16.839,16.855,16.845,16.815,16.796,16.772,16.676,16.670,16.683,16.638,16.600,16.562,16.493,16.388,16.360,16.327,16.177,16.114,15.984,15.976,15.988,15.964,15.876,15.761,15.645,15.537,15.808,15.951,15.935,16.060,16.203,16.288,16.474,16.529,16.530,16.476,16.441,16.186,16.546,16.733,16.764,16.865,15.649,15.142,14.541,14.212,13.980,13.746,13.631,13.406,13.251,12.825,12.202,11.787,11.792,11.929,12.523,13.718,14.044,15.046,14.732,15.064,15.276,15.547,15.687,15.747,15.902,16.088,16.135,15.961,15.967,15.523,14.748,14.669,14.840,13.632,13.887,12.774,11.939,11.374,10.870,10.604,9.758,8.572,8.123,7.385,11.320,16.399,15.949
\string81,3.340,2.441,1.465,0,0.360,1.983,1.821,2.490,2.852,3.372,3.507,4.475,4.480,4.525,5.072,5.897,6.793,6.421,5.564,5.765,7.771,8.031,8.805,8.837,9.174,9.457,9.637,9.110,9.083,9.516,9.754,10.259,10.653,10.700,10.782,10.769,10.638,10.840,10.995,10.796,10.761,10.796,10.794,9.643,8.413,11.916,12.535,12.683,14.294,14.653,15.004,15.238,15.606,15.802,15.741,15.620,15.937,15.979,16.099,16.247,16.283,16.308,16.321,16.383,16.425,16.420,16.449,16.486,16.325,16.291,16.238,16.229,16.234,16.199,16.251,16.252,16.258,16.241,16.238,16.240,16.242,16.257,16.267,16.228,16.218,16.204,16.202,16.158,16.158,16.193,16.128,16.061,16.042,16.028,16.028,16.012,16.028,16.006,15.972,15.900,15.818,15.847,15.787,15.783,15.963,15.993,15.986,16.065,16.092,16.142,16.165,16.189,16.217,16.217,16.174,16.145,16.103,15.977,15.967,15.963,15.902,15.850,15.787,15.694,15.560,15.529,15.479,15.348,15.292,15.141,15.123,15.134,15.099,15.024,14.921,14.784,14.669,14.999,15.149,15.129,15.282,15.458,15.548,15.749,15.800,15.802,15.729,15.658,15.395,15.854,16.090,16.123,16.255,14.855,14.268,13.599,13.258,13.023,12.797,12.666,12.453,12.259,11.790,11.130,10.690,10.731,10.881,11.550,12.805,13.150,14.266,13.773,14.118,14.322,14.597,14.752,14.830,14.993,15.188,15.222,15.027,15.017,14.548,13.681,13.554,13.695,12.554,12.876,11.637,10.729,10.175,9.753,9.536,8.588,7.513,7.073,6.323,10.444,15.439,15.492
\string82,3.611,2.686,1.651,0.360,0,1.825,2.179,2.850,3.205,3.724,3.837,4.835,4.838,4.882,5.425,6.246,7.148,6.781,5.924,6.119,8.129,8.387,9.160,9.191,9.522,9.802,9.987,9.451,9.416,9.843,10.082,10.595,10.988,11.033,11.109,11.083,10.977,11.181,11.333,11.141,11.108,11.146,11.145,10.002,8.742,12.240,12.864,13.019,14.612,14.968,15.304,15.540,15.909,16.095,16.024,15.907,16.211,16.238,16.344,16.500,16.540,16.561,16.574,16.644,16.689,16.685,16.712,16.748,16.575,16.537,16.478,16.469,16.474,16.434,16.492,16.494,16.500,16.480,16.476,16.478,16.482,16.503,16.514,16.457,16.446,16.431,16.422,16.376,16.378,16.423,16.354,16.280,16.258,16.245,16.246,16.229,16.248,16.226,16.189,16.113,16.026,16.054,15.988,15.979,16.171,16.203,16.189,16.290,16.321,16.375,16.400,16.426,16.456,16.458,16.413,16.382,16.336,16.204,16.193,16.185,16.121,16.066,15.996,15.897,15.757,15.725,15.671,15.545,15.490,15.334,15.314,15.324,15.287,15.214,15.115,14.973,14.857,15.201,15.353,15.331,15.492,15.675,15.765,15.970,16.021,16.023,15.945,15.866,15.601,16.082,16.329,16.362,16.500,15.061,14.453,13.767,13.422,13.187,12.964,12.827,12.619,12.413,11.931,11.260,10.812,10.865,11.019,11.711,12.982,13.332,14.476,13.936,14.284,14.485,14.762,14.920,15.003,15.169,15.365,15.397,15.195,15.180,14.705,13.809,13.665,13.794,12.679,13.024,11.742,10.805,10.256,9.869,9.670,8.686,7.657,7.221,6.471,10.635,15.599,15.765
\string83,5.276,4.411,3.444,1.983,1.825,0,3.417,3.913,4.449,4.952,5.262,5.790,5.603,5.625,6.033,6.728,7.724,7.586,6.875,7.246,8.757,8.993,9.725,9.707,9.917,10.127,10.393,9.713,9.573,9.908,10.165,10.766,11.144,11.150,11.165,10.994,11.188,11.419,11.526,11.442,11.449,11.549,11.572,10.680,8.858,12.249,12.920,13.162,14.532,14.839,15.034,15.287,15.661,15.757,15.602,15.514,15.710,15.630,15.649,15.857,15.920,15.915,15.929,16.048,16.115,16.121,16.131,16.167,15.904,15.847,15.752,15.735,15.742,15.674,15.770,15.773,15.788,15.742,15.734,15.736,15.753,15.809,15.832,15.662,15.641,15.618,15.573,15.510,15.530,15.629,15.534,15.423,15.383,15.379,15.385,15.360,15.400,15.375,15.327,15.225,15.106,15.130,15.036,14.996,15.253,15.294,15.240,15.467,15.524,15.599,15.640,15.677,15.722,15.738,15.676,15.632,15.562,15.394,15.378,15.348,15.263,15.190,15.087,14.957,14.780,14.745,14.670,14.570,14.525,14.342,14.309,14.317,14.266,14.211,14.130,13.962,13.838,14.257,14.417,14.388,14.585,14.810,14.905,15.128,15.174,15.176,15.073,14.948,14.676,15.282,15.591,15.626,15.803,14.137,13.430,12.660,12.303,12.067,11.858,11.701,11.513,11.255,10.719,10.006,9.529,9.634,9.803,10.593,11.925,12.297,13.580,12.804,13.166,13.352,13.632,13.810,13.915,14.090,14.297,14.310,14.082,14.045,13.541,12.528,12.319,12.405,11.396,11.830,10.385,9.354,8.829,8.575,8.453,7.336,6.518,6.116,5.389,9.677,14.446,15.273
\string64,2.161,1.675,1.620,1.821,2.179,3.417,0,0.708,1.052,1.571,1.856,2.667,2.740,2.794,3.391,4.256,5.079,4.629,3.749,3.951,6.023,6.287,7.069,7.121,7.508,7.823,7.961,7.515,7.552,8.035,8.255,8.699,9.096,9.166,9.284,9.368,9.049,9.234,9.412,9.158,9.103,9.109,9.097,7.865,6.923,10.432,11.014,11.110,12.841,13.229,13.676,13.896,14.256,14.516,14.521,14.379,14.780,14.913,15.111,15.210,15.224,15.273,15.284,15.303,15.325,15.310,15.355,15.391,15.312,15.296,15.278,15.277,15.279,15.271,15.287,15.287,15.284,15.292,15.293,15.294,15.285,15.266,15.265,15.335,15.334,15.328,15.363,15.337,15.318,15.298,15.260,15.232,15.231,15.209,15.202,15.195,15.190,15.172,15.149,15.104,15.057,15.091,15.060,15.091,15.197,15.218,15.254,15.201,15.202,15.230,15.238,15.251,15.264,15.252,15.225,15.208,15.189,15.101,15.096,15.115,15.075,15.043,15.015,14.956,14.863,14.837,14.812,14.653,14.587,14.467,14.465,14.477,14.459,14.364,14.243,14.138,14.033,14.276,14.415,14.402,14.514,14.645,14.728,14.908,14.964,14.966,14.918,14.897,14.646,14.970,15.143,15.174,15.268,14.111,13.643,13.084,12.763,12.534,12.295,12.193,11.960,11.833,11.443,10.856,10.467,10.439,10.564,11.094,12.246,12.560,13.503,13.284,13.607,13.824,14.092,14.221,14.271,14.421,14.600,14.656,14.494,14.511,14.085,13.384,13.350,13.551,12.284,12.481,11.489,10.747,10.173,9.578,9.267,8.538,7.250,6.799,6.085,9.836,14.948,14.332
\string59,2.258,2.067,2.271,2.490,2.850,3.913,0.708,0,0.644,1.070,1.591,1.986,2.032,2.086,2.687,3.556,4.371,3.934,3.078,3.347,5.316,5.580,6.362,6.413,6.802,7.120,7.254,6.817,6.866,7.359,7.576,8.006,8.403,8.477,8.603,8.710,8.352,8.534,8.715,8.454,8.397,8.402,8.389,7.166,6.249,9.753,10.327,10.414,12.166,12.560,13.029,13.244,13.603,13.879,13.900,13.753,14.176,14.335,14.556,14.640,14.648,14.703,14.715,14.720,14.737,14.719,14.769,14.805,14.749,14.738,14.731,14.732,14.734,14.734,14.739,14.738,14.733,14.749,14.751,14.752,14.739,14.710,14.706,14.809,14.810,14.807,14.854,14.834,14.809,14.772,14.742,14.726,14.732,14.707,14.698,14.694,14.681,14.664,14.646,14.610,14.574,14.609,14.588,14.630,14.712,14.730,14.780,14.684,14.677,14.698,14.702,14.711,14.720,14.703,14.681,14.669,14.657,14.581,14.578,14.604,14.571,14.544,14.528,14.481,14.402,14.377,14.360,14.192,14.123,14.014,14.017,14.030,14.017,13.916,13.790,13.695,13.594,13.807,13.942,13.932,14.030,14.145,14.227,14.400,14.456,14.458,14.420,14.414,14.167,14.447,14.600,14.631,14.713,13.636,13.210,12.690,12.378,12.152,11.910,11.818,11.579,11.477,11.117,10.560,10.193,10.140,10.256,10.731,11.840,12.142,13.023,12.899,13.212,13.434,13.698,13.818,13.857,14.002,14.177,14.239,14.089,14.116,13.705,13.067,13.067,13.289,11.981,12.133,11.236,10.561,9.985,9.329,8.986,8.347,6.995,6.549,5.863,9.427,14.557,13.728
\string58,1.722,1.769,2.281,2.852,3.205,4.449,1.052,0.644,0,0.521,0.947,1.750,1.994,2.063,2.707,3.589,4.291,3.718,2.783,2.914,5.171,5.440,6.226,6.303,6.749,7.095,7.185,6.832,6.934,7.458,7.660,8.039,8.435,8.526,8.678,8.849,8.358,8.525,8.724,8.415,8.339,8.314,8.290,6.956,6.356,9.830,10.374,10.421,12.251,12.661,13.184,13.390,13.743,14.053,14.107,13.950,14.412,14.611,14.863,14.926,14.925,14.990,15.001,14.988,14.996,14.975,15.030,15.066,15.045,15.042,15.048,15.052,15.052,15.063,15.054,15.053,15.045,15.070,15.074,15.074,15.056,15.015,15.006,15.150,15.155,15.155,15.214,15.201,15.169,15.113,15.093,15.090,15.102,15.075,15.064,15.062,15.043,15.027,15.013,14.986,14.962,14.998,14.987,15.039,15.098,15.112,15.176,15.036,15.020,15.033,15.031,15.036,15.039,15.018,15.003,14.994,14.992,14.930,14.928,14.962,14.937,14.917,14.913,14.877,14.811,14.787,14.778,14.602,14.531,14.432,14.439,14.453,14.445,14.339,14.207,14.122,14.025,14.210,14.341,14.333,14.418,14.517,14.596,14.761,14.819,14.821,14.792,14.802,14.560,14.793,14.922,14.952,15.019,14.033,13.645,13.157,12.853,12.629,12.385,12.300,12.058,11.973,11.633,11.095,10.740,10.673,10.783,11.224,12.301,12.592,13.416,13.373,13.679,13.903,14.164,14.277,14.308,14.449,14.619,14.686,14.547,14.580,14.182,13.585,13.605,13.837,12.510,12.633,11.791,11.147,10.571,9.890,9.531,8.934,7.558,7.115,6.443,9.889,15.024,13.965
\string51,1.767,2.067,2.728,3.372,3.724,4.952,1.571,1.070,0.521,0,0.725,1.332,1.698,1.773,2.420,3.288,3.908,3.267,2.306,2.396,4.745,5.016,5.801,5.891,6.365,6.727,6.791,6.489,6.624,7.167,7.359,7.702,8.097,8.198,8.367,8.581,8.004,8.161,8.370,8.034,7.949,7.907,7.877,6.494,6.077,9.516,10.041,10.062,11.938,12.358,12.918,13.118,13.466,13.801,13.879,13.715,14.206,14.437,14.715,14.761,14.753,14.826,14.836,14.807,14.809,14.784,14.845,14.880,14.888,14.891,14.909,14.915,14.915,14.935,14.914,14.912,14.901,14.935,14.940,14.940,14.918,14.865,14.853,15.034,15.042,15.044,15.116,15.108,15.070,14.996,14.985,14.995,15.013,14.983,14.970,14.971,14.945,14.931,14.920,14.903,14.890,14.927,14.926,14.989,15.024,15.035,15.112,14.930,14.905,14.911,14.904,14.905,14.903,14.878,14.868,14.864,14.870,14.820,14.820,14.861,14.843,14.830,14.837,14.813,14.760,14.738,14.736,14.554,14.479,14.391,14.402,14.417,14.414,14.302,14.166,14.091,13.997,14.154,14.281,14.276,14.347,14.430,14.507,14.664,14.723,14.725,14.704,14.731,14.494,14.681,14.788,14.817,14.871,13.972,13.624,13.173,12.877,12.657,12.410,12.335,12.088,12.024,11.711,11.198,10.860,10.775,10.877,11.273,12.309,12.588,13.352,13.395,13.693,13.920,14.177,14.281,14.304,14.440,14.604,14.677,14.549,14.591,14.208,13.663,13.709,13.957,12.602,12.688,11.923,11.329,10.753,10.033,9.652,9.122,7.711,7.274,6.628,9.904,15.036,13.760
