Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,-3.55271e-15
0,8,0
0,9,0
0,10,0
0,11,-1.77636e-15
0,12,0
0,13,0
0,14,0
0,15,-3.55271e-15
0,16,0
0,17,0
0,18,0
0,19,1.77636e-15
0,20,0
0,21,0
0,22,0
0,23,0
0,24,-1.77636e-15
0,25,0
0,26,-1.77636e-15
0,27,-1.77636e-15
0,28,-1.77636e-15
0,29,0
0,30,0
0,31,-1.77636e-15
0,32,0
0,33,1.77636e-15
0,34,0
0,35,8.88178e-16
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,1.77636e-15
0,45,-1.77636e-15
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,1.77636e-15
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,1.77636e-15
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,-1.77636e-15
0,72,0
0,73,0
0,74,1.77636e-15
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,1.77636e-15
0,85,1.77636e-15
0,86,0
0,87,0
0,88,0
0,89,0
0,90,3.55271e-15
0,91,0
0,92,3.55271e-15
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,3.55271e-15
0,100,-3.55271e-15
0,101,0
0,102,0
0,103,0
0,104,0
0,105,0
0,106,0
0,107,0
0,108,0
0,109,0
0,110,3.55271e-15
0,111,0
0,112,0
0,113,0
0,114,0
0,115,0
0,116,-8.88178e-16
0,117,-3.55271e-15
0,118,0
0,119,0
0,120,0
0,121,0
0,122,0
0,123,3.55271e-15
0,124,3.55271e-15
0,125,0
0,126,0
0,127,0
0,128,0
0,129,3.55271e-15
0,130,0
0,131,0
0,132,8.88178e-16
0,133,-8.88178e-16
0,134,0
0,135,0
0,136,0
0,137,0
0,138,0
0,139,0
0,140,0
0,141,0
0,142,0
0,143,3.55271e-15
0,144,0
0,145,0
0,146,3.55271e-15
0,147,0
0,148,0
0,149,0
0,150,0
0,151,0
0,152,0
0,153,0
0,154,0
0,155,0
0,156,0
0,157,0
0,158,0
0,159,0
0,160,0
0,161,0
0,162,0
0,163,0
0,164,0
0,165,0
0,166,0
0,167,-3.55271e-15
0,168,0
0,169,0
0,170,0
0,171,-3.55271e-15
0,172,0
0,173,0
0,174,0
0,175,0
0,176,0
0,177,0
0,178,0
0,179,3.55271e-15
0,180,0
0,181,0
0,182,0
0,183,0
0,184,0
0,185,1.77636e-15
0,186,0
0,187,0
0,188,0
0,189,-1.77636e-15
0,190,0
0,191,0
0,192,0
0,193,3.55271e-15
0,194,0
0,195,0
0,196,0
0,197,0
0,198,0
0,199,0
1,0,0
1,1,0
1,2,0
1,3,1.73639e-13
1,4,1.28786e-13
1,5,4.03233e-13
1,6,4.91163e-13
1,7,-9.73444e-13
1,8,0
1,9,-2.32703e-13
1,10,3.8014e-13
1,11,0
1,12,-3.05533e-13
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,-4.43201e-13
1,32,-7.39853e-13
1,33,-7.37632e-13
1,34,-5.04485e-13
1,35,0
1,36,0
1,37,-1.11644e-12
1,38,0
1,39,-9.99201e-14
1,40,0
1,41,-1.92957e-13
1,42,0
1,43,6.82121e-13
1,44,-7.80709e-13
1,45,-5.95524e-13
1,46,-4.08007e-13
1,47,-7.78044e-13
1,48,-6.61693e-13
1,49,-8.0802e-13
1,50,6.36824e-13
1,51,0
1,52,-5.62994e-13
1,53,4.9788e-13
1,54,1.40221e-12
1,55,6.58695e-13
1,56,1.11022e-14
1,57,0
1,58,0
1,59,1.42109e-14
1,60,6.8523e-13
1,61,-2.86438e-14
1,62,1.67644e-13
1,63,-4.41425e-13
1,64,1.42109e-14
1,65,5.7887e-13
1,66,5.32907e-14
1,67,5.13367e-13
1,68,2.53131e-13
1,69,8.03801e-14
1,70,-1.51879e-13
1,71,-2.57572e-14
1,72,-2.42473e-13
1,73,0
1,74,2.74891e-13
1,75,5.77316e-14
1,76,8.88178e-15
1,77,1.78524e-13
1,78,-1.15463e-14
1,79,1.68754e-14
1,80,1.77636e-15
1,81,0.462319
1,82,0.277737
1,83,0.487046
1,84,-2.08278e-13
1,85,-4.00124e-13
1,86,-4.39648e-13
1,87,-3.34843e-13
1,88,1.73195e-14
1,89,-4.44089e-13
1,90,2.13163e-14
1,91,0
1,92,-1.12266e-12
1,93,2.79776e-14
1,94,-3.44613e-13
1,95,-2.55795e-13
1,96,0
1,97,-6.23945e-13
1,98,-6.64357e-13
1,99,-4.88498e-13
1,100,2.83773e-13
1,101,-4.20997e-13
1,102,9.90319e-14
1,103,1.1724e-13
1,104,2.89102e-13
1,105,-6.11067e-13
1,106,0
1,107,-3.34843e-13
1,108,2.43361e-13
1,109,-6.44818e-13
1,110,-6.41265e-13
1,111,-6.65246e-13
1,112,2.84217e-14
1,113,7.63833e-14
1,114,-8.10907e-13
1,115,-7.83373e-13
1,116,0
1,117,-7.83373e-13
1,118,-5.77316e-14
1,119,3.01981e-14
1,120,0
1,121,1.05693e-13
1,122,-7.54063e-13
1,123,-2.11386e-13
1,124,-3.19744e-13
1,125,4.70735e-14
1,126,-4.61853e-13
1,127,8.91731e-13
1,128,-3.75699e-13
1,129,-4.02345e-13
1,130,-2.66454e-15
1,131,-1.29674e-13
1,132,0
1,133,0
1,134,-6.35048e-13
1,135,-3.5616e-13
1,136,0
1,137,-5.32019e-13
1,138,-3.85469e-13
1,139,-2.45137e-13
1,140,-4.50306e-13
1,141,2.66454e-13
1,142,-5.00044e-13
1,143,1.56319e-13
1,144,2.70006e-13
1,145,1.33227e-14
1,146,-5.67546e-13
1,147,-6.46594e-13
1,148,-4.30767e-13
1,149,-3.86358e-13
1,150,6.92779e-14
1,151,-6.45706e-13
1,152,0
1,153,4.76952e-13
1,154,0
1,155,0
1,156,-1.36779e-13
1,157,-8.82849e-13
1,158,-6.57252e-13
1,159,-2.62013e-13
1,160,0
1,161,0
1,162,0
1,163,-3.75699e-13
1,164,-6.01297e-13
1,165,-3.03757e-13
1,166,-2.55795e-13
1,167,3.17968e-13
1,168,-4.13891e-13
1,169,4.94715e-13
1,170,0
1,171,-6.93667e-13
1,172,-5.13367e-13
1,173,6.29718e-13
1,174,3.57048e-13
1,175,-9.9476e-14
1,176,0
1,177,2.98428e-13
1,178,0
1,179,-4.28102e-13
1,180,0
1,181,9.01501e-13
1,182,-3.81029e-13
1,183,-7.13207e-13
1,184,0
1,185,0
1,186,0
1,187,0
1,188,0
1,189,0
1,190,0
1,191,0
1,192,0
1,193,0
1,194,-9.71667e-13
1,195,-4.40536e-13
1,196,0
1,197,0
1,198,0
1,199,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,-1.5099e-14
2,9,0
2,10,0
2,11,-2.93099e-14
2,12,0
2,13,-9.76996e-14
2,14,-3.90799e-14
2,15,-2.20268e-13
2,16,-1.37668e-13
2,17,1.49214e-13
2,18,-2.84217e-14
2,19,2.30926e-14
2,20,3.55271e-15
