id,v0,v1,v2
\string0,-9.015928,8.891424,-3.931974
\string1,5.247765,8.136057,-2.543826
\string2,-9.452373,8.323733,-0.30852
\string3,6.359511,8.711739,0.850391
\string4,6.360553,6.134379,1.063969
\string5,6.143835,6.242815,2.64777
\string6,6.003296,7.780698,3.110387
\string7,5.866603,6.504499,3.473429
\string8,-8.15933,9.583673,3.777221
\string9,4.93674,7.142252,5.078796
\string10,4.835362,7.33215,5.206514
\string11,-6.966739,7.420432,5.329875
\string12,4.63017,6.844327,5.447682
\string13,-6.820449,7.711009,5.478187
\string14,4.224781,7.729601,5.867091
\string15,4.12443,7.313521,5.960941
\string16,-5.586962,6.80106,6.491443
\string17,3.112338,5.620074,6.737046
\string18,-4.908849,7.589488,6.904923
\string19,-4.866302,8.356691,6.928037
\string20,2.587771,6.191203,7.04133
\string21,2.29786,7.18423,7.186039
\string22,1.511782,7.41896,7.504429
\string23,1.418946,8.296576,7.535425
\string24,1.120549,7.415623,7.626208
\string25,0.8688763,6.122895,7.692595
\string26,0.6484219,8.661533,7.743335
\string27,-2.234117,8.17064,7.819382
\string28,-0.1023078,7.976592,7.866322
\string29,-1.523347,8.209248,7.898946
\string30,-0.5512783,7.456853,7.904411
\string31,6.251438,9.217744,-0.1819651
\string32,6.245001,7.990574,-0.215363
\string33,6.244617,6.520502,-0.217323
\string34,6.224497,6.137625,-0.3157548
\string35,-9.453995,6.87309,-0.3311654
\string36,-9.46649,9.109256,-0.5424681
\string37,6.129768,6.829884,-0.6995395
\string38,-9.477242,7.067643,-0.9628808
\string39,6.045281,8.429626,-0.9746191
\string40,-9.477245,7.115397,-1.025055
\string41,6.021141,7.252759,-1.045575
\string42,-9.47376,7.699958,-1.253487
\string43,5.823358,10.3986,-1.542657
\string44,5.816712,7.414349,-1.557348
\string45,5.750761,5.547668,-1.697717
\string46,5.680254,7.902587,-1.838044
\string47,5.644996,4.143754,-1.904898
\string48,5.617285,4.820202,-1.956023
\string49,5.434955,7.994632,-2.265536
\string50,5.224576,9.170574,-2.57599
\string51,-9.342977,7.790923,-2.589265
\string52,5.188841,7.283918,-2.624659
\string53,5.039264,8.445436,-2.817415
\string54,4.964774,9.060097,-2.907381
\string55,4.954859,8.24042,-2.919076
\string56,4.944896,6.349165,-2.930763
\string57,-9.274463,8.414727,-2.952001
\string58,-9.26546,7.468098,-2.994653
\string59,-9.253227,6.825797,-3.051144
\string60,4.738628,8.587521,-3.159172
\string61,4.636124,8.03157,-3.263851
\string62,4.266689,7.563927,-3.599749
\string63,4.144204,5.926029,-3.698474
\string64,-9.077068,6.740655,-3.733852
\string65,3.928729,8.669334,-3.858716
\string66,3.687861,7.261034,-4.019285
\string67,3.424941,7.709557,-4.174253
\string68,3.296003,7.563959,-4.243062
\string69,3.286479,7.02966,-4.247965
\string70,3.231971,5.134089,-4.275558
\string71,-1.138683,6.957302,-4.305837
\string72,2.746337,5.551667,-4.487923
\string73,-8.797081,8.179497,-4.544607
\string74,2.50524,10.1573,-4.57228
\string75,2.389975,6.966941,-4.60793
\string76,-0.3533913,7.464577,-4.622601
\string77,2.131911,7.675562,-4.677103
\string78,0.1027764,7.542637,-4.732985
\string79,1.238739,6.348253,-4.807543
\string80,-8.476749,7.434248,-5.269119
\string81,-7.744882,7.206444,-6.521068
\string82,-7.69096,6.849069,-6.598868
\string83,-6.523768,6.610462,-7.984163
\string84,6.284477,7.934804,0.008149669
\string85,6.294199,6.563924,0.07191368
\string86,6.314192,6.764987,0.220085
\string87,6.316611,8.11497,0.2400595
\string88,6.32049,8.625886,0.273281
\string89,6.344604,7.664955,0.5323865
\string90,6.346483,6.635142,0.559219
\string91,-9.346823,6.74706,0.5681078
\string92,6.347892,5.847123,0.5805061
\string93,6.349131,8.407377,0.600185
\string94,6.350405,6.123195,0.6215449
\string95,6.350581,8.48329,0.6245961
\string96,-9.321725,8.24784,0.7101827
\string97,6.356512,7.26593,0.7492985
\string98,6.357561,7.45384,0.7790037
\string99,6.358019,7.620347,0.7934158
\string100,6.358481,7.403499,0.8090878
\string101,6.361003,6.435683,0.9915359
\string102,6.359562,7.721199,1.123708
\string103,6.359129,9.044684,1.142701
\string104,6.354156,8.134127,1.283659
\string105,6.353076,7.452645,1.306127
\string106,-9.173549,7.484529,1.374899
\string107,6.346598,4.926079,1.416869
\string108,6.346146,8.89115,1.423543
\string109,6.319323,6.770813,1.717501
