,\string0,\string73,\string80,\string81,\string82,\string83,\string64,\string59,\string58,\string51,\string57,\string42,\string40,\string38,\string35,\string91,\string106,\string96,\string2,\string36,\string116,\string120,\string133,\string136,\string152,\string160,\string161,\string154,\string155,\string162,\string170,\string178,\string189,\string192,\string197,\string196,\string11,\string13,\string199,\string188,\string186,\string185,\string184,\string8,\string132,\string16,\string18,\string19,\string27,\string29,\string30,\string28,\string26,\string23,\string22,\string24,\string21,\string20,\string17,\string15,\string14,\string193,\string187,\string191,\string190,\string198,\string180,\string176,\string168,\string172,\string166,\string167,\string169,\string163,\string174,\string181,\string10,\string9,\string179,\string182,\string12,\string195,\string194,\string183,\string177,\string175,\string173,\string164,\string165,\string171,\string158,\string150,\string149,\string144,\string143,\string140,\string142,\string138,\string134,\string130,\string123,\string126,\string122,\string5,\string135,\string7,\string137,\string147,\string148,\string153,\string156,\string157,\string159,\string151,\string145,\string141,\string139,\string129,\string128,\string6,\string127,\string124,\string121,\string117,\string111,\string110,\string109,\string105,\string102,\string99,\string98,\string100,\string97,\string89,\string87,\string84,\string32,\string88,\string95,\string93,\string3,\string103,\string108,\string112,\string118,\string119,\string115,\string113,\string104,\string114,\string125,\string131,\string146,\string31,\string39,\string46,\string49,\string1,\string53,\string55,\string60,\string61,\string62,\string66,\string69,\string68,\string67,\string65,\string54,\string50,\string43,\string44,\string41,\string37,\string33,\string85,\string86,\string90,\string101,\string4,\string94,\string92,\string34,\string45,\string48,\string47,\string56,\string52,\string63,\string70,\string72,\string75,\string77,\string79,\string78,\string76,\string71,\string74,\string107,\string25
\string0,0,0.964,2.050,3.340,3.611,5.276,2.161,2.258,1.722,1.767,1.120,2.967,3.438,3.515,4.151,4.996,5.492,4.697,3.694,3.426,6.207,6.478,7.245,7.372,7.913,8.303,8.310,8.112,8.295,8.857,9.036,9.328,9.718,9.836,10.028,10.290,9.599,9.735,9.963,9.574,9.464,9.381,9.333,7.787,7.784,11.170,11.662,11.638,13.587,14.021,14.622,14.815,15.158,15.516,15.614,15.444,15.954,16.197,16.481,16.524,16.513,16.588,16.598,16.565,16.564,16.538,16.601,16.636,16.652,16.656,16.676,16.682,16.681,16.702,16.680,16.678,16.667,16.701,16.707,16.707,16.685,16.631,16.618,16.800,16.808,16.810,16.879,16.870,16.834,16.762,16.750,16.758,16.775,16.745,16.733,16.734,16.709,16.694,16.683,16.663,16.647,16.683,16.679,16.737,16.782,16.794,16.866,16.695,16.671,16.678,16.671,16.671,16.670,16.644,16.634,16.630,16.636,16.585,16.585,16.625,16.606,16.591,16.595,16.566,16.508,16.485,16.480,16.301,16.228,16.134,16.143,16.157,16.151,16.043,15.909,15.829,15.733,15.905,16.033,16.027,16.103,16.192,16.269,16.428,16.486,16.488,16.466,16.488,16.249,16.447,16.555,16.584,16.636,15.725,15.356,14.878,14.574,14.351,14.106,14.023,13.780,13.695,13.353,12.808,12.446,12.387,12.499,12.947,14.019,14.308,15.106,15.094,15.399,15.623,15.884,15.995,16.024,16.164,16.332,16.401,16.264,16.300,15.904,15.304,15.317,15.543,14.226,14.355,13.492,12.816,12.240,11.587,11.239,10.602,9.253,8.806,8.120,11.608,16.743,15.508
\string73,0.964,0,1.088,2.441,2.686,4.411,1.675,2.067,1.769,2.067,1.679,3.394,3.739,3.812,4.460,5.338,5.972,5.281,4.289,4.163,6.780,7.052,7.834,7.936,8.427,8.793,8.848,8.556,8.681,9.215,9.412,9.768,10.163,10.262,10.425,10.614,10.071,10.227,10.437,10.096,10.006,9.953,9.918,8.464,8.117,11.576,12.106,12.129,13.998,14.414,14.950,15.155,15.506,15.821,15.875,15.719,16.177,16.365,16.603,16.676,16.679,16.740,16.751,16.744,16.755,16.735,16.789,16.825,16.791,16.784,16.782,16.784,16.786,16.790,16.789,16.789,16.782,16.802,16.805,16.805,16.790,16.756,16.749,16.869,16.872,16.869,16.918,16.899,16.873,16.832,16.804,16.791,16.797,16.772,16.763,16.759,16.746,16.729,16.711,16.676,16.641,16.675,16.654,16.695,16.779,16.796,16.846,16.747,16.738,16.757,16.758,16.765,16.772,16.754,16.735,16.724,16.715,16.643,16.640,16.668,16.636,16.610,16.595,16.547,16.467,16.441,16.423,16.257,16.188,16.077,16.079,16.092,16.078,15.978,15.853,15.756,15.654,15.873,16.008,15.998,16.097,16.211,16.292,16.464,16.521,16.523,16.485,16.481,16.234,16.508,16.654,16.684,16.759,15.703,15.268,14.731,14.415,14.187,13.946,13.848,13.613,13.495,13.112,12.530,12.142,12.112,12.237,12.754,13.887,14.194,15.090,14.936,15.254,15.473,15.739,15.864,15.908,16.055,16.231,16.291,16.136,16.158,15.738,15.056,15.025,15.226,13.957,14.145,13.163,12.411,11.839,11.253,10.941,10.205,8.925,8.474,7.759,11.474,16.597,15.729
\string80,2.050,1.088,0,1.468,1.652,3.444,1.788,2.427,2.408,2.839,2.639,4.146,4.372,4.436,5.065,5.942,6.681,6.093,5.133,5.111,7.554,7.823,8.605,8.684,9.124,9.461,9.560,9.185,9.256,9.754,9.966,10.376,10.770,10.851,10.985,11.099,10.706,10.878,11.068,10.777,10.706,10.683,10.659,9.304,8.650,12.127,12.687,12.754,14.520,14.911,15.374,15.587,15.940,16.206,16.215,16.075,16.471,16.599,16.785,16.880,16.895,16.937,16.948,16.970,16.994,16.980,17.021,17.055,16.966,16.949,16.925,16.923,16.926,16.913,16.938,16.941,16.940,16.944,16.944,16.946,16.941,16.927,16.927,16.979,16.974,16.965,16.993,16.960,16.945,16.937,16.890,16.852,16.847,16.825,16.820,16.810,16.809,16.790,16.764,16.711,16.654,16.687,16.647,16.669,16.800,16.823,16.849,16.826,16.832,16.866,16.877,16.892,16.908,16.894,16.864,16.845,16.822,16.724,16.718,16.733,16.688,16.650,16.613,16.544,16.437,16.409,16.376,16.222,16.158,16.027,16.020,16.032,16.009,15.918,15.801,15.684,15.575,15.846,15.990,15.975,16.100,16.242,16.329,16.518,16.574,16.576,16.522,16.489,16.229,16.588,16.776,16.809,16.912,15.684,15.176,14.574,14.243,14.010,13.774,13.659,13.432,13.279,12.853,12.230,11.814,11.818,11.955,12.546,13.744,14.071,15.072,14.768,15.102,15.317,15.591,15.731,15.791,15.948,16.135,16.185,16.008,16.016,15.567,14.790,14.712,14.885,13.667,13.920,12.807,11.974,11.407,10.897,10.628,9.787,8.597,8.149,7.416,11.336,16.454,16.033
\string81,3.340,2.441,1.468,0,0.370,1.997,2.933,3.592,3.849,4.284,4.067,5.566,5.763,5.824,6.430,7.282,8.029,7.474,6.539,6.506,8.887,9.147,9.900,9.972,10.384,10.701,10.805,10.425,10.477,10.942,11.150,11.558,11.932,12.004,12.122,12.208,11.878,12.045,12.221,11.957,11.894,11.879,11.858,10.577,9.880,13.196,13.728,13.802,15.393,15.737,16.122,16.309,16.614,16.815,16.806,16.697,16.992,17.080,17.210,17.225,17.234,17.230,17.230,17.270,17.295,17.298,17.297,17.306,16.630,16.621,16.567,16.563,16.570,16.540,16.603,16.635,16.640,16.625,16.621,16.634,16.653,16.658,16.660,16.648,16.627,16.602,16.612,16.550,16.541,16.567,16.477,16.404,16.388,16.364,16.360,16.344,16.352,16.324,16.286,16.209,16.125,16.163,16.102,16.112,16.305,16.340,16.348,16.385,16.401,16.457,16.476,16.502,16.532,16.501,16.454,16.426,16.392,16.251,16.242,16.256,16.191,16.138,16.080,15.984,15.844,15.810,15.762,15.599,15.529,15.372,15.359,15.372,15.340,15.247,15.124,14.986,14.864,15.189,15.352,15.333,15.484,15.658,15.759,15.987,16.054,16.057,15.984,15.929,15.625,16.080,16.323,16.370,16.519,15.018,14.432,13.756,13.402,13.157,12.917,12.788,12.561,12.378,11.913,11.251,10.812,10.838,10.986,11.640,12.908,13.259,14.371,13.950,14.312,14.537,14.834,14.995,15.071,15.248,15.460,15.506,15.298,15.296,14.793,13.908,13.796,13.958,12.727,13.030,11.803,10.908,10.336,9.868,9.629,8.722,7.614,7.183,6.480,10.486,15.770,16.655
\string82,3.611,2.686,1.652,0.370,0,1.827,3.072,3.753,3.982,4.438,4.273,5.699,5.859,5.916,6.511,7.356,8.135,7.618,6.697,6.704,9.017,9.276,10.031,10.095,10.487,10.794,10.916,10.503,10.534,10.987,11.202,11.631,12.008,12.072,12.180,12.237,11.964,12.139,12.308,12.063,12.006,12.003,11.987,10.741,9.922,13.258,13.807,13.901,15.473,15.814,16.177,16.374,16.689,16.878,16.850,16.743,17.027,17.092,17.207,17.250,17.267,17.264,17.266,17.317,17.349,17.352,17.353,17.366,16.888,16.874,16.813,16.808,16.815,16.780,16.849,16.878,16.884,16.865,16.860,16.872,16.891,16.903,16.907,16.875,16.854,16.829,16.832,16.769,16.764,16.799,16.708,16.629,16.610,16.588,16.585,16.568,16.580,16.553,16.512,16.431,16.342,16.379,16.313,16.315,16.519,16.556,16.555,16.618,16.639,16.697,16.720,16.747,16.779,16.753,16.703,16.673,16.635,16.490,16.480,16.489,16.421,16.364,16.300,16.199,16.053,16.018,15.966,15.810,15.743,15.581,15.565,15.578,15.543,15.454,15.336,15.193,15.070,15.409,15.573,15.552,15.711,15.892,15.994,16.223,16.288,16.290,16.214,16.149,15.847,16.324,16.576,16.622,16.776,15.243,14.637,13.945,13.588,13.342,13.105,12.971,12.749,12.554,12.076,11.403,10.955,10.994,11.146,11.823,13.106,13.462,14.602,14.133,14.497,14.718,15.015,15.179,15.260,15.438,15.651,15.693,15.480,15.472,14.966,14.053,13.923,14.073,12.872,13.199,11.929,11.004,10.439,10.006,9.785,8.842,7.779,7.353,6.648,10.696,15.940,16.675
\string83,5.276,4.411,3.444,1.997,1.827,0,4.841,5.501,5.757,6.201,6.012,7.429,7.577,7.631,8.199,9.007,9.766,9.279,8.392,8.383,10.611,10.856,11.569,11.626,11.986,12.268,12.389,11.988,12.005,12.419,12.622,13.033,13.380,13.435,13.526,13.561,13.346,13.511,13.661,13.447,13.399,13.402,13.390,12.241,11.421,14.507,15.008,15.105,16.450,16.728,16.995,17.156,17.407,17.515,17.468,17.400,17.558,17.577,17.622,17.560,17.568,17.507,17.495,17.566,17.599,17.623,17.573,17.554,16.799,16.804,16.708,16.702,16.715,16.661,16.780,16.854,16.866,16.826,16.816,16.844,16.897,16.927,16.932,16.833,16.789,16.743,16.729,16.624,16.624,16.697,16.546,16.425,16.393,16.365,16.362,16.336,16.356,16.317,16.261,16.149,16.026,16.073,15.981,15.974,16.258,16.309,16.293,16.412,16.441,16.526,16.558,16.599,16.646,16.588,16.517,16.477,16.428,16.228,16.215,16.229,16.137,16.062,15.975,15.841,15.653,15.610,15.541,15.360,15.282,15.087,15.066,15.079,15.036,14.936,14.803,14.634,14.492,14.892,15.085,15.060,15.249,15.466,15.590,15.877,15.962,15.965,15.867,15.783,15.411,16.000,16.319,16.388,16.603,14.703,14.005,13.224,12.834,12.570,12.322,12.173,11.945,11.721,11.200,10.486,10.015,10.075,10.236,10.973,12.339,12.724,13.987,13.422,13.826,14.067,14.400,14.593,14.692,14.898,15.148,15.191,14.935,14.918,14.334,13.284,13.118,13.261,12.014,12.393,10.995,10.008,9.439,9.048,8.858,7.877,6.955,6.583,5.998,9.903,15.448,17.339
\string64,2.161,1.675,1.788,2.933,3.072,4.841,0,0.710,2.247,2.608,2.464,3.847,4.081,4.147,4.791,5.704,6.481,5.851,4.847,4.823,7.409,7.698,8.541,8.631,9.114,9.485,9.588,9.184,9.261,9.802,10.037,10.490,10.926,11.015,11.162,11.277,10.854,11.042,11.254,10.927,10.845,10.813,10.783,9.278,8.599,12.434,13.062,13.129,15.147,15.602,16.154,16.404,16.819,17.155,17.176,17.001,17.503,17.657,17.891,18.085,18.109,18.193,18.214,18.224,18.246,18.219,18.295,18.350,16.723,16.658,16.654,16.645,16.642,16.630,16.613,16.551,16.548,16.559,16.564,16.543,16.498,16.489,16.499,16.547,16.568,16.584,16.602,16.616,16.610,16.597,16.615,16.607,16.603,16.600,16.600,16.596,16.603,16.597,16.586,16.557,16.519,16.533,16.506,16.512,16.583,16.593,16.603,16.617,16.636,16.649,16.661,16.666,16.671,16.722,16.709,16.695,16.663,16.617,16.611,16.593,16.566,16.540,16.505,16.456,16.380,16.362,16.333,16.248,16.213,16.109,16.097,16.104,16.080,16.028,15.958,15.856,15.770,16.022,16.126,16.110,16.223,16.351,16.404,16.516,16.534,16.535,16.489,16.439,16.286,16.596,16.738,16.735,16.778,15.928,15.465,14.924,14.640,14.442,14.248,14.135,13.950,13.782,13.370,12.779,12.378,12.411,12.547,13.149,14.256,14.553,15.499,15.067,15.344,15.507,15.722,15.836,15.891,16.010,16.148,16.177,16.042,16.042,15.690,15.014,14.926,15.061,14.050,14.319,13.246,12.425,11.907,11.503,11.287,10.379,9.269,8.799,7.962,12.105,16.362,16.939
\string59,2.258,2.067,2.427,3.592,3.753,5.501,0.710,0,2.386,2.634,2.458,3.767,4.040,4.107,4.740,5.641,6.370,5.697,4.693,4.621,7.272,7.564,8.413,8.515,9.026,9.414,9.499,9.126,9.225,9.787,10.019,10.459,10.901,11.000,11.160,11.304,10.817,11.001,11.226,10.871,10.779,10.733,10.697,9.123,8.571,12.460,13.088,13.136,15.242,15.719,16.316,16.570,16.994,17.362,17.404,17.216,17.760,17.942,18.204,18.405,18.425,18.524,18.546,18.542,18.559,18.527,18.613,18.672,16.546,16.471,16.480,16.471,16.466,16.461,16.424,16.344,16.338,16.357,16.363,16.336,16.278,16.263,16.272,16.344,16.374,16.398,16.421,16.453,16.445,16.419,16.461,16.469,16.470,16.470,16.471,16.469,16.474,16.474,16.468,16.452,16.428,16.437,16.420,16.428,16.467,16.471,16.486,16.483,16.499,16.501,16.510,16.510,16.509,16.576,16.571,16.560,16.532,16.509,16.503,16.481,16.463,16.445,16.418,16.382,16.324,16.309,16.286,16.215,16.186,16.097,16.086,16.092,16.072,16.026,15.966,15.875,15.799,16.026,16.116,16.102,16.203,16.317,16.359,16.444,16.453,16.453,16.415,16.371,16.251,16.518,16.633,16.619,16.637,15.948,15.522,15.021,14.756,14.569,14.386,14.279,14.103,13.943,13.551,12.985,12.598,12.627,12.758,13.335,14.393,14.674,15.567,15.155,15.411,15.562,15.758,15.860,15.908,16.013,16.134,16.162,16.045,16.048,15.733,15.119,15.045,15.181,14.207,14.456,13.443,12.659,12.152,11.748,11.532,10.649,9.533,9.060,8.212,12.316,16.338,17.171
\string58,1.722,1.769,2.408,3.849,3.982,5.757,2.247,2.386,0,0.524,0.948,1.769,2.012,2.082,2.736,3.636,4.371,3.786,2.825,2.958,5.292,5.574,6.400,6.478,6.938,7.298,7.404,7.008,7.098,7.638,7.858,8.283,8.708,8.798,8.948,9.093,8.636,8.822,9.030,8.714,8.638,8.619,8.595,7.180,6.480,10.196,10.816,10.890,12.918,13.385,13.954,14.219,14.663,15.024,15.046,14.855,15.409,15.584,15.853,16.109,16.143,16.266,16.298,16.302,16.328,16.287,16.401,16.485,18.233,18.213,18.231,18.233,18.230,18.243,18.215,18.185,18.175,18.205,18.211,18.201,18.164,18.122,18.117,18.264,18.281,18.292,18.344,18.351,18.325,18.269,18.276,18.284,18.294,18.275,18.267,18.266,18.252,18.241,18.231,18.211,18.190,18.218,18.207,18.247,18.296,18.306,18.356,18.246,18.235,18.240,18.238,18.238,18.237,18.238,18.229,18.224,18.220,18.175,18.173,18.196,18.175,18.158,18.151,18.117,18.054,18.032,18.019,17.870,17.808,17.710,17.713,17.725,17.713,17.621,17.504,17.415,17.321,17.519,17.643,17.634,17.721,17.821,17.892,18.038,18.084,18.086,18.057,18.058,17.845,18.073,18.185,18.204,18.248,17.357,16.955,16.445,16.138,15.916,15.678,15.584,15.350,15.239,14.864,14.287,13.902,13.873,13.996,14.501,15.614,15.912,16.763,16.644,16.948,17.157,17.407,17.523,17.562,17.697,17.856,17.912,17.773,17.795,17.408,16.758,16.724,16.911,15.693,15.879,14.907,14.146,13.583,13.016,12.707,11.961,10.691,10.239,9.513,13.196,18.194,14.790
\string51,1.767,2.067,2.839,4.284,4.438,6.201,2.608,2.634,0.524,0,0.725,1.345,1.709,1.785,2.440,3.325,3.980,3.331,2.345,2.438,4.861,5.145,5.971,6.060,6.548,6.922,7.005,6.656,6.778,7.336,7.546,7.938,8.362,8.462,8.628,8.814,8.276,8.453,8.671,8.330,8.244,8.210,8.181,6.719,6.189,9.877,10.481,10.533,12.610,13.089,13.694,13.955,14.400,14.785,14.827,14.628,15.213,15.416,15.711,15.959,15.987,16.120,16.153,16.144,16.165,16.120,16.242,16.328,18.276,18.263,18.291,18.294,18.292,18.312,18.274,18.244,18.232,18.269,18.276,18.266,18.226,18.174,18.166,18.344,18.363,18.376,18.439,18.450,18.419,18.348,18.362,18.380,18.396,18.374,18.364,18.366,18.346,18.336,18.329,18.316,18.304,18.333,18.330,18.379,18.409,18.417,18.479,18.332,18.314,18.313,18.307,18.304,18.298,18.295,18.291,18.289,18.292,18.258,18.257,18.286,18.272,18.260,18.262,18.237,18.184,18.164,18.157,18.001,17.936,17.846,17.852,17.865,17.857,17.760,17.638,17.557,17.465,17.641,17.762,17.755,17.831,17.918,17.988,18.129,18.177,18.179,18.157,18.172,17.961,18.151,18.246,18.265,18.298,17.473,17.102,16.618,16.317,16.096,15.855,15.767,15.529,15.434,15.077,14.518,14.144,14.100,14.218,14.690,15.776,16.067,16.871,16.824,17.124,17.336,17.585,17.694,17.726,17.858,18.014,18.075,17.944,17.973,17.595,16.983,16.969,17.169,15.923,16.081,15.164,14.436,13.870,13.269,12.942,12.242,10.938,10.488,9.776,13.352,18.376,14.587
