,\string0,\string1,\string2,\string3,\string4,\string5,\string6,\string7,\string8,\string9,\string10,\string11,\string12,\string13,\string14,\string15,\string16,\string17,\string18,\string19,\string20,\string21,\string22,\string23,\string24,\string25,\string26,\string27,\string28,\string29,\string30,\string31,\string32,\string33,\string34,\string35,\string36,\string37,\string38,\string39,\string40,\string41,\string42,\string43,\string44,\string45,\string46,\string47,\string48,\string49,\string50,\string51,\string52,\string53,\string54,\string55,\string56,\string57,\string58,\string59,\string60,\string61,\string62,\string63,\string64,\string65,\string66,\string67,\string68,\string69,\string70,\string71,\string72,\string73,\string74,\string75,\string76,\string77,\string78,\string79,\string80,\string81,\string82,\string83,\string84,\string85,\string86,\string87,\string88,\string89,\string90,\string91,\string92,\string93,\string94,\string95,\string96,\string97,\string98,\string99,\string100,\string101,\string102,\string103,\string104,\string105,\string106,\string107,\string108,\string109,\string110,\string111,\string112,\string113,\string114,\string115,\string116,\string117,\string118,\string119,\string120,\string121,\string122,\string123,\string124,\string125,\string126,\string127,\string128,\string129,\string130,\string131,\string132,\string133,\string134,\string135,\string136,\string137,\string138,\string139,\string140,\string141,\string142,\string143,\string144,\string145,\string146,\string147,\string148,\string149,\string150,\string151,\string152,\string153,\string154,\string155,\string156,\string157,\string158,\string159,\string160,\string161,\string162,\string163,\string164,\string165,\string166,\string167,\string168,\string169,\string170,\string171,\string172,\string173,\string174,\string175,\string176,\string177,\string178,\string179,\string180,\string181,\string182,\string183,\string184,\string185,\string186,\string187,\string188,\string189,\string190,\string191,\string192,\string193,\string194,\string195,\string196,\string197,\string198,\string199
\string0,0,14.351,3.694,16.103,16.401,16.737,16.625,16.794,7.787,16.701,16.667,9.599,16.685,9.735,16.513,16.524,11.170,16.481,11.662,11.638,16.197,15.954,15.614,15.516,15.444,15.508,15.158,13.587,14.815,14.021,14.622,15.725,15.733,15.884,15.904,4.151,3.426,15.623,3.515,15.356,3.438,15.399,2.967,15.106,15.094,15.304,14.878,15.543,15.317,14.574,14.308,1.767,14.355,14.106,14.019,14.023,14.226,1.120,1.722,2.258,13.780,13.695,13.353,13.492,2.161,12.947,12.808,12.499,12.387,12.446,12.816,8.120,12.240,0.964,11.608,11.587,8.806,11.239,9.253,10.602,2.050,3.340,3.611,5.276,15.829,15.995,16.024,15.909,15.905,16.043,16.164,4.996,16.300,16.027,16.264,16.033,4.697,16.151,16.143,16.134,16.157,16.332,16.228,16.192,16.249,16.301,5.492,16.743,16.269,16.480,16.485,16.508,16.428,16.488,16.447,16.466,6.207,16.566,16.486,16.488,6.478,16.595,16.679,16.647,16.591,16.555,16.683,16.606,16.585,16.585,16.663,16.584,7.784,7.245,16.683,16.782,7.372,16.866,16.694,16.636,16.734,16.630,16.709,16.733,16.745,16.634,16.636,16.695,16.671,16.775,16.758,16.644,7.913,16.678,8.112,8.295,16.671,16.671,16.750,16.670,8.303,8.310,8.857,16.702,16.870,16.834,16.676,16.682,16.652,16.681,9.036,16.762,16.656,16.879,16.680,16.810,16.636,16.808,9.328,16.707,16.601,16.678,16.707,16.800,9.333,9.381,9.464,16.598,9.574,9.718,16.564,16.565,9.836,16.588,16.618,16.631,10.290,10.028,16.538,9.963
\string1,14.351,0,14.870,3.618,4.273,5.598,5.716,6.265,14.893,7.693,7.803,14.550,8.119,14.497,8.483,8.618,14.171,9.850,13.883,13.859,10.136,10.212,10.744,10.783,10.999,11.314,11.281,12.782,11.706,12.446,11.969,2.785,2.537,3.003,3.148,14.921,14.882,2.426,14.848,1.785,14.838,1.903,14.784,2.540,1.348,2.769,0.860,4.063,3.388,0.364,1.035,14.595,0.858,0.463,1.033,0.487,1.853,14.531,14.536,14.569,0.917,0.951,1.551,2.727,14.442,1.937,2.319,2.483,2.650,2.824,4.009,6.729,4.088,14.187,3.965,3.714,6.012,3.804,5.623,4.939,14.010,13.620,13.620,13.057,2.762,3.226,3.264,2.982,3.054,3.300,3.618,14.987,4.026,3.342,3.910,3.373,14.929,3.582,3.569,3.555,3.607,4.078,3.855,3.956,3.984,4.063,14.958,5.215,4.185,4.601,4.662,4.750,4.765,4.816,4.932,4.847,14.936,5.062,4.995,5.003,14.925,5.284,5.483,5.472,5.385,5.546,5.620,5.526,5.571,5.588,5.688,5.744,15.036,14.878,5.925,6.141,14.865,6.364,6.058,6.070,6.194,6.116,6.174,6.246,6.281,6.197,6.275,6.252,6.236,6.409,6.445,6.374,14.820,6.449,14.853,14.908,6.491,6.596,6.739,6.717,14.783,14.757,14.890,6.939,7.213,7.156,6.962,6.983,7.003,7.031,14.824,7.270,7.216,7.597,7.322,7.553,7.537,7.751,14.655,7.656,7.773,7.769,7.818,7.953,14.585,14.568,14.542,7.888,14.520,14.557,8.016,8.006,14.557,8.017,8.117,8.155,14.707,14.566,8.171,14.454
\string2,3.694,14.870,0,15.859,16.023,16.010,15.839,15.883,4.467,15.410,15.347,6.228,15.285,6.387,15.019,14.989,7.969,14.657,8.557,8.567,14.267,13.983,13.493,13.406,13.250,13.243,12.922,10.871,12.425,11.412,12.142,15.730,15.701,15.800,15.829,1.451,0.820,15.658,1.417,15.512,1.405,15.528,1.132,15.465,15.347,15.517,15.216,15.746,15.559,15.019,14.875,2.345,14.860,14.708,14.668,14.642,14.767,2.651,2.825,3.131,14.477,14.398,14.129,14.216,3.792,13.848,13.695,13.459,13.363,13.397,13.668,9.325,13.189,4.289,12.827,12.672,10.106,12.398,10.559,11.766,5.133,6.539,6.697,8.392,15.745,15.849,15.852,15.780,15.786,15.833,15.913,1.807,16.018,15.828,15.982,15.831,1.030,15.880,15.871,15.864,15.877,15.979,15.888,15.894,15.888,15.912,1.902,16.252,15.903,15.977,15.961,15.963,15.903,15.918,15.915,15.899,2.605,15.940,15.891,15.891,2.893,15.912,15.961,15.921,15.883,15.900,15.925,15.864,15.846,15.844,15.881,15.860,4.394,3.727,15.841,15.903,3.842,15.955,15.819,15.776,15.828,15.772,15.805,15.813,15.818,15.761,15.778,15.772,15.756,15.820,15.790,15.729,4.401,15.710,4.622,4.851,15.697,15.672,15.705,15.643,4.817,4.841,5.463,15.606,15.729,15.698,15.581,15.579,15.578,15.567,5.636,15.583,15.504,15.644,15.487,15.568,15.474,15.517,5.926,15.425,15.352,15.367,15.384,15.459,6.019,6.058,6.119,15.268,6.226,6.353,15.237,15.225,6.481,15.220,15.216,15.218,7.007,6.694,15.168,6.633
\string3,16.103,3.618,15.859,0,2.586,3.061,2.470,3.463,14.837,4.729,4.817,14.118,5.255,14.005,5.540,5.751,13.349,7.400,12.841,12.770,7.675,7.679,8.334,8.323,8.662,9.147,8.952,11.077,9.567,10.587,9.955,1.155,1.292,2.440,2.829,15.964,15.892,2.449,16.025,1.873,16.027,2.416,16.004,2.977,2.788,4.108,2.889,5.382,4.855,3.328,3.639,16.101,3.935,3.907,4.023,4.050,4.678,16.092,16.139,16.203,4.327,4.512,5.050,5.776,16.223,5.300,5.741,5.904,6.054,6.186,6.990,9.268,7.179,16.097,6.808,6.971,8.751,7.036,8.467,7.989,16.100,15.986,16.012,15.762,1.148,2.285,2.047,0.855,0.585,1.094,2.097,15.831,2.877,0.394,2.599,0.321,15.689,1.449,1.260,1.093,1.309,2.280,1.028,0.443,0.722,1.339,15.590,3.828,0.601,2.126,2.015,2.082,1.246,1.726,1.396,1.480,15.334,2.183,1.560,1.572,15.254,2.260,2.750,2.555,2.210,2.073,2.759,2.309,2.199,2.205,2.658,2.274,15.258,15.000,2.844,3.353,14.969,3.756,2.967,2.725,3.208,2.731,3.103,3.243,3.310,2.809,2.862,3.110,3.006,3.501,3.479,3.002,14.818,3.218,14.865,14.937,3.234,3.341,3.722,3.463,14.697,14.628,14.810,3.810,4.460,4.334,3.763,3.806,3.715,3.862,14.671,4.322,4.017,4.881,4.217,4.727,4.286,4.955,14.339,4.691,4.576,4.790,4.897,5.186,14.136,14.112,14.084,4.806,14.046,14.123,4.875,4.889,14.112,4.975,5.165,5.235,14.292,14.105,5.062,13.913
\string4,16.401,4.273,16.023,2.586,0,1.602,2.651,2.487,15.169,4.377,4.574,14.052,4.766,13.990,5.493,5.511,13.139,6.557,12.776,12.860,7.069,7.422,8.163,8.425,8.495,8.608,9.145,11.120,9.562,10.639,9.814,3.327,2.257,1.343,1.386,15.893,16.184,1.910,15.994,3.086,16.005,2.412,16.079,5.027,2.967,2.888,3.466,3.645,3.376,3.925,4.874,16.208,4.037,4.707,5.126,4.720,4.244,16.303,16.199,16.162,5.146,5.030,5.308,5.257,16.177,6.048,5.853,6.208,6.293,6.202,6.269,9.260,6.650,16.291,7.926,6.973,8.899,7.295,8.646,7.794,16.185,16.051,16.021,15.751,2.089,1.083,1.054,2.146,2.614,1.620,0.711,15.727,0.563,2.320,0.443,2.390,15.828,1.174,1.350,1.510,1.294,0.310,1.588,2.911,2.012,1.340,15.596,1.259,2.780,0.913,1.134,1.181,2.673,1.781,3.156,2.284,15.446,1.585,2.540,2.536,15.369,1.921,1.690,1.905,2.239,3.709,1.953,2.429,2.834,2.884,2.241,3.660,14.976,15.143,2.535,2.347,15.070,2.408,2.680,3.280,2.649,3.501,2.762,2.729,2.717,3.625,4.016,2.971,3.144,2.763,2.882,3.798,14.830,3.388,14.746,14.714,3.513,3.638,3.284,3.791,14.662,14.689,14.516,3.743,3.470,3.485,3.955,3.919,4.359,3.961,14.405,3.803,4.313,3.882,4.188,3.966,5.193,4.171,14.198,4.329,5.266,4.512,4.464,4.387,14.337,14.285,14.183,4.954,14.101,13.993,5.419,5.287,13.941,5.034,4.947,4.932,13.879,13.865,5.560,13.858
\string5,16.737,5.598,16.010,3.061,1.602,0,1.612,0.909,14.732,2.859,3.073,13.434,3.239,13.351,4.032,4.025,12.357,5.128,11.921,12.001,5.653,6.023,6.814,7.102,7.169,7.300,7.875,10.033,8.322,9.499,8.598,4.107,3.356,2.880,2.966,15.892,16.189,3.398,16.054,4.232,16.071,3.831,16.163,5.910,4.378,4.418,4.805,5.038,4.847,5.264,6.058,16.421,5.458,5.995,6.339,6.033,5.707,16.547,16.456,16.428,6.418,6.358,6.656,6.661,16.512,7.289,7.178,7.489,7.572,7.506,7.592,10.094,7.933,16.695,8.983,8.201,9.827,8.474,9.626,8.925,16.669,16.670,16.651,16.542,3.139,2.600,2.489,3.055,3.369,2.557,2.135,15.638,2.115,2.987,2.040,3.026,15.715,2.167,2.237,2.320,2.185,1.682,2.134,3.188,2.341,1.819,15.420,1.814,2.925,1.084,1.090,1.006,2.428,1.418,2.875,1.927,15.178,0.922,2.097,2.086,15.072,1.043,0.408,0.771,1.356,3.170,0.641,1.476,1.995,2.049,1.026,2.978,14.612,14.763,1.242,0.773,14.680,0.847,1.347,2.224,1.188,2.504,1.376,1.270,1.228,2.622,3.114,1.632,1.901,1.220,1.368,2.746,14.390,2.106,14.303,14.273,2.259,2.371,1.781,2.513,14.185,14.201,14.027,2.316,1.902,1.914,2.601,2.540,3.147,2.573,13.887,2.261,2.967,2.333,2.744,2.407,4.022,2.619,13.620,2.810,4.004,3.006,2.936,2.844,13.733,13.676,13.566,3.533,13.475,13.370,4.100,3.927,13.310,3.590,3.452,3.426,13.247,13.224,4.224,13.197
\string6,16.625,5.716,15.839,2.470,2.651,1.612,0,1.334,14.292,2.328,2.441,13.164,2.868,13.041,3.281,3.446,12.113,5.117,11.555,11.535,5.445,5.540,6.294,6.392,6.661,7.079,7.135,9.496,7.742,8.931,8.127,3.601,3.341,3.567,3.806,15.862,15.951,3.929,16.023,4.136,16.037,4.189,16.081,5.342,4.686,5.307,4.960,6.206,5.881,5.410,5.905,16.371,5.814,6.042,6.239,6.137,6.298,16.449,16.447,16.481,6.447,6.524,6.935,7.298,16.593,7.325,7.514,7.728,7.839,7.880,8.321,10.329,8.562,16.668,8.770,8.561,10.015,8.697,9.818,9.351,16.733,16.796,16.813,16.775,3.119,3.286,3.079,2.907,2.977,2.603,2.818,15.594,3.203,2.610,3.010,2.606,15.519,2.442,2.381,2.349,2.359,2.535,2.019,2.366,1.893,1.867,15.279,3.337,2.048,1.749,1.542,1.480,1.337,1.038,1.609,1.000,14.937,1.072,0.952,0.939,14.819,0.736,1.225,0.865,0.427,1.664,0.972,0.234,0.454,0.498,0.594,1.412,14.572,14.460,0.520,1.296,14.398,1.797,0.575,0.646,0.893,0.905,0.701,0.891,0.983,1.028,1.504,0.652,0.592,1.203,1.115,1.179,14.142,0.845,14.134,14.168,0.929,1.058,1.287,1.213,13.951,13.904,13.947,1.403,2.138,1.971,1.457,1.465,1.738,1.520,13.779,1.896,1.795,2.537,1.856,2.331,2.580,2.563,13.413,2.286,2.683,2.405,2.495,2.799,13.304,13.262,13.195,2.570,13.126,13.137,2.886,2.801,13.101,2.712,2.821,2.875,13.189,13.053,3.054,12.903
\string7,16.794,6.265,15.883,3.463,2.487,0.909,1.334,0,14.363,1.962,2.180,12.999,2.354,12.901,3.151,3.143,11.848,4.361,11.361,11.426,4.856,5.194,6.004,6.284,6.372,6.552,7.079,9.343,7.556,8.781,7.857,4.569,3.995,3.710,3.824,15.790,16.063,4.194,15.982,4.850,16.001,4.583,16.097,6.350,5.113,5.260,5.496,5.878,5.690,5.945,6.642,16.424,6.185,6.635,6.932,6.686,6.472,16.559,16.485,16.471,7.043,7.017,7.329,7.398,16.593,7.887,7.840,8.118,8.202,8.158,8.299,10.478,8.604,16.796,9.454,8.810,10.255,9.042,10.082,9.488,16.823,16.901,16.893,16.876,3.772,3.429,3.294,3.640,3.866,3.198,2.956,15.490,3.005,3.480,2.918,3.502,15.536,2.871,2.899,2.944,2.855,2.532,2.692,3.482,2.773,2.415,15.217,2.637,3.182,1.833,1.749,1.656,2.545,1.752,2.901,2.087,14.917,1.351,2.160,2.146,14.795,1.213,0.872,0.925,1.337,2.995,0.732,1.336,1.788,1.832,0.850,2.725,14.332,14.440,0.816,0.145,14.354,0.492,0.810,1.775,0.497,2.064,0.747,0.552,0.463,2.161,2.683,0.996,1.322,0.344,0.523,2.229,14.044,1.451,13.967,13.947,1.612,1.697,0.911,1.816,13.823,13.825,13.680,1.492,1.084,1.042,1.827,1.747,2.462,1.770,13.523,1.358,2.180,1.533,1.887,1.536,3.327,1.761,13.214,1.912,3.243,2.111,2.041,1.997,13.285,13.228,13.120,2.673,13.026,12.937,3.296,3.099,12.877,2.718,2.562,2.535,12.835,12.792,3.406,12.739
\string8,7.787,14.893,4.467,14.837,15.169,14.732,14.292,14.363,0,13.385,13.266,2.918,13.186,2.862,12.695,12.681,4.661,12.309,4.932,4.720,11.733,11.257,10.588,10.369,10.278,10.431,9.703,7.311,9.177,7.932,8.913,14.949,15.032,15.258,15.347,5.089,4.538,15.225,5.526,15.023,5.558,15.158,5.530,14.983,15.116,15.484,15.030,15.888,15.664,14.961,14.821,6.719,14.982,14.798,14.738,14.786,15.072,6.920,7.180,7.445,14.679,14.687,14.591,14.854,8.083,14.327,14.371,14.175,14.129,14.210,14.643,11.024,14.265,8.464,13.556,13.728,11.661,13.455,12.035,13.134,9.304,10.577,10.741,12.241,15.018,15.223,15.168,14.974,14.929,14.986,15.148,4.445,15.318,14.899,15.247,14.889,3.542,15.008,14.976,14.950,14.978,15.117,14.876,14.765,14.797,14.875,3.348,15.417,14.711,14.892,14.827,14.807,14.557,14.653,14.502,14.566,2.205,14.669,14.500,14.498,1.965,14.550,14.641,14.546,14.452,14.301,14.533,14.382,14.299,14.288,14.416,14.208,3.681,1.276,14.295,14.418,1.454,14.497,14.233,14.081,14.248,14.042,14.195,14.212,14.221,14.002,13.971,14.109,14.059,14.217,14.151,13.916,1.859,13.945,2.612,3.204,13.904,13.846,13.957,13.775,2.153,1.648,3.622,13.733,13.995,13.938,13.659,13.663,13.584,13.638,3.501,13.712,13.489,13.828,13.496,13.690,13.291,13.599,3.035,13.413,13.114,13.303,13.347,13.498,1.914,2.024,2.292,13.076,2.516,3.223,12.941,12.952,3.454,13.008,13.041,13.056,4.627,3.822,12.830,3.175
\string9,16.701,7.693,15.410,4.729,4.377,2.859,2.328,1.962,13.385,0,0.250,11.909,0.565,11.778,1.214,1.211,10.624,2.897,10.023,10.050,3.205,3.377,4.206,4.443,4.596,4.942,5.272,7.745,5.819,7.129,6.181,5.806,5.519,5.491,5.636,15.376,15.586,5.908,15.629,6.287,15.653,6.221,15.750,7.432,6.700,7.009,6.998,7.633,7.439,7.410,7.924,16.221,7.709,8.004,8.213,8.073,8.049,16.373,16.340,16.357,8.366,8.395,8.715,8.897,16.559,9.123,9.184,9.393,9.475,9.472,9.718,11.181,9.942,16.802,10.399,10.017,11.055,10.165,10.945,10.585,16.944,17.187,17.202,17.386,5.306,5.220,5.064,5.125,5.216,4.788,4.761,14.984,4.889,4.863,4.786,4.862,14.954,4.558,4.539,4.540,4.508,4.386,4.243,4.597,4.171,4.042,14.592,4.507,4.290,3.653,3.519,3.433,3.584,3.258,3.715,3.309,14.168,3.050,3.232,3.220,14.014,2.776,2.748,2.624,2.657,3.430,2.513,2.515,2.614,2.619,2.343,3.083,13.566,13.561,2.067,2.097,13.472,2.218,1.916,2.158,1.817,2.293,1.790,1.744,1.732,2.290,2.656,1.699,1.784,1.665,1.554,2.179,13.127,1.590,13.078,13.083,1.621,1.549,1.162,1.485,12.877,12.846,12.782,0.972,1.264,1.093,1.173,1.077,1.760,1.026,12.588,0.608,1.180,1.171,0.672,0.755,2.287,0.778,12.186,0.050,1.949,0.170,0.202,0.863,12.152,12.095,11.995,0.975,11.900,11.857,1.789,1.506,11.800,0.903,0.607,0.591,11.821,11.721,1.806,11.602
