,\string0,\string73,\string80,\string81,\string82,\string83,\string64,\string59,\string58,\string51,\string57,\string42,\string40,\string38,\string35,\string91,\string106,\string96,\string2,\string36,\string116,\string120,\string133,\string136,\string152,\string160,\string161,\string154,\string155,\string162,\string170,\string178,\string189,\string192,\string197,\string196,\string11,\string13,\string199,\string188,\string186,\string185,\string184,\string8,\string132,\string16,\string18,\string19,\string27,\string29,\string30,\string28,\string26,\string23,\string22,\string24,\string21,\string20,\string17,\string15,\string14,\string193,\string187,\string191,\string190,\string198,\string180,\string176,\string168,\string172,\string166,\string167,\string169,\string163,\string174,\string181,\string10,\string9,\string179,\string182,\string12,\string195,\string194,\string183,\string177,\string175,\string173,\string164,\string165,\string171,\string158,\string150,\string149,\string144,\string143,\string140,\string142,\string138,\string134,\string130,\string123,\string126,\string122,\string5,\string135,\string7,\string137,\string147,\string148,\string153,\string156,\string157,\string159,\string151,\string145,\string141,\string139,\string129,\string128,\string6,\string127,\string124,\string121,\string117,\string111,\string110,\string109,\string105,\string102,\string99,\string98,\string100,\string97,\string89,\string87,\string84,\string32,\string88,\string95,\string93,\string3,\string103,\string108,\string112,\string118,\string119,\string115,\string113,\string104,\string114,\string125,\string131,\string146,\string31,\string39,\string46,\string49,\string1,\string53,\string55,\string60,\string61,\string62,\string66,\string69,\string68,\string67,\string65,\string54,\string50,\string43,\string44,\string41,\string37,\string33,\string85,\string86,\string90,\string101,\string4,\string94,\string92,\string34,\string45,\string48,\string47,\string56,\string52,\string63,\string70,\string72,\string75,\string77,\string79,\string78,\string76,\string71,\string74,\string107,\string25
\string0,0,0.964,2.050,3.340,3.611,5.276,2.161,2.258,1.722,1.767,1.120,2.967,3.438,3.515,4.151,4.996,5.492,4.697,3.694,3.426,6.207,6.478,7.245,7.372,7.913,8.303,8.310,8.112,8.295,8.857,9.036,9.328,9.718,9.836,10.028,10.290,9.599,9.735,9.963,9.574,9.464,9.381,9.333,7.787,7.784,11.170,11.662,11.638,13.587,14.021,14.622,14.815,15.158,15.516,15.614,15.444,15.954,16.197,16.481,16.524,16.513,16.588,16.598,16.565,16.564,16.538,16.601,16.636,16.652,16.656,16.676,16.682,16.681,16.702,16.680,16.678,16.667,16.701,16.707,16.707,16.685,16.631,16.618,16.800,16.808,16.810,16.879,16.870,16.834,16.762,16.750,16.758,16.775,16.745,16.733,16.734,16.709,16.694,16.683,16.663,16.647,16.683,16.679,16.737,16.782,16.794,16.866,16.695,16.671,16.678,16.671,16.671,16.670,16.644,16.634,16.630,16.636,16.585,16.585,16.625,16.606,16.591,16.595,16.566,16.508,16.485,16.480,16.301,16.228,16.134,16.143,16.157,16.151,16.043,15.909,15.829,15.733,15.905,16.033,16.027,16.103,16.192,16.269,16.428,16.486,16.488,16.466,16.488,16.249,16.447,16.555,16.584,16.636,15.725,15.356,14.878,14.574,14.351,14.106,14.023,13.780,13.695,13.353,12.808,12.446,12.387,12.499,12.947,14.019,14.308,15.106,15.094,15.399,15.623,15.884,15.995,16.024,16.164,16.332,16.401,16.264,16.300,15.904,15.304,15.317,15.543,14.226,14.355,13.492,12.816,12.240,11.587,11.239,10.602,9.253,8.806,8.120,11.608,16.743,15.508
\string73,0.964,0,1.088,2.441,2.686,4.411,1.675,2.067,1.769,2.067,1.679,3.394,3.739,3.812,4.460,5.338,5.972,5.281,4.289,4.163,6.780,7.052,7.834,7.936,8.427,8.793,8.848,8.556,8.681,9.215,9.412,9.768,10.163,10.262,10.425,10.614,10.071,10.227,10.437,10.096,10.006,9.953,9.918,8.464,8.117,11.576,12.106,12.129,13.998,14.414,14.950,15.155,15.506,15.821,15.875,15.719,16.177,16.365,16.603,16.676,16.679,16.740,16.751,16.744,16.755,16.735,16.789,16.825,16.791,16.784,16.782,16.784,16.786,16.790,16.789,16.789,16.782,16.802,16.805,16.805,16.790,16.756,16.749,16.869,16.872,16.869,16.918,16.899,16.873,16.832,16.804,16.791,16.797,16.772,16.763,16.759,16.746,16.729,16.711,16.676,16.641,16.675,16.654,16.695,16.779,16.796,16.846,16.747,16.738,16.757,16.758,16.765,16.772,16.754,16.735,16.724,16.715,16.643,16.640,16.668,16.636,16.610,16.595,16.547,16.467,16.441,16.423,16.257,16.188,16.077,16.079,16.092,16.078,15.978,15.853,15.756,15.654,15.873,16.008,15.998,16.097,16.211,16.292,16.464,16.521,16.523,16.485,16.481,16.234,16.508,16.654,16.684,16.759,15.703,15.268,14.731,14.415,14.187,13.946,13.848,13.613,13.495,13.112,12.530,12.142,12.112,12.237,12.754,13.887,14.194,15.090,14.936,15.254,15.473,15.739,15.864,15.908,16.055,16.231,16.291,16.136,16.158,15.738,15.056,15.025,15.226,13.957,14.145,13.163,12.411,11.839,11.253,10.941,10.205,8.925,8.474,7.759,11.474,16.597,15.729
\string80,2.050,1.088,0,1.468,1.652,3.444,1.788,2.427,2.408,2.839,2.639,4.146,4.372,4.436,5.065,5.942,6.681,6.093,5.133,5.111,7.554,7.823,8.605,8.684,9.124,9.461,9.560,9.185,9.256,9.754,9.966,10.376,10.770,10.851,10.985,11.099,10.706,10.878,11.068,10.777,10.706,10.683,10.659,9.304,8.650,12.127,12.687,12.754,14.520,14.911,15.374,15.587,15.940,16.206,16.215,16.075,16.471,16.599,16.785,16.880,16.895,16.937,16.948,16.970,16.994,16.980,17.021,17.055,16.966,16.949,16.925,16.923,16.926,16.913,16.938,16.941,16.940,16.944,16.944,16.946,16.941,16.927,16.927,16.979,16.974,16.965,16.993,16.960,16.945,16.937,16.890,16.852,16.847,16.825,16.820,16.810,16.809,16.790,16.764,16.711,16.654,16.687,16.647,16.669,16.800,16.823,16.849,16.826,16.832,16.866,16.877,16.892,16.908,16.894,16.864,16.845,16.822,16.724,16.718,16.733,16.688,16.650,16.613,16.544,16.437,16.409,16.376,16.222,16.158,16.027,16.020,16.032,16.009,15.918,15.801,15.684,15.575,15.846,15.990,15.975,16.100,16.242,16.329,16.518,16.574,16.576,16.522,16.489,16.229,16.588,16.776,16.809,16.912,15.684,15.176,14.574,14.243,14.010,13.774,13.659,13.432,13.279,12.853,12.230,11.814,11.818,11.955,12.546,13.744,14.071,15.072,14.768,15.102,15.317,15.591,15.731,15.791,15.948,16.135,16.185,16.008,16.016,15.567,14.790,14.712,14.885,13.667,13.920,12.807,11.974,11.407,10.897,10.628,9.787,8.597,8.149,7.416,11.336,16.454,16.033
\string81,3.340,2.441,1.468,0,0.370,1.997,3.124,3.803,3.849,4.284,4.067,5.566,5.763,5.824,6.430,7.282,8.029,7.474,6.539,6.506,8.887,9.147,9.900,9.972,10.384,10.701,10.805,10.425,10.477,10.942,11.150,11.558,11.932,12.004,12.122,12.208,11.878,12.045,12.221,11.957,11.894,11.879,11.858,10.577,9.880,13.196,13.728,13.802,15.393,15.737,16.122,16.309,16.614,16.815,16.806,16.697,16.992,17.080,17.210,17.225,17.234,17.230,17.230,17.270,17.295,17.298,17.297,17.306,17.164,17.165,17.112,17.110,17.118,17.091,17.155,17.195,17.199,17.187,17.183,17.198,17.220,17.220,17.220,17.221,17.198,17.172,17.187,17.121,17.109,17.130,17.035,16.962,16.948,16.921,16.915,16.899,16.903,16.874,16.835,16.757,16.673,16.715,16.655,16.670,16.865,16.901,16.915,16.934,16.945,17.001,17.018,17.044,17.073,17.030,16.983,16.956,16.926,16.782,16.774,16.796,16.731,16.678,16.623,16.528,16.387,16.351,16.305,16.127,16.051,15.892,15.882,15.896,15.865,15.763,15.629,15.491,15.365,15.685,15.855,15.837,15.986,16.157,16.264,16.504,16.579,16.581,16.511,16.464,16.142,16.590,16.832,16.885,17.039,15.496,14.914,14.236,13.872,13.620,13.367,13.241,13.002,12.829,12.367,11.703,11.265,11.279,11.425,12.062,13.343,13.698,14.801,14.443,14.815,15.051,15.359,15.523,15.598,15.780,16.000,16.051,15.839,15.839,15.323,14.427,14.321,14.491,13.216,13.508,12.286,11.394,10.814,10.317,10.058,9.186,8.056,7.636,6.972,10.843,16.333,16.655
\string82,3.611,2.686,1.652,0.370,0,1.827,3.185,3.877,3.982,4.438,4.273,5.699,5.859,5.916,6.511,7.356,8.135,7.618,6.697,6.704,9.017,9.276,10.031,10.095,10.487,10.794,10.916,10.503,10.534,10.987,11.202,11.631,12.008,12.072,12.180,12.237,11.964,12.139,12.308,12.063,12.006,12.003,11.987,10.741,9.922,13.258,13.807,13.901,15.473,15.814,16.177,16.374,16.689,16.878,16.850,16.743,17.027,17.092,17.207,17.250,17.267,17.264,17.266,17.317,17.349,17.352,17.353,17.366,17.207,17.199,17.141,17.136,17.144,17.111,17.180,17.214,17.219,17.202,17.198,17.211,17.232,17.240,17.243,17.219,17.197,17.172,17.177,17.112,17.105,17.138,17.043,16.964,16.946,16.922,16.919,16.901,16.911,16.883,16.842,16.760,16.672,16.710,16.645,16.651,16.856,16.893,16.896,16.947,16.965,17.024,17.045,17.072,17.104,17.070,17.021,16.991,16.956,16.809,16.799,16.813,16.745,16.689,16.627,16.526,16.379,16.343,16.293,16.127,16.057,15.894,15.880,15.893,15.859,15.764,15.639,15.497,15.371,15.707,15.875,15.855,16.012,16.191,16.296,16.533,16.603,16.605,16.530,16.471,16.157,16.629,16.881,16.931,17.088,15.530,14.927,14.233,13.870,13.620,13.376,13.244,13.013,12.825,12.349,11.675,11.228,11.259,11.410,12.076,13.367,13.725,14.859,14.429,14.799,15.027,15.331,15.497,15.577,15.759,15.976,16.021,15.806,15.800,15.285,14.366,14.240,14.394,13.167,13.486,12.220,11.298,10.727,10.276,10.043,9.121,8.044,7.624,6.943,10.909,16.279,16.675
\string83,5.276,4.411,3.444,1.997,1.827,0,4.960,5.642,5.757,6.201,6.012,7.429,7.577,7.631,8.199,9.007,9.766,9.279,8.392,8.383,10.611,10.856,11.569,11.626,11.986,12.268,12.389,11.988,12.005,12.419,12.622,13.033,13.380,13.435,13.526,13.561,13.346,13.511,13.661,13.447,13.399,13.402,13.390,12.241,11.421,14.507,15.008,15.105,16.450,16.728,16.995,17.156,17.407,17.515,17.468,17.400,17.558,17.577,17.622,17.560,17.568,17.507,17.495,17.566,17.599,17.623,17.573,17.554,17.331,17.346,17.253,17.249,17.262,17.213,17.331,17.411,17.423,17.386,17.376,17.406,17.461,17.485,17.488,17.405,17.360,17.313,17.305,17.197,17.194,17.260,17.106,16.986,16.957,16.926,16.921,16.896,16.912,16.872,16.815,16.703,16.583,16.632,16.543,16.542,16.825,16.876,16.867,16.964,16.988,17.073,17.101,17.142,17.188,17.119,17.049,17.009,16.966,16.764,16.752,16.775,16.683,16.609,16.526,16.394,16.206,16.162,16.096,15.901,15.817,15.621,15.602,15.617,15.576,15.467,15.322,15.155,15.010,15.402,15.600,15.577,15.762,15.975,16.104,16.401,16.494,16.497,16.402,16.327,15.939,16.515,16.832,16.907,17.124,15.195,14.506,13.725,13.328,13.057,12.797,12.652,12.411,12.200,11.686,10.974,10.506,10.551,10.710,11.424,12.797,13.184,14.432,13.937,14.350,14.602,14.945,15.139,15.236,15.448,15.704,15.751,15.493,15.480,14.884,13.832,13.673,13.825,12.535,12.898,11.517,10.541,9.964,9.538,9.327,8.391,7.440,7.078,6.531,10.283,16.027,17.339
\string64,2.161,1.675,1.788,3.124,3.185,4.960,0,0.710,1.054,1.576,1.858,2.689,2.764,2.819,3.426,4.310,5.164,4.699,3.792,3.993,6.146,6.422,7.242,7.296,7.700,8.030,8.182,7.697,7.726,8.226,8.463,8.949,9.374,9.444,9.562,9.625,9.331,9.534,9.721,9.457,9.401,9.411,9.399,8.083,7.059,10.805,11.458,11.577,13.504,13.948,14.445,14.719,15.166,15.478,15.456,15.281,15.774,15.889,16.108,16.389,16.435,16.540,16.572,16.604,16.642,16.607,16.709,16.791,16.723,16.658,16.654,16.645,16.642,16.630,16.613,16.551,16.548,16.559,16.564,16.543,16.498,16.489,16.499,16.547,16.568,16.584,16.602,16.616,16.610,16.597,16.615,16.607,16.603,16.600,16.600,16.596,16.603,16.597,16.586,16.557,16.519,16.533,16.506,16.512,16.583,16.593,16.603,16.617,16.636,16.649,16.661,16.666,16.671,16.722,16.709,16.695,16.663,16.617,16.611,16.593,16.566,16.540,16.505,16.456,16.380,16.362,16.333,16.248,16.213,16.109,16.097,16.104,16.080,16.028,15.958,15.856,15.770,16.022,16.126,16.110,16.223,16.351,16.404,16.516,16.534,16.535,16.489,16.439,16.286,16.596,16.738,16.735,16.778,15.928,15.465,14.924,14.640,14.442,14.248,14.135,13.950,13.782,13.370,12.779,12.378,12.411,12.547,13.149,14.256,14.553,15.499,15.067,15.344,15.507,15.722,15.836,15.891,16.010,16.148,16.177,16.042,16.042,15.690,15.014,14.926,15.061,14.050,14.319,13.246,12.425,11.907,11.503,11.287,10.379,9.269,8.799,7.962,12.105,16.362,15.161
\string59,2.258,2.067,2.427,3.803,3.877,5.642,0.710,0,0.645,1.074,1.592,2.011,2.059,2.114,2.728,3.621,4.476,4.022,3.131,3.399,5.471,5.751,6.582,6.635,7.044,7.380,7.533,7.046,7.082,7.596,7.835,8.321,8.754,8.828,8.952,9.029,8.708,8.914,9.106,8.833,8.775,8.786,8.774,7.445,6.415,10.223,10.889,11.008,13.009,13.475,14.005,14.292,14.763,15.104,15.088,14.899,15.439,15.571,15.817,16.137,16.187,16.315,16.352,16.377,16.414,16.372,16.495,16.589,16.546,16.471,16.480,16.471,16.466,16.461,16.424,16.344,16.338,16.357,16.363,16.336,16.278,16.263,16.272,16.344,16.374,16.398,16.421,16.453,16.445,16.419,16.461,16.469,16.470,16.470,16.471,16.469,16.474,16.474,16.468,16.452,16.428,16.437,16.420,16.428,16.467,16.471,16.486,16.483,16.499,16.501,16.510,16.510,16.509,16.576,16.571,16.560,16.532,16.509,16.503,16.481,16.463,16.445,16.418,16.382,16.324,16.309,16.286,16.215,16.186,16.097,16.086,16.092,16.072,16.026,15.966,15.875,15.799,16.026,16.116,16.102,16.203,16.317,16.359,16.444,16.453,16.453,16.415,16.371,16.251,16.518,16.633,16.619,16.637,15.948,15.522,15.021,14.756,14.569,14.386,14.279,14.103,13.943,13.551,12.985,12.598,12.627,12.758,13.335,14.393,14.674,15.567,15.155,15.411,15.562,15.758,15.860,15.908,16.013,16.134,16.162,16.045,16.048,15.733,15.119,15.045,15.181,14.207,14.456,13.443,12.659,12.152,11.748,11.532,10.649,9.533,9.060,8.212,12.316,16.338,14.778
\string58,1.722,1.769,2.408,3.849,3.982,5.757,1.054,0.645,0,0.524,0.948,1.769,2.012,2.082,2.736,3.636,4.371,3.786,2.825,2.958,5.292,5.574,6.400,6.478,6.938,7.298,7.404,7.008,7.098,7.638,7.858,8.283,8.708,8.798,8.948,9.093,8.636,8.822,9.030,8.714,8.638,8.619,8.595,7.180,6.480,10.196,10.816,10.890,12.918,13.385,13.954,14.219,14.663,15.024,15.046,14.855,15.409,15.584,15.853,16.109,16.143,16.266,16.298,16.302,16.328,16.287,16.401,16.485,16.470,16.414,16.433,16.428,16.423,16.428,16.387,16.321,16.313,16.340,16.347,16.325,16.271,16.241,16.244,16.360,16.387,16.409,16.449,16.476,16.459,16.413,16.450,16.466,16.473,16.466,16.463,16.464,16.459,16.456,16.452,16.441,16.425,16.440,16.431,16.456,16.481,16.485,16.520,16.458,16.461,16.460,16.463,16.460,16.457,16.503,16.501,16.494,16.477,16.456,16.452,16.447,16.433,16.419,16.405,16.377,16.327,16.311,16.297,16.200,16.161,16.077,16.072,16.080,16.066,16.005,15.927,15.844,15.766,15.967,16.062,16.051,16.139,16.240,16.287,16.381,16.400,16.400,16.370,16.348,16.209,16.436,16.537,16.531,16.547,15.867,15.473,14.997,14.728,14.536,14.339,14.241,14.050,13.916,13.546,12.995,12.622,12.624,12.747,13.277,14.319,14.596,15.439,15.151,15.412,15.578,15.785,15.885,15.923,16.033,16.160,16.199,16.085,16.099,15.776,15.194,15.152,15.315,14.254,14.460,13.516,12.778,12.255,11.777,11.523,10.718,9.528,9.060,8.248,12.177,16.421,14.790
\string51,1.767,2.067,2.839,4.284,4.438,6.201,1.576,1.074,0.524,0,0.725,1.345,1.709,1.785,2.440,3.325,3.980,3.331,2.345,2.438,4.861,5.145,5.971,6.060,6.548,6.922,7.005,6.656,6.778,7.336,7.546,7.938,8.362,8.462,8.628,8.814,8.276,8.453,8.671,8.330,8.244,8.210,8.181,6.719,6.189,9.877,10.481,10.533,12.610,13.089,13.694,13.955,14.400,14.785,14.827,14.628,15.213,15.416,15.711,15.959,15.987,16.120,16.153,16.144,16.165,16.120,16.242,16.328,16.340,16.287,16.317,16.313,16.308,16.321,16.267,16.197,16.187,16.221,16.230,16.206,16.147,16.108,16.108,16.255,16.287,16.312,16.362,16.396,16.374,16.313,16.361,16.389,16.402,16.393,16.389,16.392,16.382,16.381,16.381,16.378,16.373,16.388,16.389,16.421,16.424,16.424,16.470,16.373,16.370,16.360,16.359,16.353,16.344,16.391,16.394,16.391,16.380,16.373,16.371,16.371,16.363,16.356,16.352,16.335,16.297,16.283,16.276,16.176,16.136,16.062,16.061,16.070,16.059,15.996,15.916,15.842,15.769,15.945,16.034,16.025,16.101,16.188,16.232,16.315,16.332,16.333,16.311,16.301,16.171,16.358,16.437,16.429,16.430,15.844,15.486,15.042,14.783,14.595,14.399,14.309,14.116,13.997,13.649,13.120,12.761,12.749,12.866,13.361,14.367,14.633,15.424,15.199,15.451,15.617,15.818,15.909,15.940,16.044,16.164,16.208,16.105,16.125,15.819,15.286,15.266,15.441,14.364,14.541,13.661,12.963,12.441,11.934,11.664,10.908,9.689,9.222,8.423,12.244,16.444,14.587
