Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
1,0,0
1,1,0
1,2,-0.919146
1,3,-0.101699
1,4,-131.44
1,5,-124.502
1,6,-6.15096
1,7,-0.0366417
1,8,-196.61
1,9,-150.356
1,10,0
2,0,0
2,1,-0.919146
2,2,0
2,3,8.76209
2,4,-872.081
2,5,-740.576
2,6,0.364597
2,7,4.11592
2,8,-1029.26
2,9,-849.827
2,10,0
3,0,0
3,1,-0.101699
3,2,8.76209
3,3,0
3,4,-91.4117
3,5,-82.019
3,6,-9.4301
3,7,-0.0651177
3,8,-122.701
3,9,-96.4925
3,10,0
4,0,0
4,1,-131.44
4,2,-872.081
4,3,-91.4117
4,4,0
4,5,-7.92272
4,6,1069.91
4,7,-113.15
4,8,-0.554806
4,9,-3.17742
4,10,0
5,0,0
5,1,-124.502
5,2,-740.576
5,3,-82.019
5,4,-7.92272
5,5,0
5,6,877.647
5,7,-104.65
5,8,-33.9527
5,9,-7.18597
5,10,0
6,0,0
6,1,-6.15096
6,2,0.364597
6,3,-9.4301
6,4,1069.91
6,5,877.647
6,6,0
6,7,-8.39078
6,8,1153.34
6,9,986.931
6,10,0
7,0,0
7,1,-0.0366417
7,2,4.11592
7,3,-0.0651177
7,4,-113.15
7,5,-104.65
7,6,-8.39078
7,7,0
7,8,-160.943
7,9,-125.241
7,10,0
8,0,0
8,1,-196.61
8,2,-1029.26
8,3,-122.701
8,4,-0.554806
8,5,-33.9527
8,6,1153.34
8,7,-160.943
8,8,0
8,9,-31.2035
8,10,0
9,0,0
9,1,-150.356
9,2,-849.827
9,3,-96.4925
9,4,-3.17742
9,5,-7.18597
9,6,986.931
9,7,-125.241
9,8,-31.2035
9,9,0
9,10,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
