,ATL,MSY,MIA,DCA,JFK,BOS,ORD,DEN,LAX,SFO,SEA
ATL,0,424,605,542,751,934,585,1209,1942,2139,2181
MSY,424,0,669,964,1173,1356,830,1079,1679,1925,2101
MIA,605,669,0,931,1100,1258,1187,1723,2346,2594,2732
DCA,542,964,931,0,209,392,589,1487,2303,2440,2328
JFK,751,1173,1100,209,0,183,716,1634,2464,2582,2420
BOS,934,1356,1258,392,183,0,854,1773,2610,2713,2513
ORD,585,830,1187,589,716,854,0,920,1756,1866,1742
DEN,1209,1079,1723,1487,1634,1773,920,0,844,954,1024
LAX,1942,1679,2346,2303,2464,2610,1756,844,0,348,991
SFO,2139,1925,2594,2440,2582,2713,1866,954,348,0,712
SEA,2181,2101,2732,2328,2420,2513,1742,1024,991,712,0
