Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
1,0,0
1,1,0
1,2,-0.919146
1,3,-0.101699
1,4,-4.25866
1,5,-9.08486
1,6,101.494
1,7,-0.0366417
1,8,-20.9814
1,9,-13.4397
1,10,0
2,0,0
2,1,-0.919146
2,2,0
2,3,8.76209
2,4,-2.03005
2,5,-8.46743
2,6,871.406
2,7,4.11592
2,8,-6.48528
2,9,-9.13989
2,10,0
3,0,0
3,1,-0.101699
3,2,8.76209
3,3,0
3,4,6.28027
3,5,2.3021
3,6,84.7023
3,7,-0.0651177
3,8,0.0595296
3,9,1.75894
3,10,0
4,0,0
4,1,-4.25866
4,2,-2.03005
4,3,6.28027
4,4,0
4,5,-7.92272
4,6,1069.91
4,7,2.02062
4,8,-0.554806
4,9,-3.17742
4,10,0
5,0,0
5,1,-9.08486
5,2,-8.46743
5,3,2.3021
5,4,-7.92272
5,5,0
5,6,877.647
5,7,-2.53532
5,8,-33.9527
5,9,-7.18597
5,10,0
6,0,0
6,1,101.494
6,2,871.406
6,3,84.7023
6,4,1069.91
6,5,877.647
6,6,0
6,7,94.6853
6,8,1153.34
6,9,986.931
6,10,0
7,0,0
7,1,-0.0366417
7,2,4.11592
7,3,-0.0651177
7,4,2.02062
7,5,-2.53532
7,6,94.6853
7,7,0
7,8,-8.37072
7,9,-5.02078
7,10,0
8,0,0
8,1,-20.9814
8,2,-6.48528
8,3,0.0595296
8,4,-0.554806
8,5,-33.9527
8,6,1153.34
8,7,-8.37072
8,8,0
8,9,-31.2035
8,10,0
9,0,0
9,1,-13.4397
9,2,-9.13989
9,3,1.75894
9,4,-3.17742
9,5,-7.18597
9,6,986.931
9,7,-5.02078
9,8,-31.2035
9,9,0
9,10,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
