Head,Tail,Difference
0,0,0
0,1,0
0,2,-1.37176
0,3,0
0,4,-0.925898
0,5,0
0,6,0
0,7,0
0,8,-7.24749
0,9,-3.16839
0,10,0
1,0,0
1,1,0
1,2,-8.4174
1,3,-0.372705
1,4,-11.7162
1,5,-14.3039
1,6,0
1,7,-0.301947
1,8,-35.3333
1,9,-22.6456
1,10,0
2,0,-1.37176
2,1,-8.4174
2,2,0
2,3,-4.08512
2,4,-1.92832
2,5,-7.82428
2,6,-0.676655
2,7,-6.75568
2,8,-11.9058
2,9,-10.6977
2,10,-0.967411
3,0,0
3,1,-0.372705
3,2,-4.08512
3,3,0
3,4,-4.04268
3,5,-4.9668
3,6,0
3,7,-0.135525
3,8,-17.4897
3,9,-10.0194
3,10,0
4,0,-0.925898
4,1,-11.7162
4,2,-1.92832
4,3,-4.04268
4,4,0
4,5,-8.7752
4,6,-0.649813
4,7,-7.71504
4,8,-7.95361
4,9,-5.4319
4,10,-1.03735
5,0,0
5,1,-14.3039
5,2,-7.82428
5,3,-4.9668
5,4,-8.7752
5,5,0
5,6,0
5,7,-9.49175
5,8,-39.2865
5,9,-12.5864
5,10,0
6,0,0
6,1,0
6,2,-0.676655
6,3,0
6,4,-0.649813
6,5,0
6,6,0
6,7,0
6,8,-5.78715
6,9,-2.61326
6,10,0
7,0,0
7,1,-0.301947
7,2,-6.75568
7,3,-0.135525
7,4,-7.71504
7,5,-9.49175
7,6,0
7,7,0
7,8,-25.4827
7,9,-16.4116
7,10,0
8,0,-7.24749
8,1,-35.3333
8,2,-11.9058
8,3,-17.4897
8,4,-7.95361
8,5,-39.2865
8,6,-5.78715
8,7,-25.4827
8,8,0
8,9,-33.4263
8,10,-7.52248
9,0,-3.16839
9,1,-22.6456
9,2,-10.6977
9,3,-10.0194
9,4,-5.4319
9,5,-12.5864
9,6,-2.61326
9,7,-16.4116
9,8,-33.4263
9,9,0
9,10,-3.52
10,0,0
10,1,0
10,2,-0.967411
10,3,0
10,4,-1.03735
10,5,0
10,6,0
10,7,0
10,8,-7.52248
10,9,-3.52
10,10,0
