,ATL,MSY,MIA,DCA,JFK,BOS,ORD,DEN,LAX,SFO,SEA
ATL,0,424,605,542,751,934,586,1210,1942,2142,2188
MSY,424,0,669,964,1173,1356,831,1080,1679,1929,2109
MIA,605,669,0,922,1092,1252,1188,1724,2345,2597,2739
DCA,542,964,922,0,209,392,602,1497,2310,2452,2345
JFK,751,1173,1092,209,0,183,727,1644,2470,2593,2437
BOS,934,1356,1252,392,183,0,861,1781,2615,2723,2527
ORD,586,831,1188,602,727,861,0,920,1756,1868,1748
DEN,1210,1080,1724,1497,1644,1781,920,0,845,956,1031
LAX,1942,1679,2345,2310,2470,2615,1756,845,0,354,996
SFO,2142,1929,2597,2452,2593,2723,1868,956,354,0,714
SEA,2188,2109,2739,2345,2437,2527,1748,1031,996,714,0
