Head,Tail,Difference
0,0,0
0,1,0.0651278
0,2,0.371068
0,3,0
0,4,0.19314
0,5,0.102362
0,6,0
0,7,0
0,8,0.23355
0,9,0.162039
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0.340432
0,16,0
0,17,0
0,18,0.0543436
0,19,0.128847
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0.0895621
0,25,0
0,26,0
0,27,0
0,28,0.247597
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0.0740664
0,34,0.0292992
0,35,0.0147623
0,36,0.0730569
0,37,0.138007
0,38,0
0,39,0
0,40,0
0,41,0.341004
0,42,0
0,43,0
0,44,0.212307
0,45,0
0,46,0.21979
0,47,0
0,48,0.0632224
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0.191527
0,55,0.228879
0,56,0
0,57,0.513976
0,58,0.269035
1,0,0.0651278
1,1,0
1,2,0
1,3,0
1,4,0.194857
1,5,0
1,6,0
1,7,0.152059
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0.0970311
1,13,0
1,14,0
1,15,0
1,16,0.0367036
1,17,0.0923152
1,18,0
1,19,0
1,20,0.149805
1,21,0.262306
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0.00465017
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0.115258
1,40,0
1,41,0
1,42,0.0293257
1,43,0.0259014
1,44,0
1,45,0.233056
1,46,0.277659
1,47,0
1,48,0
1,49,0.201977
1,50,0
1,51,0
1,52,0.193584
1,53,0.0153699
1,54,0.0235102
1,55,0
1,56,0
1,57,0
1,58,0
2,0,0.371068
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0.0485713
2,8,0.314334
2,9,0
2,10,0
2,11,0
2,12,0.17317
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0.0926762
2,18,0.57978
2,19,0.119576
2,20,0.274168
2,21,0
2,22,0.0994671
2,23,0.125984
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0.208674
2,32,0.353524
2,33,0.0272266
2,34,0.0301991
2,35,0
2,36,0.030624
2,37,0
2,38,0
2,39,0.195506
2,40,0
2,41,0
2,42,0
2,43,0
2,44,0
2,45,0
2,46,0
2,47,0
2,48,0
2,49,0.274537
2,50,0
2,51,0
2,52,0.195151
2,53,0
2,54,0
2,55,0
2,56,0.487976
2,57,0
2,58,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0.155993
3,11,0.0137036
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0.0734122
3,18,0
3,19,0
3,20,0.0266161
3,21,0
3,22,0.0527098
3,23,0.208422
3,24,0
3,25,0
3,26,0
3,27,0.199523
3,28,0
3,29,0
3,30,0
3,31,0
3,32,0.0405002
3,33,0
3,34,0
3,35,0
3,36,0
3,37,0
3,38,0.0226922
3,39,0
3,40,0
3,41,0
3,42,0
3,43,0
3,44,0
3,45,0.112015
3,46,0.00214362
3,47,0
3,48,0
3,49,0.379919
3,50,0.015778
3,51,0
3,52,0
3,53,0
3,54,0
3,55,0
3,56,0.162177
3,57,0
3,58,0
4,0,0.19314
4,1,0.194857
4,2,0
4,3,0
4,4,0
4,5,0.0863187
4,6,0
4,7,0.0392545
4,8,0
4,9,0
4,10,0.0187268
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0.215898
4,25,0.0620088
4,26,0.155676
4,27,0
4,28,0
4,29,0.0210933
4,30,0
4,31,0.09791
4,32,0
4,33,0.0890459
4,34,0.246949
4,35,0
4,36,0
4,37,0.310594
4,38,0
4,39,0
4,40,0
4,41,0
4,42,0
4,43,0.12567
4,44,0
4,45,0
4,46,0
4,47,0
4,48,0
4,49,0.0111899
4,50,0
4,51,0
4,52,0.0469127
4,53,0.111073
4,54,0
4,55,0
4,56,0
4,57,0
4,58,0
5,0,0.102362
5,1,0
5,2,0
5,3,0
5,4,0.0863187
5,5,0
5,6,0
5,7,0.0306576
5,8,0.15353
5,9,0
5,10,0.459609
5,11,0
5,12,0
5,13,0
5,14,0.276478
5,15,0
5,16,0.0470675
5,17,0
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,0
5,24,0
5,25,0.523337
5,26,0.0286779
5,27,0
5,28,0.0594968
5,29,0
5,30,0
5,31,0.357181
5,32,0.289298
5,33,0.347306
5,34,0.153662
5,35,0.122819
5,36,0
5,37,0
5,38,0
5,39,0
5,40,0
5,41,0
5,42,0.251362
5,43,0.0087407
5,44,0.03737
5,45,0
5,46,0
5,47,0.10517
5,48,0
5,49,0
5,50,0
5,51,0
5,52,0.332235
5,53,0
5,54,0
5,55,0
5,56,0.465088
5,57,0.0208334
5,58,0
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0.066125
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0.0270064
6,17,0
6,18,0
6,19,0
6,20,0.146864
6,21,0.188294
6,22,0
6,23,0.0641989
6,24,0
6,25,0
6,26,0
6,27,0
6,28,0.0352741
6,29,0.17053
6,30,0
6,31,0
6,32,0
