Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,2.84217e-14
0,4,0
0,5,0
0,6,8.52651e-14
0,7,0
0,8,-8.52651e-14
0,9,0
0,10,-7.10543e-15
0,11,-1.42109e-14
0,12,1.56319e-13
0,13,1.42109e-14
0,14,4.61853e-14
0,15,0
0,16,0
0,17,0
0,18,2.84217e-14
0,19,0
0,20,2.84217e-14
0,21,2.84217e-14
0,22,0
0,23,7.10543e-15
0,24,2.84217e-14
0,25,3.55271e-14
0,26,-2.84217e-13
0,27,-4.9738e-14
0,28,-1.03029e-13
0,29,1.42109e-14
0,30,0
0,31,1.42109e-14
0,32,0
0,33,1.42109e-14
0,34,7.10543e-15
0,35,0
0,36,0
0,37,2.84217e-14
0,38,4.26326e-14
0,39,2.84217e-14
0,40,0
0,41,0
0,42,2.84217e-14
0,43,0
0,44,1.42109e-14
0,45,2.84217e-14
0,46,0
0,47,0
0,48,2.84217e-14
0,49,7.81597e-14
0,50,8.88178e-14
0,51,2.84217e-14
0,52,2.84217e-14
0,53,1.42109e-14
0,54,7.10543e-14
0,55,-5.68434e-14
0,56,-1.7053e-13
0,57,-1.42109e-14
0,58,1.42109e-14
1,0,0
1,1,0
1,2,-7.10543e-15
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,5.68434e-14
1,9,1.42109e-14
1,10,0
1,11,0
1,12,-1.42109e-14
1,13,-1.42109e-14
1,14,5.68434e-14
1,15,0
1,16,-7.10543e-15
1,17,2.84217e-14
1,18,0
1,19,0
1,20,-2.84217e-14
1,21,6.03961e-14
1,22,0
1,23,2.84217e-14
1,24,0
1,25,0
1,26,1.13687e-13
1,27,-1.42109e-14
1,28,0
1,29,0
1,30,-1.42109e-14
1,31,0
1,32,0
1,33,0
1,34,2.84217e-14
1,35,0
1,36,4.26326e-14
1,37,0
1,38,0
1,39,2.4869e-14
1,40,-1.42109e-14
1,41,0
1,42,0
1,43,0
1,44,0
1,45,0
1,46,-2.84217e-14
1,47,1.42109e-14
1,48,1.42109e-14
1,49,-2.84217e-14
1,50,-2.84217e-14
1,51,0
1,52,0
1,53,0
1,54,-2.84217e-14
1,55,-1.42109e-13
1,56,-2.84217e-14
1,57,0
1,58,-1.42109e-14
2,0,0
2,1,-7.10543e-15
2,2,0
2,3,0
2,4,0
2,5,6.21725e-15
2,6,-2.84217e-14
2,7,0
2,8,1.13687e-13
2,9,1.42109e-14
2,10,0
2,11,0
2,12,-7.10543e-14
2,13,-2.13163e-14
2,14,0
2,15,0
2,16,-3.55271e-15
2,17,0
2,18,0
2,19,0
2,20,-2.84217e-14
2,21,-5.32907e-14
2,22,5.32907e-15
2,23,0
2,24,0
2,25,0
2,26,2.84217e-13
2,27,-1.42109e-14
2,28,0
2,29,0
2,30,-7.10543e-15
2,31,-1.42109e-14
2,32,0
2,33,0
2,34,1.42109e-14
2,35,1.06581e-14
2,36,2.84217e-14
2,37,0
2,38,-1.42109e-14
2,39,-3.01981e-14
2,40,-7.10543e-15
2,41,7.10543e-15
2,42,0
2,43,0
2,44,0
2,45,0
2,46,4.44089e-15
2,47,0
2,48,-1.42109e-14
2,49,0
2,50,0
2,51,0
2,52,-1.42109e-14
2,53,-1.42109e-14
2,54,-4.26326e-14
2,55,1.7053e-13
2,56,4.26326e-14
2,57,0
2,58,-7.10543e-15
3,0,2.84217e-14
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,1.7053e-13
3,9,7.10543e-15
3,10,0
3,11,0
3,12,-2.84217e-14
3,13,0
3,14,2.84217e-14
3,15,0
3,16,0
3,17,2.84217e-14
3,18,0
3,19,0
3,20,-2.84217e-14
3,21,4.9738e-14
3,22,0
3,23,0
3,24,0
3,25,0
3,26,2.06057e-13
3,27,0
3,28,-2.84217e-14
3,29,0
3,30,-1.42109e-14
3,31,0
3,32,0
3,33,1.42109e-14
3,34,2.84217e-14
3,35,0
3,36,4.9738e-14
3,37,0
3,38,-1.42109e-14
3,39,2.13163e-14
3,40,-1.42109e-14
3,41,0
3,42,0
3,43,0
3,44,0
3,45,0
3,46,-2.84217e-14
3,47,0
3,48,0
3,49,-5.68434e-14
3,50,-5.68434e-14
3,51,0
3,52,0
3,53,0
3,54,-2.84217e-14
3,55,-1.63425e-13
3,56,-2.84217e-14
3,57,0
3,58,0
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,1.42109e-14
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,1.42109e-14
4,13,0
4,14,0
4,15,0
4,16,7.10543e-15
4,17,0
4,18,0
4,19,-1.77636e-15
4,20,0
4,21,-1.42109e-14
4,22,0
4,23,0
4,24,0
4,25,0
4,26,-2.84217e-14
4,27,0
4,28,7.10543e-15
4,29,-3.55271e-15
4,30,0
4,31,0
4,32,0
4,33,-7.10543e-15
4,34,0
4,35,0
4,36,0
4,37,0
4,38,7.10543e-15
4,39,-1.42109e-14
4,40,0
4,41,0
4,42,0
4,43,0
4,44,0
4,45,0
4,46,1.42109e-14
4,47,0
4,48,0
4,49,1.42109e-14
4,50,0
4,51,0
4,52,7.10543e-15
4,53,0
4,54,7.10543e-15
4,55,0
4,56,7.10543e-15
4,57,7.10543e-15
4,58,7.10543e-15
5,0,0
5,1,0
5,2,6.21725e-15
5,3,0
5,4,0
5,5,0
5,6,-2.84217e-14
5,7,0
5,8,1.27898e-13
5,9,1.42109e-14
5,10,0
5,11,0
5,12,-8.52651e-14
5,13,-1.42109e-14
5,14,0
5,15,0
5,16,-7.10543e-15
5,17,0
5,18,0
5,19,0
5,20,0
5,21,-5.32907e-14
5,22,0
5,23,1.42109e-14
5,24,0
5,25,0
5,26,3.2685e-13
5,27,0
5,28,0
5,29,0
5,30,-1.42109e-14
5,31,0
5,32,0
5,33,0
5,34,1.42109e-14
5,35,7.10543e-15
5,36,4.26326e-14
5,37,0
5,38,-1.42109e-14
5,39,-2.30926e-14
5,40,-1.24345e-14
5,41,0
5,42,0
5,43,0
5,44,0
5,45,0
5,46,2.84217e-14
5,47,0
5,48,-1.24345e-14
5,49,0
5,50,0
5,51,0
5,52,-1.42109e-14
5,53,-1.42109e-14
5,54,-4.26326e-14
5,55,1.91847e-13
5,56,2.84217e-14
5,57,0
5,58,-3.55271e-15
6,0,8.52651e-14
6,1,0
6,2,-2.84217e-14
6,3,0
6,4,1.42109e-14
6,5,-2.84217e-14
6,6,0
6,7,0
6,8,0
6,9,0
6,10,6.39488e-14
6,11,-2.84217e-14
6,12,-3.55271e-14
6,13,0
6,14,4.26326e-14
6,15,-2.84217e-14
6,16,-4.26326e-14
6,17,7.10543e-14
6,18,5.68434e-14
6,19,0
6,20,1.7053e-13
6,21,-5.68434e-14
6,22,-5.68434e-14
6,23,5.68434e-14
6,24,0
6,25,1.13687e-13
6,26,0
6,27,1.20792e-13
6,28,1.91847e-13
6,29,5.68434e-14
6,30,-5.68434e-14
6,31,7.10543e-14
6,32,2.84217e-14
6,33,5.68434e-14
6,34,5.68434e-14
6,35,-4.26326e-14
6,36,0
6,37,0
6,38,8.52651e-14
6,39,-5.68434e-14
6,40,-4.26326e-14
6,41,-2.84217e-14
6,42,8.52651e-14
6,43,0
6,44,2.84217e-14
6,45,9.9476e-14
6,46,0
6,47,-4.26326e-14
6,48,-2.84217e-14
6,49,1.42109e-13
6,50,1.56319e-13
6,51,0
6,52,7.10543e-15
6,53,0
