,Giessen,Frankfurt,Marburg,Aschaffenburg,Darmstadt,Fulda,Mainz,Siegen,Wuerzburg,Koblenz,Gummersburg,Mannheim,Kassel,Bonn,Hagen,Dortmund,Heilbronn,Bamberg,Koeln,Ansbach,Coburg,Kaiserslautern,Lichtenfels,Bochum,Duesseldorf,Erlangen,Essen,Karlsruhe,Fuerth,Gelsen-Kirchen,Neuss,Bielefeld,Nuernburg,Stuttgart,Bayreuth,Muenster,Duisburg,Hersbruck,Saarbruecken,Reutlingen,Aachen,Osnabrueck,Hannover,Offenburg,Ingolstadt,Ulm,Braunschweig,Augsburg,Regensburg,Freiburg,Bremen,Oldenburg,Landshut,Muenchen,Bremen,Kempten,Hamburg,Rendsburg,Kiel
Giessen,0,20.000,8.246,27.893,29.017,25.495,24.698,17.889,44.553,26.000,28.844,44.283,32.650,35.355,38.288,39.962,59.228,60.828,40.853,65.115,58.241,50.567,61.685,45.277,47.170,70.214,48.166,61.294,71.840,49.518,49.244,51.000,74.813,70.036,70.774,53.852,53.009,78.816,62.482,78.918,57.559,62.801,69.857,80.050,92.698,90.139,74.813,100.703,103.005,98.489,91.351,94.133,115.434,117.201,98.127,116.379,114.180,135.713,139.979
Frankfurt,20.000,0,28.071,9.899,9.055,29.155,9.487,32.249,33.242,26.000,43.267,24.515,49.659,43.012,55.009,57.940,39.850,54.589,51.662,52.154,56.143,33.422,58.009,61.400,60.208,60.745,63.246,41.437,61.327,65.513,61.522,71.000,64.475,50.448,65.490,72.801,66.708,69.080,48.826,59.228,63.506,82.608,88.544,60.729,79.202,71.589,91.417,84.504,92.574,79.120,111.288,114.110,103.175,101.863,118.106,97.693,133.405,155.364,159.355
Marburg,8.246,28.071,0,35.355,37.014,26.420,32.894,18.000,49.406,31.623,27.203,52.469,25.495,37.121,34.205,34.713,66.753,63.246,40.608,70.000,59.093,58.694,63.063,41.400,45.310,73.661,44.944,69.462,75.664,45.607,47.760,43.046,78.518,77.647,72.560,47.413,50.537,82.219,70.000,86.579,59.000,55.317,61.741,88.295,97.453,97.124,67.357,106.550,106.405,106.733,83.217,86.284,119.503,122.589,90.050,123.369,105.948,127.475,131.735
Aschaffenburg,27.893,9.899,35.355,0,6.325,28.425,16.492,41.881,24.515,35.355,53.009,20.809,53.852,52.802,64.498,67.119,31.401,47.011,61.555,42.544,50.220,33.838,51.352,71.021,70.093,51.923,73.007,36.401,52.202,75.166,71.421,78.313,55.362,42.297,58.009,81.597,76.577,60.083,51.478,51.245,72.945,90.609,93.392,56.798,69.405,62.394,94.430,74.653,83.259,74.847,118.004,121.594,93.493,91.967,125.016,88.600,138.654,161.245,164.754
Darmstadt,29.017,9.055,37.014,6.325,0,33.941,11.662,40.719,30.150,31.401,51.478,16.155,57.585,49.518,63.561,66.731,31.016,53.009,58.796,47.011,56.515,27.803,57.559,69.771,67.801,57.271,71.344,32.757,57.280,73.824,68.884,80.006,60.440,41.485,64.008,81.744,74.404,65.253,45.188,50.220,68.797,91.662,96.840,52.555,73.246,63.063,98.838,77.104,88.023,70.838,120.204,123.146,97.617,94.795,127.063,89.051,141.891,164.073,167.905
Fulda,25.495,29.155,26.420,28.425,33.941,0,38.471,43.012,27.659,49.254,53.310,49.204,30.265,60.828,60.465,60.308,54.571,37.014,66.098,47.011,32.894,61.620,36.674,67.676,71.589,48.166,71.344,64.008,50.606,71.847,73.926,61.327,53.263,65.307,46.141,71.063,76.942,56.586,77.936,74.148,83.024,75.591,69.065,84.723,73.573,80.156,67.357,85.094,80.623,102.421,97.494,103.446,94.366,99.730,104.924,105.802,114.355,138.014,140.513
Mainz,24.698,9.487,32.894,16.492,11.662,38.471,0,31.780,41.000,19.849,41.785,21.378,56.604,38.210,54.406,58.249,40.817,63.198,47.802,58.600,65.376,25.942,67.030,60.166,57.140,68.411,61.270,38.118,68.622,64.078,58.009,74.545,71.784,50.567,74.169,73.824,63.812,76.538,39.825,58.873,57.140,85.006,94.541,55.731,84.906,73.246,98.737,88.391,99.539,74.148,115.261,117.068,109.275,106.217,121.807,98.884,138.827,160.100,164.560
Siegen,17.889,32.249,18.000,41.881,40.719,43.012,31.780,0,61.717,19.698,11.314,53.151,40.719,19.235,22.847,26.476,71.694,78.715,23.087,82.073,75.895,54.231,79.480,29.155,29.411,87.920,31.241,69.721,89.404,33.287,31.385,45.880,92.418,81.933,88.640,42.190,35.468,96.519,60.926,90.443,41.000,54.332,71.218,86.023,109.622,103.755,80.281,116.400,120.673,104.173,86.400,86.701,132.774,133.417,92.418,129.769,112.699,132.189,137.615
Wuerzburg,44.553,33.242,49.406,24.515,30.150,27.659,41.000,61.717,0,59.237,73.000,37.947,57.871,75.664,82.807,84.024,32.202,23.345,83.487,20.616,29.682,53.852,29.155,89.828,91.049,27.514,92.655,47.011,28.178,94.069,92.801,88.600,31.305,41.593,34.234,96.566,97.185,35.847,72.780,49.769,96.664,102.552,96.047,67.209,48.166,53.009,92.228,57.775,59.540,83.096,125.132,131.042,71.063,73.246,132.575,78.313,141.032,165.048,167.108
Koblenz,26.000,26.000,31.623,35.355,31.401,49.254,19.849,19.698,59.237,0,26.000,38.949,57.009,18.601,39.013,44.102,60.000,80.050,28.653,77.897,80.225,36.125,82.735,43.566,38.484,86.729,43.681,54.083,87.321,47.074,38.949,65.552,90.471,69.116,90.802,60.133,45.188,95.079,41.231,76.942,37.590,73.348,90.443,68.264,104.561,92.418,98.290,108.208,118.533,86.023,105.948,105.721,128.798,126.063,111.826,117.661,132.382,151.822,157.309
