59,2
Giessen,0,0
Frankfurt,20,0
Marburg,-7.999999999999997,2.000000000000012
Aschaffenburg,27,7
Darmstadt,29,1
Fulda,5,25
Mainz,23,-9
Siegen,-7.999999999999993,-16
Wuerzburg,31.99999999999999,31
Koblenz,10,-24
Gummersburg,-16.00000000000001,-23.99999999999999
Mannheim,44.00000000000001,-4.999999999999955
Kassel,-24.99999999999999,21.00000000000001
Bonn,-5.000000000000005,-35
Hagen,-29.00000000000001,-24.99999999999999
Dortmund,-34.00000000000001,-20.99999999999998
Heilbronn,58,12
Bamberg,27.99999999999999,54.00000000000001
Koeln,-14.99999999999999,-38
Ansbach,47.99999999999999,44.00000000000001
Coburg,16.00000000000001,55.99999999999999
Kaiserslautern,46,-21
Lichtenfels,21,58
Bochum,-33,-31.00000000000001
Duesseldorf,-24.99999999999999,-40.00000000000001
Erlangen,41,57
Essen,-32,-36
Karlsruhe,61.00000000000002,-5.999999999999811
Fuerth,45,56
Gelsen-Kirchen,-35.99999999999998,-34.00000000000002
Neuss,-24,-43
Bielefeld,-51,0
Nuernburg,45.99999999999998,59.00000000000001
Stuttgart,69.00000000000001,11.99999999999996
Bayreuth,27.99999999999998,65
Muenster,-50.00000000000002,-19.99999999999994
Duisburg,-31,-43
Hersbruck,46.00000000000004,63.99999999999997
Saarbruecken,48,-39.99999999999999
Reutlingen,78.00000000000003,11.99999999999985
Aachen,-7.999999999999988,-57.00000000000001
Osnabrueck,-61.99999999999996,-10.00000000000025
Hannover,-64,27.99999999999998
Offenburg,78.00000000000003,-17.9999999999999
Ingolstadt,68.00000000000004,62.99999999999997
Ulm,85.00000000000003,29.99999999999993
Braunschweig,-59.00000000000002,45.99999999999996
Augsburg,84.99999999999997,54.00000000000003
Regensburg,61,83
Freiburg,96.00000000000003,-21.99999999999988
Bremen,-91,8
Oldenburg,-94,-5
Landshut,76.99999999999996,86.00000000000003
Muenchen,94.00000000000004,69.99999999999996
Bremen,-98,5
Kempten,110,38.00000000000009
Hamburg,-109.0000000000001,33.99999999999973
Rendsburg,-133.0000000000002,26.99999999999912
Kiel,-135,37
