Head,Tail,Difference
0,0,0
0,1,0.140377
0,2,0.324387
0,3,0
0,4,0.11937
0,5,0.0641488
0,6,0
0,7,0
0,8,0.497494
0,9,0.308517
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0.273175
0,16,0
0,17,0
0,18,0.168967
0,19,0.0662239
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0.206722
0,25,0
0,26,0
0,27,0
0,28,0.254933
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0.242297
0,34,0.192077
0,35,0.0263092
0,36,0.272177
0,37,0.202014
0,38,0.154972
0,39,0
0,40,0
0,41,0.441555
0,42,0
0,43,0
0,44,0.271129
0,45,0.0566143
0,46,0.131195
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0.148244
0,55,0.287289
0,56,0
0,57,0.490202
0,58,0.216095
1,0,0.140377
1,1,0
1,2,0
1,3,0
1,4,0.342358
1,5,0
1,6,0
1,7,0.209199
1,8,0.0235479
1,9,0
1,10,0
1,11,0.16308
1,12,0.246561
1,13,0
1,14,0.0920454
1,15,0
1,16,0.153206
1,17,0.262623
1,18,0
1,19,0
1,20,0.491505
1,21,0.199192
1,22,0
1,23,0
1,24,0
1,25,0.0252243
1,26,0
1,27,0
1,28,0.179462
1,29,0
1,30,0.0974302
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0.163266
1,40,0
1,41,0
1,42,0.0454959
1,43,0.135608
1,44,0
1,45,0.188747
1,46,0.252492
1,47,0
1,48,0
1,49,0.183456
1,50,0
1,51,0
1,52,0.299522
1,53,0.0642148
1,54,0.207303
1,55,0
1,56,0
1,57,0
1,58,0
2,0,0.324387
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0.221129
2,7,0.0291408
2,8,0.571563
2,9,0
2,10,0
2,11,0
2,12,0.187657
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0.192044
2,18,0.501787
2,19,0.155551
2,20,0.502811
2,21,0
2,22,0.122004
2,23,0.00895297
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0.0770773
2,31,0.12796
2,32,0.393193
2,33,0
2,34,0
2,35,0
2,36,0.259371
2,37,0.0093979
2,38,0
2,39,0.176067
2,40,0
2,41,0
2,42,0
2,43,0
2,44,0
2,45,0
2,46,0
2,47,0
2,48,0
2,49,0.173327
2,50,0
2,51,0
2,52,0.209606
2,53,0
2,54,0
2,55,0
2,56,0.575415
2,57,0
2,58,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0.264028
3,5,0
3,6,0.280259
3,7,0
3,8,0
3,9,0
3,10,0.505535
3,11,0.497178
3,12,0
3,13,0
3,14,0.384074
3,15,0
3,16,0
3,17,0.340049
3,18,0
3,19,0.144535
3,20,0.49292
3,21,0
3,22,0.302244
3,23,0.310952
3,24,0
3,25,0.0283064
3,26,0
3,27,0.531147
3,28,0.196799
3,29,0.137538
3,30,0.135503
3,31,0
3,32,0.316026
3,33,0
3,34,0
3,35,0.266335
3,36,0
3,37,0
3,38,0.107236
3,39,0
3,40,0
3,41,0
3,42,0
3,43,0
3,44,0
3,45,0.198394
3,46,0.189132
3,47,0
3,48,0.0652263
3,49,0.480129
3,50,0.200765
3,51,0
3,52,0
3,53,0.0295532
3,54,0
3,55,0
3,56,0.543782
3,57,0.446693
3,58,0
4,0,0.11937
4,1,0.342358
4,2,0
4,3,0.264028
4,4,0
4,5,0.116305
4,6,0
4,7,0.128814
4,8,0
4,9,0
4,10,0.0452614
4,11,0
4,12,0
4,13,0
4,14,0.171638
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0.394703
4,25,0.1672
4,26,0.413417
4,27,0
4,28,0.0408611
4,29,0
4,30,0
4,31,0.0197927
4,32,0
4,33,0.142347
4,34,0.270456
4,35,0
4,36,0
4,37,0.452788
4,38,0
4,39,0
4,40,0
4,41,0.0316511
4,42,0
4,43,0.164394
4,44,0
4,45,0
4,46,0
4,47,0
4,48,0
4,49,0
4,50,0
4,51,0
4,52,0
4,53,0.214381
4,54,0
4,55,0
4,56,0
