59,2
Augsburg,87.66456443066933,19.85189685082776
Bielefeld,-57.47064179828111,5.332889447161377
Bochum,-48.52405463344273,-28.97118139848077
Bremen,-93.64585579789411,23.91564976087205
Darmstadt,19.40746869796191,-15.52606559991954
Essen,-48.98097838186998,-34.16791425718269
Freiburg,77.44415865931008,-55.72948623976269
Giessen,-8.558369270538421,-8.352690327202007
Hamburg,-103.884274492527,53.61973902744383
Hannover,-62.18271807448221,35.78033139432852
Heilbronn,50.24092491179942,-12.78858160362944
Kaiserslautern,29.77685673124954,-41.10643379635354
Karlsruhe,48.27046972666896,-30.82853284304819
Kassel,-26.68073028805313,18.39216729209605
Kempten,107.2570426448763,-2.375773038089491
Koblenz,-5.58643486510219,-34.08621571002161
Koeln,-33.26061578542879,-40.51429931997932
Landshut,88.72741445483904,52.88611553265321
Lichtenfels,27.52173099162692,41.23507585494956
Mainz,11.05191585611845,-23.30886142062634
Muenchen,100.6539034809562,32.89382394713855
Muenster,-61.85923599785247,-13.97545678318099
Neuss,-43.17956164262552,-42.85610755109438
Nuernburg,51.59513227307102,35.33292179572249
Oldenburg,-99.97997290611093,12.37908832107562
Regensburg,72.55251260835664,54.40393588700043
Rendsburg,-128.8207332374752,53.67632030359835
Stuttgart,60.7980523967815,-15.80077373015858
Ulm,81.1014858876994,-2.968142998577305
Wuerzburg,30.67856787337989,12.33670455126226
Aachen,-31.7691493698872,-60.74742296414171
Ansbach,49.59410901032334,20.47263748029909
Aschaffenburg,19.2703881176048,-9.242150050542952
Bamberg,33.11338447722112,35.52370784176209
Bayreuth,36.09785940275493,45.979102236746
Bonn,-22.87902478128077,-40.55907621381824
Braunschweig,-52.49673657193404,51.67165403265772
Bremen,-101.1057482171882,23.08431494172562
Coburg,22.04078787327759,40.6643408331447
Dortmund,-46.81388096478315,-19.2972489237428
Duesseldorf,-43.41860225992569,-39.88109176836095
Duisburg,-49.97406312483207,-41.16821204134791
Erlangen,46.33667724327943,34.96758981518647
Frankfurt,10.70310608247697,-14.00883085360621
Fulda,3.137721403012637,14.00429465177816
Fuerth,49.88058357184908,32.80739189869005
Gelsen-Kirchen,-52.23525534752556,-31.03976642404757
Gummersburg,-30.42753030096049,-26.96271090007031
Hagen,-43.08011611093376,-24.39561749976509
Hersbruck,52.97227876499051,40.20168857112921
Ingolstadt,73.89911783402887,33.14956056479613
Kiel,-128.0485773080919,63.55478201270336
Mannheim,32.17759748085762,-25.18552660751748
Marburg,-15.64529137443676,-4.368745172595898
Offenburg,61.30786618443022,-46.99119816678277
Osnabrueck,-70.65584838206669,-1.190846106664007
Reutlingen,69.42293696371968,-18.34622866345857
Saarbruecken,26.54607067099341,-59.9400151861098
Siegen,-20.49425728398742,-21.47100192607767
