Head,Tail,Difference
0,0,0
0,1,0.141361
0,2,0.319711
0,3,0
0,4,0.116074
0,5,0.0583617
0,6,0
0,7,0
0,8,0.503141
0,9,0.315918
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0.267758
0,16,0
0,17,0
0,18,0.181508
0,19,0.0620021
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0.203689
0,25,0
0,26,0
0,27,0
0,28,0.254984
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0.250205
0,34,0.204952
0,35,0.0176037
0,36,0.283161
0,37,0.199887
0,38,0.164293
0,39,0
0,40,0
0,41,0.432521
0,42,0.00049753
0,43,0
0,44,0.272619
0,45,0.0621855
0,46,0.124776
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0.138593
0,55,0.282922
0,56,0
0,57,0.473058
0,58,0.211708
1,0,0.141361
1,1,0
1,2,0
1,3,0
1,4,0.349812
1,5,0
1,6,0
1,7,0.212265
1,8,0.0210044
1,9,0
1,10,0
1,11,0.174503
1,12,0.257126
1,13,0
1,14,0.0943937
1,15,0
1,16,0.160293
1,17,0.257494
1,18,0
1,19,0
1,20,0.490284
1,21,0.197251
1,22,0
1,23,0
1,24,0
1,25,0.0181631
1,26,0
1,27,0
1,28,0.182503
1,29,0
1,30,0.108999
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0.164563
1,40,0
1,41,0
1,42,0.0414826
1,43,0.142652
1,44,0
1,45,0.18607
1,46,0.25405
1,47,0
1,48,0
1,49,0.178882
1,50,0
1,51,0
1,52,0.309013
1,53,0.0685469
1,54,0.218242
1,55,0
1,56,0
1,57,0
1,58,0
2,0,0.319711
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0.22919
2,7,0.0256281
2,8,0.570249
2,9,0
2,10,0
2,11,0
2,12,0.192585
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0.184093
2,18,0.492474
2,19,0.156968
2,20,0.496162
2,21,0
2,22,0.126646
2,23,0.00150911
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0.0881882
2,31,0.123059
2,32,0.391932
2,33,0
2,34,0
2,35,0
2,36,0.249742
