Head,Tail,Difference
0,0,0
0,1,0.129324
0,2,0.28524
0,3,0
0,4,0.057384
0,5,0.0346754
0,6,0
0,7,0
0,8,0.488477
0,9,0.28181
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0.225096
0,16,0
0,17,0
0,18,0.14426
0,19,0.0357011
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0.244197
0,25,0
0,26,0
0,27,0
0,28,0.305502
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0.270118
0,34,0.215382
0,35,0.019979
0,36,0.208912
0,37,0.190664
0,38,0.177006
0,39,0
0,40,0
0,41,0.429555
0,42,0.0507443
0,43,0
0,44,0.250648
0,45,0.0481719
0,46,0.086592
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0.121005
0,55,0.261866
0,56,0
0,57,0.467187
0,58,0.178944
1,0,0.129324
1,1,0
1,2,0
1,3,0
1,4,0.354203
1,5,0
1,6,0
1,7,0.184319
1,8,0.0358239
1,9,0
1,10,0
1,11,0.167894
1,12,0.232889
1,13,0
1,14,0.110054
1,15,0
1,16,0.13861
1,17,0.255218
1,18,0
1,19,0
1,20,0.517785
1,21,0.129874
1,22,0
1,23,0
1,24,0
1,25,0.012187
1,26,0
1,27,0
1,28,0.198191
1,29,0
1,30,0.146477
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0.0157251
1,39,0.173685
1,40,0
1,41,0
1,42,0.0519284
1,43,0.133282
1,44,0
1,45,0.195013
1,46,0.199036
1,47,0
1,48,0
1,49,0.194076
1,50,0
1,51,0
1,52,0.280634
1,53,0.0433491
1,54,0.193146
1,55,0
1,56,0
1,57,0
1,58,0
2,0,0.28524
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0.183822
2,7,0.0247523
2,8,0.578924
2,9,0
2,10,0
2,11,0
2,12,0.168218
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0.181025
2,18,0.486418
2,19,0.138308
2,20,0.490119
2,21,0
2,22,0.111967
2,23,0.000558805
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0.139558
2,31,0.118887
2,32,0.39111
2,33,0
2,34,0
2,35,0
2,36,0.336012
2,37,0.0186804
2,38,0
2,39,0.141506
2,40,0.00345013
2,41,0
2,42,0
2,43,0
2,44,0
2,45,0
2,46,0
2,47,0
2,48,0
2,49,0.154142
2,50,0
2,51,0.0118534
2,52,0.208263
2,53,0
2,54,0
2,55,0
2,56,0.560519
2,57,0
2,58,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0.291702
3,5,0
3,6,0.288777
3,7,0
3,8,0
3,9,0
3,10,0.554511
3,11,0.521989
3,12,0
3,13,0
3,14,0.440471
3,15,0
3,16,0
3,17,0.332246
3,18,0
3,19,0.153112
3,20,0.543621
3,21,0
3,22,0.299256
3,23,0.349608
3,24,0
3,25,0.0109343
3,26,0
3,27,0.544451
3,28,0.241248
3,29,0.187121
3,30,0.206517
3,31,0
3,32,0.310126
3,33,0
3,34,0
3,35,0.310588
3,36,0
3,37,0
3,38,0.128197
3,39,0
3,40,0
3,41,0
3,42,0
3,43,0
3,44,0
3,45,0.221418
3,46,0.16983
3,47,0
3,48,0.0481511
3,49,0.508184
3,50,0.206772
3,51,0
3,52,0
3,53,0.0201205
3,54,0
3,55,0
3,56,0.579437
3,57,0.463607
3,58,0
4,0,0.057384
4,1,0.354203
4,2,0
4,3,0.291702
4,4,0
4,5,0.138934
4,6,0
4,7,0.164993
4,8,0
4,9,0
4,10,0.0415388
4,11,0
4,12,0
4,13,0
4,14,0.110042
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
