Head,Tail,Difference
0,0,0
0,1,-2.84217e-14
0,2,-2.84217e-14
0,3,-5.68434e-14
0,4,-2.84217e-14
0,5,-2.84217e-14
0,6,0
0,7,-1.42109e-14
0,8,0
0,9,-2.84217e-14
0,10,-7.10543e-15
0,11,-1.42109e-14
0,12,-1.42109e-14
0,13,-1.42109e-14
0,14,0
0,15,-1.42109e-14
0,16,-2.84217e-14
0,17,7.10543e-15
0,18,-1.42109e-14
0,19,-1.42109e-14
0,20,1.42109e-14
0,21,-2.84217e-14
0,22,0
0,23,0
0,24,0
0,25,0
0,26,-2.84217e-14
0,27,-7.10543e-15
0,28,-3.55271e-15
0,29,-7.10543e-15
0,30,-2.84217e-14
0,31,-1.42109e-14
0,32,-1.42109e-14
0,33,-7.10543e-15
0,34,-1.42109e-14
0,35,-1.42109e-14
0,36,-2.84217e-14
0,37,-2.84217e-14
0,38,0
0,39,-2.84217e-14
0,40,0
0,41,-2.84217e-14
0,42,-7.10543e-15
0,43,-1.42109e-14
0,44,-1.42109e-14
0,45,-7.10543e-15
0,46,-2.84217e-14
0,47,-2.84217e-14
0,48,0
0,49,-7.10543e-15
0,50,-7.10543e-15
0,51,-2.84217e-14
0,52,-1.42109e-14
0,53,-1.42109e-14
0,54,-1.42109e-14
0,55,-2.84217e-14
0,56,-7.10543e-15
0,57,-1.42109e-14
0,58,-1.42109e-14
1,0,-2.84217e-14
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,7.10543e-15
1,8,0
1,9,3.55271e-15
1,10,0
1,11,1.42109e-14
1,12,0
1,13,0
1,14,0
1,15,0
1,16,7.10543e-15
1,17,-2.84217e-14
1,18,0
1,19,0
1,20,0
1,21,3.55271e-15
1,22,0
1,23,0
1,24,-1.42109e-14
1,25,0
1,26,0
1,27,0
1,28,0
1,29,-1.42109e-14
1,30,1.42109e-14
1,31,-1.42109e-14
1,32,-1.42109e-14
1,33,0
1,34,0
1,35,7.10543e-15
1,36,7.10543e-15
1,37,0
1,38,0
1,39,7.10543e-15
1,40,1.42109e-14
1,41,0
1,42,0
1,43,0
1,44,0
1,45,-1.42109e-14
1,46,-7.10543e-15
1,47,7.10543e-15
1,48,7.10543e-15
1,49,0
1,50,-2.84217e-14
1,51,0
1,52,-1.42109e-14
1,53,0
1,54,0
1,55,0
1,56,0
1,57,0
1,58,0
2,0,-2.84217e-14
2,1,0
2,2,0
2,3,0
2,4,0
2,5,2.66454e-15
2,6,0
2,7,0
2,8,1.42109e-14
2,9,1.42109e-14
2,10,0
2,11,0
2,12,0
2,13,-7.10543e-15
2,14,-2.84217e-14
2,15,-7.10543e-15
2,16,3.55271e-15
2,17,-2.84217e-14
2,18,-1.42109e-14
2,19,0
2,20,0
2,21,0
2,22,3.55271e-15
2,23,0
2,24,0
2,25,0
2,26,1.42109e-14
2,27,0
2,28,0
2,29,-1.42109e-14
2,30,7.10543e-15
2,31,0
2,32,-1.42109e-14
2,33,-1.42109e-14
2,34,-1.42109e-14
2,35,3.55271e-15
2,36,1.42109e-14
2,37,0
2,38,-1.42109e-14
2,39,-1.77636e-15
2,40,1.77636e-15
2,41,3.55271e-15
2,42,-1.42109e-14
2,43,-7.10543e-15
2,44,0
2,45,-1.42109e-14
2,46,8.88178e-16
2,47,0
2,48,-2.66454e-15
2,49,-1.42109e-14
2,50,0
2,51,1.42109e-14
2,52,0
2,53,0
2,54,0
2,55,7.10543e-15
2,56,0
2,57,0
2,58,-3.55271e-15
3,0,-5.68434e-14
3,1,0
3,2,0
3,3,0
3,4,0
3,5,1.42109e-14
3,6,0
3,7,1.42109e-14
3,8,-3.55271e-15
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,2.84217e-14
3,17,0
3,18,-1.42109e-14
3,19,1.42109e-14
3,20,2.84217e-14
3,21,1.42109e-14
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,1.42109e-14
3,31,0
3,32,0
3,33,0
3,34,0
3,35,0
3,36,0
3,37,-6.21725e-15
3,38,-1.42109e-14
3,39,7.10543e-15
3,40,1.42109e-14
3,41,1.42109e-14
3,42,0
3,43,0
3,44,0
3,45,-2.84217e-14
3,46,0
3,47,1.42109e-14
3,48,0
3,49,-2.84217e-14
3,50,0
