id,v0,v1
Augsburg,54,-65
Bielefeld,0,71
Bochum,-31,53
Bremen,8,111
Darmstadt,1,-9
Essen,-36,52
Freiburg,-22,-76
Giessen,0,20
Hamburg,34,129
Hannover,28,84
Heilbronn,12,-38
Kaiserslautern,-21,-26
Karlsruhe,-6,-41
Kassel,21,45
Kempten,38,-90
Koblenz,-24,10
Koeln,-38,35
Landshut,86,-57
Lichtenfels,58,-1
Mainz,-9,-3
Muenchen,70,-74
Muenster,-20,70
Neuss,-43,44
Nuernburg,59,-26
Oldenburg,-5,114
Regensburg,83,-41
Rendsburg,27,153
Stuttgart,12,-49
Ulm,30,-65
Wuerzburg,31,-12
Aachen,-57,28
Ansbach,44,-28
Aschaffenburg,7,-7
Bamberg,54,-8
Bayreuth,65,-8
Bonn,-35,25
Braunschweig,46,79
Bremen,5,118
Coburg,56,4
Dortmund,-21,54
Duesseldorf,-40,45
Duisburg,-43,51
Erlangen,57,-21
Frankfurt,0,0
Fulda,25,15
Fuerth,56,-25
Gelsen-Kirchen,-34,56
Gummersburg,-24,36
Hagen,-25,49
Hersbruck,64,-26
Ingolstadt,63,-48
Kiel,37,155
Mannheim,-5,-24
Marburg,2,28
Offenburg,-18,-58
Osnabrueck,-10,82
Reutlingen,12,-58
Saarbruecken,-40,-28
Siegen,-16,28
