Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,2.84217e-14
0,4,0
0,5,2.84217e-14
0,6,-1.42109e-14
0,7,0
0,8,0
0,9,0
0,10,0
0,11,-1.42109e-14
0,12,-1.42109e-14
0,13,1.42109e-14
0,14,7.10543e-15
0,15,0
0,16,0
0,17,-7.10543e-15
0,18,0
0,19,0
0,20,1.42109e-14
0,21,2.84217e-14
0,22,0
0,23,0
0,24,2.84217e-14
0,25,-7.10543e-15
0,26,2.84217e-14
0,27,-7.10543e-15
0,28,-7.10543e-15
0,29,1.42109e-14
0,30,0
0,31,0
0,32,0
0,33,7.10543e-15
0,34,7.10543e-15
0,35,0
0,36,-2.84217e-14
0,37,2.84217e-14
0,38,0
0,39,2.84217e-14
0,40,0
0,41,0
0,42,7.10543e-15
0,43,0
0,44,0
0,45,0
0,46,2.84217e-14
0,47,0
0,48,0
0,49,0
0,50,-7.10543e-15
0,51,0
0,52,-1.42109e-14
0,53,0
0,54,0
0,55,0
0,56,-7.10543e-15
0,57,-1.42109e-14
0,58,0
1,0,0
1,1,0
1,2,0
1,3,-1.42109e-14
1,4,0
1,5,-7.10543e-15
1,6,2.84217e-14
1,7,7.10543e-15
1,8,0
1,9,-1.06581e-14
1,10,1.42109e-14
1,11,0
1,12,1.42109e-14
1,13,0
1,14,5.68434e-14
1,15,0
1,16,0
1,17,2.84217e-14
1,18,1.42109e-14
1,19,1.42109e-14
1,20,2.84217e-14
1,21,-3.55271e-15
1,22,-7.10543e-15
1,23,2.84217e-14
1,24,1.42109e-14
1,25,2.84217e-14
1,26,0
1,27,0
1,28,2.84217e-14
1,29,0
1,30,-1.42109e-14
1,31,1.42109e-14
1,32,0
1,33,1.42109e-14
1,34,1.42109e-14
1,35,0
1,36,-1.42109e-14
1,37,0
1,38,1.42109e-14
1,39,-3.55271e-15
1,40,0
1,41,0
1,42,2.84217e-14
1,43,0
1,44,7.10543e-15
1,45,1.42109e-14
1,46,-7.10543e-15
1,47,0
1,48,0
1,49,1.42109e-14
1,50,0
1,51,0
1,52,0
1,53,7.10543e-15
1,54,0
1,55,0
1,56,0
1,57,0
1,58,0
2,0,0
2,1,0
2,2,0
2,3,-2.84217e-14
2,4,1.42109e-14
2,5,-8.88178e-16
2,6,2.84217e-14
2,7,1.42109e-14
2,8,-1.42109e-14
2,9,-1.42109e-14
2,10,2.84217e-14
2,11,1.42109e-14
2,12,1.42109e-14
2,13,-7.10543e-15
2,14,2.84217e-14
2,15,7.10543e-15
2,16,1.42109e-14
2,17,0
2,18,0
2,19,7.10543e-15
2,20,0
2,21,-3.55271e-15
2,22,0
2,23,0
2,24,0
2,25,0
2,26,-1.42109e-14
2,27,0
2,28,2.84217e-14
2,29,1.42109e-14
2,30,-7.10543e-15
2,31,1.42109e-14
2,32,0
2,33,0
2,34,0
2,35,1.06581e-14
2,36,-1.42109e-14
2,37,-1.42109e-14
2,38,0
2,39,1.77636e-15
2,40,5.32907e-15
2,41,0
2,42,0
2,43,1.42109e-14
2,44,0
2,45,0
2,46,0
2,47,7.10543e-15
2,48,4.44089e-15
2,49,1.42109e-14
2,50,2.84217e-14
2,51,-1.42109e-14
2,52,1.42109e-14
2,53,7.10543e-15
2,54,2.84217e-14
2,55,-7.10543e-15
2,56,2.84217e-14
2,57,1.42109e-14
2,58,7.10543e-15
3,0,2.84217e-14
3,1,-1.42109e-14
3,2,-2.84217e-14
3,3,0
3,4,-1.42109e-14
3,5,-1.42109e-14
3,6,-2.84217e-14
3,7,-1.42109e-14
3,8,7.10543e-15
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,2.84217e-14
3,15,-1.42109e-14
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,-1.42109e-14
3,22,-2.84217e-14
3,23,0
3,24,7.10543e-15
3,25,2.84217e-14
3,26,1.42109e-14
3,27,0
3,28,0
3,29,0
3,30,-2.84217e-14
3,31,0
3,32,0
3,33,0
3,34,2.84217e-14
3,35,-2.84217e-14
3,36,-1.42109e-14
3,37,1.15463e-14
3,38,0
3,39,-1.42109e-14
3,40,-1.42109e-14
3,41,-1.42109e-14
3,42,-2.84217e-14
3,43,0
3,44,0
3,45,0
3,46,-1.42109e-14
3,47,-1.42109e-14
3,48,-1.42109e-14
3,49,0
3,50,0
3,51,1.42109e-14
3,52,0
3,53,0
3,54,0
3,55,-7.10543e-15
3,56,2.84217e-14
3,57,-2.84217e-14
3,58,-1.42109e-14
4,0,0
4,1,0
4,2,1.42109e-14
4,3,-1.42109e-14
4,4,0
4,5,0
4,6,1.42109e-14
4,7,7.10543e-15
4,8,2.84217e-14
4,9,-1.42109e-14
4,10,3.55271e-15
4,11,0
4,12,7.10543e-15
4,13,0
4,14,2.84217e-14
4,15,3.55271e-15
4,16,7.10543e-15
4,17,0
4,18,0
4,19,3.55271e-15
4,20,2.84217e-14
4,21,0
4,22,1.42109e-14
4,23,-1.42109e-14
4,24,1.42109e-14
4,25,0
4,26,0
4,27,7.10543e-15
4,28,1.42109e-14
4,29,-3.55271e-15
4,30,0
4,31,7.10543e-15
4,32,-8.88178e-16
4,33,-1.42109e-14
4,34,-1.42109e-14
4,35,0
4,36,-1.42109e-14
4,37,0
4,38,-7.10543e-15
4,39,0
4,40,0
4,41,0
4,42,0
4,43,3.55271e-15
4,44,-7.10543e-15
4,45,-7.10543e-15
4,46,0
4,47,0
4,48,0
4,49,0
4,50,1.42109e-14
4,51,0
4,52,0
4,53,7.10543e-15
4,54,1.42109e-14
4,55,0
4,56,1.42109e-14
4,57,-7.10543e-15
4,58,7.10543e-15
5,0,2.84217e-14
5,1,-7.10543e-15
5,2,-8.88178e-16
5,3,-1.42109e-14
5,4,0
5,5,0
5,6,2.84217e-14
5,7,7.10543e-15
5,8,0
5,9,-1.42109e-14
5,10,1.42109e-14
5,11,0
5,12,1.42109e-14
5,13,0
5,14,5.68434e-14
5,15,7.10543e-15
5,16,1.06581e-14
5,17,0
5,18,1.42109e-14
5,19,7.10543e-15
5,20,5.68434e-14
5,21,0
5,22,1.77636e-15
5,23,0
5,24,0
5,25,0
5,26,0
5,27,0
5,28,2.84217e-14
5,29,0
5,30,-3.55271e-15
5,31,1.42109e-14
5,32,1.42109e-14
5,33,0
5,34,0
5,35,7.10543e-15
5,36,0
5,37,0
5,38,0
5,39,3.55271e-15
5,40,5.32907e-15
5,41,1.77636e-15
5,42,1.42109e-14
5,43,7.10543e-15
5,44,0
5,45,0
5,46,1.77636e-15
5,47,7.10543e-15
5,48,3.55271e-15
5,49,1.42109e-14
5,50,2.84217e-14
5,51,0
5,52,1.42109e-14
5,53,0
5,54,1.42109e-14
5,55,-7.10543e-15
5,56,1.42109e-14
5,57,1.42109e-14
5,58,7.10543e-15
6,0,-1.42109e-14
6,1,2.84217e-14
6,2,2.84217e-14
6,3,-2.84217e-14
6,4,1.42109e-14
6,5,2.84217e-14
6,6,0
6,7,1.42109e-14
6,8,2.84217e-14
6,9,-2.84217e-14
6,10,0
6,11,7.10543e-15
6,12,0
6,13,0
6,14,0
6,15,1.42109e-14
6,16,0
6,17,-2.84217e-14
6,18,0
6,19,0
6,20,0
6,21,0
6,22,1.42109e-14
6,23,0
6,24,2.84217e-14
6,25,0
6,26,2.84217e-14
6,27,7.10543e-15
6,28,-7.10543e-15
6,29,0
6,30,2.84217e-14
6,31,0
6,32,0
6,33,-1.42109e-14
6,34,0
