,Augsburg,Bielefeld,Bochum,Bremen,Darmstadt,Essen,Freiburg,Giessen,Hamburg,Hannover,Heilbronn,Kaiserslautern,Karlsruhe,Kassel,Kempten,Koblenz,Koeln,Landshut,Lichtenfels,Mainz,Muenchen,Muenster,Neuss,Nuernburg,Oldenburg,Regensburg,Rendsburg,Stuttgart,Ulm,Wuerzburg,Aachen,Ansbach,Aschaffenburg,Bamberg,Bayreuth,Bonn,Braunschweig,Bremen,Coburg,Dortmund,Duesseldorf,Duisburg,Erlangen,Frankfurt,Fulda,Fuerth,Gelsen-Kirchen,Gummersburg,Hagen,Hersbruck,Ingolstadt,Kiel,Mannheim,Marburg,Offenburg,Osnabrueck,Reutlingen,Saarbruecken,Siegen
Augsburg,0,146.328,145.427,181.912,77.104,147.611,76.792,100.703,195.028,151.251,49.930,84.534,64.622,114.843,29.682,108.208,135.882,32.985,64.125,88.391,18.358,153.951,145.911,39.319,188.473,37.643,219.666,44.944,24.000,57.775,144.810,38.328,74.653,57.000,58.052,126.574,144.222,189.447,69.029,140.663,144.693,151.212,44.102,84.504,85.094,40.050,149.616,127.613,138.698,40.262,19.235,220.656,71.847,106.550,72.339,160.328,42.579,101.020,116.400
Bielefeld,146.328,0,35.847,40.792,80.006,40.706,148.637,51.000,67.231,30.871,109.659,99.247,112.161,33.422,165.424,65.552,52.345,154.208,92.455,74.545,161.012,20.025,50.774,113.534,43.290,139.402,86.331,120.599,139.270,88.600,71.400,108.337,78.313,95.692,102.303,57.801,46.690,47.265,87.321,27.019,47.707,47.424,108.227,71.000,61.327,111.140,37.162,42.438,33.302,116.211,134.648,91.788,95.131,43.046,130.250,14.866,129.557,106.775,45.880
Bochum,145.427,35.847,0,69.893,69.771,5.099,129.314,45.277,100.005,66.648,100.648,79.630,97.268,52.612,158.777,43.566,19.313,160.590,104.101,60.166,162.265,20.248,15.000,119.754,66.310,147.757,115.603,110.693,132.834,89.828,36.069,110.390,71.021,104.623,113.741,28.284,81.271,74.303,99.850,10.050,12.042,12.166,114.978,61.400,67.676,116.846,4.243,18.385,7.211,123.556,137.975,122.589,81.271,41.400,111.759,35.805,119.038,81.498,29.155
Bremen,181.912,40.792,69.893,0,120.204,73.600,189.391,91.351,31.623,33.601,149.054,140.036,152.643,67.268,203.226,105.948,88.837,185.224,122.654,115.261,195.113,49.649,84.202,146.185,13.342,169.496,46.098,160.050,177.370,125.132,105.423,143.586,118.004,127.581,131.947,96.151,49.679,7.616,117.273,63.953,81.609,78.746,140.801,111.288,97.494,144.222,69.203,81.541,70.235,148.003,168.244,52.697,135.624,83.217,170.988,34.132,169.047,147.054,86.400
Darmstadt,77.104,80.006,69.771,120.204,0,71.344,70.838,29.017,141.891,96.840,31.016,27.803,32.757,57.585,89.051,31.401,58.796,97.617,57.559,11.662,94.795,81.744,68.884,60.440,123.146,88.023,164.073,41.485,63.063,30.150,68.797,47.011,6.325,53.009,64.008,49.518,98.838,127.063,56.515,66.731,67.801,74.404,57.271,9.055,33.941,57.280,73.824,51.478,63.561,65.253,73.246,167.905,16.155,37.014,52.555,91.662,50.220,45.188,40.719
Essen,147.611,40.706,5.099,73.600,71.344,0,128.763,48.166,104.062,71.554,102.000,79.429,97.719,57.428,160.125,43.681,17.117,163.600,107.912,61.270,164.657,24.083,10.630,122.919,69.318,151.030,119.038,111.826,134.332,92.655,31.890,113.137,73.007,108.167,117.478,27.019,86.331,77.698,103.769,15.133,8.062,7.071,118.229,63.246,71.344,119.971,4.472,20.000,11.402,126.823,140.716,126.246,82.079,44.944,111.463,39.699,120.017,80.100,31.241
Freiburg,76.792,148.637,129.314,189.391,70.838,128.763,0,98.489,212.511,167.631,50.990,50.010,38.484,128.413,61.612,86.023,112.147,109.659,109.659,74.148,92.022,146.014,121.824,95.189,190.759,110.680,234.184,43.417,53.151,83.096,109.731,81.609,74.847,101.980,110.422,101.833,169.260,195.870,111.732,130.004,122.332,128.725,96.260,79.120,102.421,93.193,132.544,112.018,125.036,99.479,89.493,238.416,54.708,106.733,18.439,158.455,38.471,51.264,104.173
Giessen,100.703,51.000,45.277,91.351,29.017,48.166,98.489,0,114.180,69.857,59.228,50.567,61.294,32.650,116.379,26.000,40.853,115.434,61.685,24.698,117.201,53.852,49.244,74.813,94.133,103.005,135.713,70.036,90.139,44.553,57.559,65.115,27.893,60.828,70.774,35.355,74.813,98.127,58.241,39.962,47.170,53.009,70.214,20.000,25.495,71.840,49.518,28.844,38.288,78.816,92.698,139.979,44.283,8.246,80.050,62.801,78.918,62.482,17.889
Hamburg,195.028,67.231,100.005,31.623,141.891,104.062,212.511,114.180,0,45.398,168.443,164.469,174.642,85.000,219.037,132.382,118.406,193.132,132.197,138.827,206.167,79.981,114.691,157.003,41.785,176.921,25.000,179.354,194.041,141.032,135.949,157.318,138.654,138.452,140.464,124.808,51.420,31.016,126.921,93.005,111.946,109.604,151.753,133.405,114.355,155.563,99.765,109.604,99.403,157.877,179.360,26.173,157.892,105.948,194.095,64.382,188.290,173.566,112.699
Hannover,151.251,30.871,66.648,33.601,96.840,71.554,167.631,69.857,45.398,0,123.045,120.420,129.541,39.623,174.287,90.443,82.201,152.463,90.139,94.541,163.487,50.000,81.492,114.285,44.598,136.565,69.007,133.959,149.013,96.047,101.789,113.137,93.392,95.603,99.161,86.313,18.682,41.049,84.758,57.454,78.390,78.294,108.931,88.544,69.065,112.539,68.029,70.767,63.514,115.741,136.561,71.568,112.929,61.741,149.265,38.053,142.899,131.027,71.218
