Head,Tail,Difference
0,0,0
0,1,2.84217e-14
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,3.55271e-15
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,-7.10543e-15
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
1,0,2.84217e-14
1,1,0
1,2,1.77636e-13
1,3,-1.27898e-13
1,4,-1.42109e-14
1,5,-3.48166e-13
1,6,1.7053e-13
1,7,-4.26326e-14
1,8,-1.7053e-13
1,9,-1.84741e-13
1,10,9.9476e-14
1,11,1.00897e-12
1,12,5.11591e-13
1,13,-9.23706e-14
1,14,5.68434e-14
1,15,1.13687e-13
1,16,9.166e-13
1,17,-2.84217e-14
1,18,-4.26326e-14
1,19,2.84217e-14
1,20,0
1,21,-7.10543e-15
1,22,4.40536e-13
1,23,-1.42109e-14
1,24,-7.81597e-14
1,25,-2.84217e-14
1,26,-2.84217e-14
1,27,9.9476e-14
1,28,5.68434e-14
1,29,1.42109e-14
1,30,1.3074e-12
1,31,1.42109e-14
1,32,8.52651e-14
1,33,0
1,34,-2.84217e-14
1,35,-2.84217e-14
1,36,-4.9738e-14
1,37,-9.23706e-14
1,38,-2.84217e-14
1,39,4.01457e-13
1,40,-7.10543e-14
1,41,5.18696e-13
1,42,0
1,43,1.42109e-14
1,44,7.10543e-15
1,45,-1.42109e-14
1,46,1.91847e-13
1,47,1.56319e-13
1,48,-4.26326e-14
1,49,-2.84217e-14
1,50,0
1,51,-1.27898e-13
1,52,-1.56319e-13
1,53,2.84217e-14
1,54,2.27374e-13
1,55,-4.61853e-14
1,56,8.52651e-14
1,57,-2.98428e-13
1,58,1.49214e-13
2,0,0
2,1,1.77636e-13
2,2,0
2,3,-2.84217e-14
2,4,-2.84217e-14
2,5,-4.76952e-13
2,6,5.68434e-14
2,7,3.55271e-14
2,8,-1.42109e-14
2,9,-1.42109e-14
2,10,4.26326e-14
2,11,7.67386e-13
2,12,3.55271e-13
2,13,-1.42109e-13
2,14,2.84217e-14
2,15,0
2,16,6.85674e-13
2,17,0
2,18,0
2,19,-3.55271e-14
2,20,0
2,21,1.63425e-13
2,22,2.71783e-13
2,23,0
2,24,-2.84217e-14
2,25,0
2,26,1.27898e-13
2,27,4.26326e-14
2,28,0
2,29,1.42109e-14
2,30,1.15108e-12
2,31,0
2,32,0
2,33,2.84217e-14
2,34,0
2,35,-1.49214e-13
2,36,1.13687e-13
2,37,-1.42109e-14
2,38,0
2,39,-2.02505e-13
2,40,-2.46914e-13
2,41,3.03757e-13
2,42,1.42109e-14
2,43,-1.42109e-14
2,44,2.84217e-14
2,45,-1.42109e-14
2,46,0
2,47,3.55271e-15
2,48,8.26006e-14
2,49,-1.42109e-14
2,50,0
2,51,0
2,52,-1.7053e-13
2,53,4.26326e-14
2,54,1.27898e-13
2,55,2.91323e-13
2,56,2.84217e-14
2,57,-4.12115e-13
2,58,7.10543e-15
3,0,0
3,1,-1.27898e-13
3,2,-2.84217e-14
3,3,0
3,4,-9.9476e-14
3,5,-5.25802e-13
3,6,0
3,7,-1.42109e-13
3,8,0
3,9,-1.42109e-14
3,10,2.84217e-14
3,11,8.81073e-13
3,12,3.97904e-13
3,13,1.42109e-14
3,14,0
3,15,-1.42109e-14
3,16,7.10543e-13
3,17,0
3,18,0
3,19,-9.9476e-14
3,20,0
3,21,-1.84741e-13
3,22,2.41585e-13
3,23,0
3,24,2.30926e-14
3,25,0
3,26,1.27898e-13
3,27,2.84217e-14
3,28,-2.84217e-14
3,29,0
3,30,1.15108e-12
3,31,0
3,32,2.84217e-14
3,33,0
3,34,0
3,35,-1.98952e-13
3,36,8.52651e-14
3,37,8.88178e-15
3,38,0
3,39,1.91847e-13
3,40,-2.55795e-13
3,41,3.41061e-13
3,42,0
3,43,-7.10543e-14
3,44,-2.84217e-14
